phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,action
1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.03555555555555544,0.0,0.0,0.0,0.03555555555555544,0
1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.05,0.1,0.0,0.05,0.03694444444444625,0.04527777777777891,0.0,0.049166666666669086,0.03694444444444625,0.07472222222222373,0.0,0.049166666666669086,1
0.0,1.0,0.0,0.0,0.1,0.05,0.05,0.0,0.07027777777778124,0.0,0.0,0.0,0.08694444444444874,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0.05,0.1,0.05,0.05,0.0,0.07347222222222331,0.0,0.2522222222222266,0.0,0.132500000000003,0.0,0.2522222222222266,1
1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0855555555555507,0.0,0.0,0.0,0.0855555555555507,1
0.0,1.0,0.0,0.0,0.1,0.0,0.05,0.1,0.12861111111110576,0.0,0.0,0.18402777777776994,0.25361111111110063,0.0,0.0,0.26583333333332343,0
1.0,0.0,0.0,0.0,0.0,0.15,0.15,0.05,0.0,0.19824074074073297,0.09296296296295767,0.13555555555554785,0.0,0.24833333333332977,0.2069444444444327,0.13555555555554785,1
0.0,1.0,0.0,0.0,0.1,0.0,0.05,0.15,0.07694444444444007,0.0,0.1402777777777698,0.1893518518518473,0.15388888888888014,0.0,0.1402777777777698,0.46888888888888103,3
0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.05,0.036944444444442344,0.0,0.0,0.30222222222220513,0.036944444444442344,0.0,0.0,0.30222222222220513,0
1.0,0.0,0.0,0.0,0.05,0.1,0.1,0.2,0.0,0.08888888888888384,0.06902777777777386,0.24652777777776513,0.0,0.10138888888888313,0.13805555555554772,0.48249999999997784,3
0.0,1.0,0.0,0.0,0.15,0.05,0.25,0.05,0.14685185185184485,0.0,0.1971666666666555,0.368888888888868,0.34527777777776214,0.0,0.4402777777777528,0.368888888888868,2
0.0,0.0,0.0,1.0,0.15,0.05,0.1,0.0,0.23675925925924585,0.18249999999998961,0.29027777777776126,0.0,0.4372222222221974,0.18249999999998961,0.42361111111108707,0.0,0
1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.24277777777776402,0.0,0.0,0.0,0.48555555555552804,3
0.0,0.0,0.0,1.0,0.15,0.1,0.4,0.0,0.10648148148147543,0.3722222222222011,0.2779513888888731,0.0,0.2763888888888732,0.38472222222220037,0.5236111111110814,0.0,2
0.0,0.0,1.0,0.0,0.2,0.05,0.05,0.05,0.3040972222222059,0.28111111111109516,0.0,0.6522222222221852,0.6286111111110794,0.28111111111109516,0.0,0.6522222222221852,0
1.0,0.0,0.0,0.0,0.0,0.05,0.15,0.1,0.0,0.4491666666666411,0.3712962962962752,0.0949999999999946,0.0,0.4491666666666411,0.6902777777777386,0.12083333333332646,2
0.0,0.0,0.0,1.0,0.15,0.1,0.15,0.0,0.13638888888888123,0.07027777777777384,0.10203703703703132,0.0,0.2455555555555417,0.1405555555555477,0.17444444444443466,0.0,0
1.0,0.0,0.0,0.0,0.0,0.15,0.1,0.1,0.0,0.24425925925924544,0.09486111111110572,0.45944444444441845,0.0,0.5477777777777467,0.16194444444443523,0.9188888888888369,1
0.0,0.0,1.0,0.0,0.05,0.05,0.0,0.1,0.0,0.6824999999999614,0.0,0.32833333333331477,0.0,0.6824999999999614,0.0,0.35416666666664665,3
0.0,0.0,1.0,0.0,0.2,0.2,0.05,0.0,0.36791666666664585,0.5094444444444155,0.0,0.0,0.6597222222221848,0.768055555555512,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.1,0.35,0.05,0.0,0.31444444444442665,0.3637698412698207,0.0,0.0,0.40722222222219917,0.8327777777777307,0.0,2
0.0,0.0,0.0,1.0,0.25,0.1,0.0,0.0,0.2309999999999869,0.4536111111110854,0.0,0.0,0.3941666666666444,0.8991666666666157,0.0,0.0,0
0.0,1.0,0.0,0.0,0.2,0.05,0.15,0.15,0.06506944444444075,0.0,0.2215740740740615,0.4932407407407128,0.11805555555554885,0.0,0.3952777777777553,1.0,0
1.0,0.0,0.0,0.0,0.05,0.3,0.05,0.0,0.0,0.5751851851851525,0.2561111111110966,0.0,0.0,1.0,0.2561111111110966,0.0,1
