phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,downstream_right,downstream_down,downstream_left,downstream_up,action
1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0
1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.03555555555555544,0.0,0.0,0.0,0.03555555555555544,0.0,0.03333333333333333,0.03333333333333333,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,2
1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0
1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.037361111111111865,0.0,0.0,0.0,0.07472222222222373,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.06583333333333488,0.0,0.0,0.0,0.06583333333333488,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,1
1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.13555555555555773,0.0,0.0,0.0,0.13555555555555773,0.0,0.03333333333333333,0.06666666666666667,0.0,3
0.0,0.0,1.0,0.0,0.1,0.05,0.0,0.05,0.042361111111112314,0.11583333333333728,0.0,0.032499999999999814,0.08472222222222463,0.11583333333333728,0.0,0.032499999999999814,0.06666666666666667,0.0,0.0,0.03333333333333333,0
0.0,1.0,0.0,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.007777777777777336,0.0,0.0,0.0,0.007777777777777336,0.0,0.06666666666666667,0.2,0.0,0.0,0
0.0,1.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.07361111111110692,0.0,0.0,0.0,0.07361111111110692,0.0,0.0,0.0,0.2,0.06666666666666667,2
