elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,rl,42,1.0,0,1.867,1.867,1.867,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,rl,42,1.0,1,0.242,0.483,0.483,1.000,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
5.0,rl,42,1.0,2,0.000,0.000,0.000,0.500,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
5.0,rl,42,1.0,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,rl,42,1.0,0,3.433,6.867,6.867,1.200,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
10.0,rl,42,1.0,1,2.742,5.483,5.483,1.250,2,6.000,0.2500,1,2,2,0,0,0,0,1,0,0
10.0,rl,42,1.0,2,0.467,1.867,1.867,1.100,3,6.000,0.2500,1,4,4,0,0,0,0,3,0,0
10.0,rl,42,1.0,3,1.475,2.950,2.950,0.900,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
15.0,rl,42,1.0,0,4.922,11.867,11.867,1.633,3,0.000,0.4500,0,3,3,0,0,0,0,1,2,0
15.0,rl,42,1.0,1,5.242,10.483,10.483,1.167,2,4.000,0.2500,1,2,2,0,1,0,0,1,0,0
15.0,rl,42,1.0,2,2.860,6.867,6.867,1.967,4,4.000,0.2500,1,5,5,0,0,0,0,4,0,0
15.0,rl,42,1.0,3,1.594,7.950,7.950,1.600,5,4.000,0.8929,1,6,5,1,0,0,1,2,1,1
20.0,rl,42,1.0,0,4.942,16.867,16.867,1.650,3,6.000,0.2500,2,4,4,0,0,0,0,2,0,0
20.0,rl,42,1.0,1,4.275,15.483,15.483,1.475,3,3.000,0.4500,1,4,4,0,1,0,1,2,0,0
20.0,rl,42,1.0,2,3.050,7.867,7.867,1.950,4,15.000,0.2500,5,6,6,0,2,0,1,0,0,0
20.0,rl,42,1.0,3,3.729,12.950,12.950,2.475,6,3.000,0.9000,1,7,6,1,1,0,1,2,2,1
25.0,rl,42,1.0,0,7.179,21.867,21.867,1.720,3,4.800,0.2500,2,4,4,0,2,0,0,2,0,0
25.0,rl,42,1.0,1,4.410,16.483,16.483,1.620,3,7.200,0.2500,3,5,5,0,1,0,2,0,0,0
25.0,rl,42,1.0,2,3.150,7.867,7.867,1.820,4,12.000,0.2500,5,7,7,0,4,0,2,0,0,0
25.0,rl,42,1.0,3,4.447,13.950,13.950,3.180,7,7.200,0.8167,3,10,9,1,2,0,1,1,2,3
30.0,rl,42,1.0,0,8.179,23.867,23.867,1.583,3,8.000,1.0000,4,4,4,0,2,0,0,0,0,0
30.0,rl,42,1.0,1,4.131,16.483,16.483,1.933,5,6.000,0.4808,3,8,8,0,1,0,3,0,0,2
30.0,rl,42,1.0,2,3.926,8.750,8.750,1.850,4,10.000,0.2500,5,7,7,0,4,0,2,0,0,0
30.0,rl,42,1.0,3,6.698,17.067,17.067,4.167,10,10.000,0.9643,5,14,11,3,3,0,2,2,2,3
35.0,rl,42,1.0,0,6.543,23.867,23.867,1.400,3,6.857,0.2500,4,5,5,0,2,0,1,0,0,0
35.0,rl,42,1.0,1,5.265,16.483,16.483,2.457,7,5.143,0.7206,3,10,10,0,1,0,3,0,2,2
35.0,rl,42,1.0,2,7.017,25.783,25.783,1.900,4,12.000,0.2500,7,9,7,2,4,0,0,2,0,0
35.0,rl,42,1.0,3,8.516,18.950,18.950,5.086,11,8.571,0.9167,5,16,13,3,5,0,2,2,3,4
40.0,rl,42,1.0,0,5.822,23.867,23.867,1.387,3,6.000,0.2500,4,6,6,0,2,0,2,0,0,0
40.0,rl,42,1.0,1,6.788,18.950,18.950,2.913,8,9.000,0.7273,6,14,12,2,1,0,1,1,2,4
40.0,rl,42,1.0,2,8.128,30.783,30.783,1.913,4,10.500,0.2500,7,9,7,2,4,0,0,2,0,0
40.0,rl,42,1.0,3,9.043,22.583,22.583,5.562,11,13.500,0.8176,9,20,15,5,5,0,4,2,4,1
45.0,rl,42,1.0,0,6.836,23.867,23.867,1.456,3,5.333,0.2500,4,6,6,0,2,0,2,0,0,0
45.0,rl,42,1.0,1,7.646,23.267,23.267,3.733,12,9.333,0.6207,7,19,14,5,4,0,1,2,2,7
45.0,rl,42,1.0,2,6.763,34.783,34.783,2.056,4,12.000,0.2500,9,12,10,2,4,0,0,0,3,0
45.0,rl,42,1.0,3,11.118,27.583,27.583,6.067,11,13.333,0.6944,10,20,15,5,5,0,4,2,4,0
