elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,neural,45,1.0,0,0.950,0.950,0.950,0.700,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,neural,45,1.0,1,0.000,0.000,0.000,0.500,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,neural,45,1.0,2,0.975,1.950,1.950,1.000,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
5.0,neural,45,1.0,3,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,neural,45,1.0,0,5.950,5.950,5.950,0.850,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
10.0,neural,45,1.0,1,1.367,4.950,4.950,1.300,4,0.000,0.4000,0,4,4,0,0,0,0,0,1,3
10.0,neural,45,1.0,2,2.450,6.950,6.950,2.200,4,0.000,0.6667,0,4,4,0,0,0,0,1,1,2
10.0,neural,45,1.0,3,1.083,1.083,1.083,0.650,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
15.0,neural,45,1.0,0,5.950,5.950,5.950,0.567,1,4.000,1.0000,1,1,1,0,1,0,0,0,0,0
15.0,neural,45,1.0,1,0.929,4.950,4.950,1.900,4,12.000,0.5000,3,7,7,0,1,0,0,2,2,0
15.0,neural,45,1.0,2,4.950,6.950,6.950,2.567,4,4.000,0.6667,1,5,5,0,1,0,0,1,1,2
15.0,neural,45,1.0,3,3.042,6.083,6.083,1.067,2,0.000,0.2500,0,2,2,0,0,0,2,0,0,0
20.0,neural,45,1.0,0,2.300,5.950,5.950,0.675,2,3.000,0.2500,1,3,3,0,1,0,0,2,0,0
20.0,neural,45,1.0,1,3.052,5.617,5.617,2.425,4,9.000,0.5000,3,7,7,0,3,0,0,2,2,0
20.0,neural,45,1.0,2,7.206,11.950,11.950,3.050,5,3.000,0.6944,1,6,6,0,1,0,0,2,1,2
