elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,random,44,1.0,0,1.617,1.617,1.617,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,random,44,1.0,1,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
5.0,random,44,1.0,2,0.242,0.483,0.483,1.200,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
5.0,random,44,1.0,3,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,random,44,1.0,0,2.206,6.617,6.617,1.450,3,0.000,0.7500,0,3,3,0,0,0,1,1,1,0
10.0,random,44,1.0,1,0.000,0.000,0.000,0.750,2,6.000,0.5000,1,3,3,0,0,0,1,0,0,1
10.0,random,44,1.0,2,4.192,5.483,5.483,1.600,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
10.0,random,44,1.0,3,1.742,3.483,3.483,1.050,2,6.000,0.2500,1,2,2,0,0,0,0,1,0,0
15.0,random,44,1.0,0,2.911,11.617,11.617,2.300,5,4.000,0.8929,1,6,6,0,0,0,1,1,2,1
15.0,random,44,1.0,1,1.044,3.133,3.133,1.000,2,8.000,0.2500,2,3,3,0,0,0,0,0,0,1
15.0,random,44,1.0,2,6.300,10.483,10.483,1.967,3,0.000,0.7500,0,3,3,0,0,0,0,1,1,1
15.0,random,44,1.0,3,2.828,8.483,8.483,1.133,2,4.000,0.5000,1,3,3,0,0,0,0,1,1,0
20.0,random,44,1.0,0,5.257,16.617,16.617,3.200,6,3.000,0.9000,1,7,7,0,0,0,1,2,2,1
20.0,random,44,1.0,1,2.033,8.133,8.133,1.100,2,6.000,0.5000,2,4,3,1,1,0,1,0,0,1
20.0,random,44,1.0,2,6.997,15.483,15.483,2.525,5,0.000,0.6944,0,5,5,0,0,0,0,2,1,2
20.0,random,44,1.0,3,2.990,13.483,13.483,1.450,4,3.000,0.6667,1,5,5,0,1,0,0,1,2,1
25.0,random,44,1.0,0,7.148,21.617,21.617,3.940,8,7.200,0.6429,3,9,9,0,0,0,2,3,0,1
25.0,random,44,1.0,1,2.669,13.133,13.133,1.360,4,4.800,0.6667,2,6,5,1,2,0,1,1,0,2
25.0,random,44,1.0,2,9.997,20.483,20.483,3.120,6,0.000,0.6429,0,6,6,0,0,0,0,2,1,3
25.0,random,44,1.0,3,5.780,18.483,18.483,1.960,4,2.400,0.6667,1,5,5,0,1,0,0,1,2,1
30.0,random,44,1.0,0,10.356,26.617,26.617,4.283,8,6.000,0.6429,3,9,9,0,2,0,2,3,0,1
30.0,random,44,1.0,1,4.733,18.133,18.133,1.667,4,6.000,0.4500,3,6,5,1,2,0,0,1,0,2
30.0,random,44,1.0,2,8.545,22.900,22.900,3.817,8,4.000,0.6154,2,10,10,0,0,0,1,0,3,4
30.0,random,44,1.0,3,8.053,23.483,23.483,2.317,5,2.000,0.6944,1,6,6,0,1,0,0,1,2,2
35.0,random,44,1.0,0,11.200,31.617,31.617,4.614,8,5.143,0.7273,3,11,11,0,2,0,3,3,0,2
35.0,random,44,1.0,1,5.425,23.133,23.133,2.000,5,5.143,0.5682,3,8,7,1,3,0,0,1,1,3
35.0,random,44,1.0,2,10.662,27.900,27.900,4.543,9,3.429,0.6136,2,11,11,0,2,0,1,0,4,4
35.0,random,44,1.0,3,11.378,25.483,25.483,2.614,5,3.429,0.5000,2,6,6,0,1,0,0,0,2,2
40.0,random,44,1.0,0,13.150,36.617,36.617,5.150,9,4.500,0.8804,3,12,12,0,2,0,3,3,1,2
40.0,random,44,1.0,1,7.439,28.133,28.133,2.462,6,4.500,0.5000,3,9,8,1,3,0,0,1,1,4
40.0,random,44,1.0,2,13.392,32.900,32.900,5.112,10,3.000,0.7353,2,12,12,0,2,0,1,1,4,4
40.0,random,44,1.0,3,11.033,25.483,25.483,2.888,6,3.000,0.6429,2,8,8,0,2,0,1,0,3,2
45.0,random,44,1.0,0,15.215,41.617,41.617,5.578,9,5.333,0.7500,4,13,13,0,2,0,3,3,0,3
45.0,random,44,1.0,1,9.695,33.133,33.133,2.889,7,4.000,0.4537,3,10,9,1,3,0,0,1,1,5
45.0,random,44,1.0,2,14.693,37.900,37.900,5.711,11,4.000,0.8176,3,14,14,0,2,0,1,2,4,4
45.0,random,44,1.0,3,12.267,26.467,26.467,3.300,7,4.000,0.6429,3,9,9,0,2,0,1,0,3,2
50.0,random,44,1.0,0,15.816,46.617,46.617,5.970,11,8.400,0.6154,7,15,15,0,2,0,0,4,1,3
50.0,random,44,1.0,1,13.047,38.133,38.133,3.300,7,3.600,0.4537,3,10,9,1,3,0,0,1,1,5
50.0,random,44,1.0,2,17.962,42.900,42.900,6.170,11,4.800,0.7353,4,14,14,0,3,0,1,1,4,4
50.0,random,44,1.0,3,11.700,31.467,31.467,3.660,9,3.600,0.6532,3,12,12,0,3,0,1,1,5,2
55.0,random,44,1.0,0,17.113,51.617,51.617,6.200,11,7.636,0.6983,7,16,16,0,3,0,0,4,2,3
55.0,random,44,1.0,1,12.728,43.133,43.133,3.809,10,3.273,0.6579,3,13,12,1,3,0,0,2,3,5
55.0,random,44,1.0,2,21.391,47.900,47.900,6.482,11,5.455,0.6136,5,14,14,0,4,0,1,0,4,4
55.0,random,44,1.0,3,12.178,33.950,33.950,3.882,9,7.636,0.9000,7,13,13,0,3,0,1,1,2,2
60.0,random,44,1.0,0,19.767,56.617,56.617,6.433,11,7.000,0.6983,7,16,16,0,3,0,0,4,2,3
60.0,random,44,1.0,1,15.135,48.133,48.133,4.642,15,3.000,0.8929,3,18,14,4,3,0,5,2,3,5
60.0,random,44,1.0,2,21.384,52.900,52.900,6.867,14,5.000,0.6447,5,19,16,3,5,0,1,1,7,5
60.0,random,44,1.0,3,12.845,38.950,38.950,4.083,9,8.000,0.7500,8,14,14,0,3,0,1,1,1,3
65.0,random,44,1.0,0,20.780,61.617,61.617,6.515,11,8.308,0.6154,9,17,17,0,3,0,0,4,1,3
65.0,random,44,1.0,1,17.913,53.133,53.133,5.200,15,7.385,0.6579,8,18,14,4,3,0,0,2,3,5
65.0,random,44,1.0,2,20.525,50.517,57.900,7.600,18,4.615,0.6639,5,23,18,5,5,0,1,2,9,6
