elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,adaptive,44,1.0,0,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,adaptive,44,1.0,1,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,adaptive,44,1.0,2,0.242,0.483,0.483,1.200,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
5.0,adaptive,44,1.0,3,0.933,1.867,1.867,1.000,2,0.000,0.5000,0,2,2,0,0,0,0,1,0,1
10.0,adaptive,44,1.0,0,0.000,0.000,0.000,0.350,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,adaptive,44,1.0,1,1.742,3.483,3.483,0.700,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
10.0,adaptive,44,1.0,2,2.794,5.483,5.483,1.850,3,0.000,0.4500,0,3,3,0,0,0,0,1,2,0
10.0,adaptive,44,1.0,3,2.454,6.867,6.867,2.100,4,0.000,0.6667,0,4,4,0,0,0,0,2,1,1
15.0,adaptive,44,1.0,0,0.000,0.000,0.000,0.533,1,4.000,0.2500,1,2,2,0,0,0,0,1,0,0
15.0,adaptive,44,1.0,1,1.175,3.483,3.483,1.200,3,4.000,0.4500,1,4,4,0,0,0,2,0,0,1
15.0,adaptive,44,1.0,2,3.257,7.900,7.900,2.167,4,4.000,0.6667,1,5,5,0,1,0,1,1,2,0
15.0,adaptive,44,1.0,3,4.343,7.950,7.950,2.167,4,8.000,0.7500,2,5,4,1,2,0,0,1,1,1
20.0,adaptive,44,1.0,0,2.242,4.483,4.483,0.650,1,3.000,0.2500,1,2,2,0,0,0,0,1,0,0
20.0,adaptive,44,1.0,1,3.757,6.217,6.217,1.675,4,3.000,0.4000,1,5,4,1,0,0,3,0,0,1
20.0,adaptive,44,1.0,2,5.561,12.900,12.900,2.800,5,3.000,0.6944,1,6,6,0,1,0,2,1,2,0
20.0,adaptive,44,1.0,3,3.619,12.950,12.950,2.700,6,9.000,0.9000,3,9,8,1,2,0,1,1,2,2
25.0,adaptive,44,1.0,0,1.828,5.483,5.483,0.620,1,4.800,0.2500,2,3,3,0,0,0,0,0,1,0
25.0,adaptive,44,1.0,1,4.297,9.133,9.133,1.940,4,9.600,0.5000,4,6,5,1,0,0,1,0,0,1
25.0,adaptive,44,1.0,2,7.045,13.900,13.900,2.940,5,7.200,0.4000,3,7,7,0,1,0,3,1,0,0
25.0,adaptive,44,1.0,3,4.559,15.950,15.950,3.500,8,12.000,0.6429,5,11,10,1,3,0,1,2,3,0
30.0,adaptive,44,1.0,0,1.846,5.483,5.483,0.767,2,4.000,0.5000,2,4,4,0,0,0,1,0,1,0
30.0,adaptive,44,1.0,1,5.303,16.867,16.867,2.317,5,10.000,0.3676,5,10,7,3,2,0,0,1,0,4
30.0,adaptive,44,1.0,2,8.124,14.217,14.217,3.317,6,6.000,0.4500,3,9,8,1,3,0,4,2,0,0
30.0,adaptive,44,1.0,3,6.575,18.417,18.417,3.933,8,10.000,0.6447,5,12,11,1,3,0,1,3,3,0
35.0,adaptive,44,1.0,0,2.721,5.483,5.483,0.857,2,5.143,0.2500,3,4,4,0,0,0,1,0,0,0
35.0,adaptive,44,1.0,1,6.101,21.867,21.867,2.886,8,8.571,0.4211,5,13,10,3,4,0,1,1,0,6
35.0,adaptive,44,1.0,2,9.663,18.217,18.217,3.729,7,10.286,0.4000,6,10,9,1,3,0,1,3,0,0
35.0,adaptive,44,1.0,3,8.519,23.417,23.417,4.443,8,8.571,0.6154,5,13,12,1,3,0,1,3,4,0
40.0,adaptive,44,1.0,0,3.177,6.500,6.500,0.988,2,4.500,0.2500,3,5,5,0,1,0,2,0,0,0
40.0,adaptive,44,1.0,1,6.437,22.867,22.867,3.087,8,16.500,0.7500,11,14,11,3,5,0,1,1,1,0
40.0,adaptive,44,1.0,2,8.587,22.867,22.867,3.775,7,10.500,0.5000,7,13,12,1,3,0,3,3,0,0
40.0,adaptive,44,1.0,3,10.212,24.417,24.417,4.588,8,13.500,0.5000,9,15,12,3,3,0,3,3,0,0
45.0,adaptive,44,1.0,0,2.446,9.500,9.500,1.278,5,6.667,0.6667,5,9,9,0,1,0,1,2,0,1
45.0,adaptive,44,1.0,1,6.823,22.867,22.867,3.111,8,14.667,0.6667,11,15,12,3,10,0,1,2,1,0
45.0,adaptive,44,1.0,2,10.198,27.867,27.867,4.100,9,10.667,0.6983,8,17,12,5,3,0,2,3,4,0
45.0,adaptive,44,1.0,3,11.556,25.850,25.850,4.933,8,12.000,0.4706,9,17,12,5,3,0,5,3,0,0
50.0,adaptive,44,1.0,0,3.610,9.500,9.500,1.590,5,7.200,0.4000,6,10,10,0,1,0,0,3,0,1
50.0,adaptive,44,1.0,1,7.516,22.867,22.867,3.270,8,13.200,0.6944,11,16,13,3,10,0,1,2,2,0
50.0,adaptive,44,1.0,2,10.300,32.867,32.867,4.430,9,12.000,0.6136,10,19,14,5,3,0,1,4,4,0
50.0,adaptive,44,1.0,3,12.445,30.850,30.850,5.300,10,10.800,0.4808,9,19,13,6,3,0,6,4,0,0
55.0,adaptive,44,1.0,0,4.675,10.433,10.433,1.918,6,6.545,0.6429,6,12,12,0,1,0,2,3,0,1
55.0,adaptive,44,1.0,1,8.159,24.767,24.767,3.645,8,12.000,0.6667,11,19,14,5,10,0,4,2,2,0
55.0,adaptive,44,1.0,2,11.542,33.867,33.867,4.600,9,15.273,0.3676,14,19,14,5,5,0,1,0,4,0
55.0,adaptive,44,1.0,3,11.898,31.217,33.850,5.773,13,14.182,0.3788,13,23,15,8,3,0,8,1,0,1
60.0,adaptive,44,1.0,0,5.671,15.433,15.433,2.283,7,8.000,0.6429,8,14,14,0,1,0,2,3,1,0
60.0,adaptive,44,1.0,1,8.272,22.867,29.767,4.067,10,13.000,0.4939,13,22,16,6,10,0,6,2,1,0
60.0,adaptive,44,1.0,2,12.858,35.333,35.333,4.633,9,14.000,0.3676,14,19,14,5,7,0,1,0,4,0
60.0,adaptive,44,1.0,3,13.126,35.067,36.217,6.125,13,14.000,0.3049,14,24,16,8,7,0,9,0,0,1
65.0,adaptive,44,1.0,0,7.609,20.433,20.433,2.631,8,7.385,0.7273,8,16,14,2,3,0,2,3,3,0
65.0,adaptive,44,1.0,1,9.565,24.767,34.767,4.454,10,12.000,0.5682,13,23,17,6,10,0,6,2,2,0
65.0,adaptive,44,1.0,2,13.465,40.333,40.333,4.700,9,12.923,0.5000,14,20,15,5,7,0,1,1,4,0
65.0,adaptive,44,1.0,3,13.525,40.067,41.217,6.569,13,12.923,0.3435,14,27,19,8,8,0,11,0,1,1
70.0,adaptive,44,1.0,0,9.758,25.433,25.433,3.014,8,6.857,0.7273,8,16,14,2,3,0,2,3,3,0
70.0,adaptive,44,1.0,1,10.133,29.767,38.767,4.893,12,12.857,0.5500,15,26,20,6,10,0,7,1,2,1
70.0,adaptive,44,1.0,2,14.198,35.400,45.333,4.857,9,12.000,0.4537,14,21,16,5,7,0,1,1,5,0
70.0,adaptive,44,1.0,3,15.179,45.067,46.217,7.079,14,12.000,0.3889,14,28,20,8,8,0,11,0,1,2
75.0,adaptive,44,1.0,0,11.508,26.433,26.433,3.193,8,8.800,0.4808,11,16,14,2,3,0,2,0,3,0
75.0,adaptive,44,1.0,1,11.032,34.767,38.767,5.347,12,12.800,0.6000,16,28,22,6,10,0,7,1,3,1
75.0,adaptive,44,1.0,2,16.694,40.400,50.333,5.027,9,11.200,0.5786,14,23,16,7,7,0,1,3,5,0
75.0,adaptive,44,1.0,3,15.868,47.083,48.217,7.407,15,19.200,0.8804,24,33,23,10,8,0,2,3,1,3
80.0,adaptive,44,1.0,0,12.302,26.933,26.933,3.350,8,8.250,0.6429,11,17,15,2,3,0,2,1,3,0
80.0,adaptive,44,1.0,1,12.061,38.767,39.767,5.787,13,12.750,0.6123,17,30,24,6,10,0,7,0,4,2
80.0,adaptive,44,1.0,2,16.944,43.400,53.333,5.294,11,14.250,0.6447,19,26,18,8,7,0,1,4,1,1
80.0,adaptive,44,1.0,3,16.369,47.083,48.217,7.500,15,19.500,0.6154,26,34,23,11,14,0,0,4,1,3
85.0,adaptive,44,1.0,0,13.023,31.933,31.933,3.488,8,8.471,0.6429,12,18,16,2,3,0,2,0,3,1
85.0,adaptive,44,1.0,1,13.313,38.767,43.767,6.212,14,14.118,0.8176,20,31,25,6,10,0,4,1,4,2
85.0,adaptive,44,1.0,2,17.381,43.400,53.333,5.376,11,14.118,0.4537,20,27,18,9,8,0,1,5,0,1
85.0,adaptive,44,1.0,3,15.800,47.900,48.217,7.635,15,18.353,0.7826,26,38,26,12,19,0,2,5,1,4
90.0,adaptive,44,1.0,0,12.821,36.933,36.933,3.611,8,9.333,0.6429,14,20,18,2,3,0,0,1,3,2
