elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,fixed,43,1.0,0,0.378,1.133,1.133,2.100,3,0.000,0.4500,0,3,3,0,0,0,0,0,2,1
5.0,fixed,43,1.0,1,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,fixed,43,1.0,2,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,fixed,43,1.0,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,fixed,43,1.0,0,3.656,6.133,6.133,2.550,3,0.000,0.4500,0,3,3,0,0,0,0,0,2,1
10.0,fixed,43,1.0,1,0.000,0.000,0.000,0.050,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,fixed,43,1.0,2,0.703,3.517,3.517,1.850,5,0.000,0.8929,0,5,5,0,0,0,1,2,1,1
10.0,fixed,43,1.0,3,2.867,2.867,2.867,0.550,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
15.0,fixed,43,1.0,0,8.656,11.133,11.133,2.700,3,0.000,0.4500,0,3,3,0,0,0,0,0,2,1
15.0,fixed,43,1.0,1,0.950,0.950,0.950,0.367,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
15.0,fixed,43,1.0,2,3.227,8.517,8.517,3.533,8,0.000,0.8889,0,8,8,0,0,0,1,2,3,2
15.0,fixed,43,1.0,3,2.622,7.867,7.867,0.900,3,0.000,0.7500,0,3,3,0,0,0,0,1,1,1
20.0,fixed,43,1.0,0,10.242,16.133,16.133,2.800,4,0.000,0.6667,0,4,4,0,0,0,1,0,2,1
20.0,fixed,43,1.0,1,2.156,5.950,5.950,0.825,3,0.000,0.7500,0,3,3,0,0,0,1,1,0,1
20.0,fixed,43,1.0,2,5.570,13.517,13.517,4.250,8,6.000,0.5833,2,9,9,0,1,0,1,0,4,2
20.0,fixed,43,1.0,3,2.950,7.867,7.867,1.400,3,3.000,0.4500,1,4,4,0,1,0,0,0,2,1
25.0,fixed,43,1.0,0,9.531,21.133,21.133,3.160,6,0.000,0.6429,0,6,6,0,0,0,2,0,3,1
25.0,fixed,43,1.0,1,5.489,10.950,10.950,1.060,3,2.400,0.5000,1,3,3,0,0,0,1,0,0,1
25.0,fixed,43,1.0,2,6.756,18.517,18.517,5.120,9,7.200,0.7500,3,12,12,0,2,0,1,1,4,3
25.0,fixed,43,1.0,3,5.340,7.867,7.867,1.740,4,2.400,0.6667,1,5,4,1,1,0,0,1,2,1
30.0,fixed,43,1.0,0,11.614,26.133,26.133,3.717,7,0.000,0.7206,0,7,7,0,0,0,2,0,3,2
30.0,fixed,43,1.0,1,6.617,15.950,15.950,1.267,3,2.000,0.4500,1,4,4,0,0,0,2,0,0,1
30.0,fixed,43,1.0,2,9.578,23.517,23.517,5.917,10,6.000,0.7353,3,13,13,0,3,0,1,1,4,4
30.0,fixed,43,1.0,3,6.274,12.517,12.517,2.250,6,2.000,0.5000,1,7,6,1,1,0,0,1,4,1
35.0,fixed,43,1.0,0,10.195,31.133,31.133,4.000,7,5.143,0.7206,3,10,10,0,0,0,2,0,2,3
35.0,fixed,43,1.0,1,7.640,20.950,20.950,1.643,4,1.714,0.6667,1,5,5,0,0,0,2,1,0,1
35.0,fixed,43,1.0,2,11.886,28.517,28.517,5.957,10,12.000,0.5000,7,13,13,0,3,0,1,1,0,4
35.0,fixed,43,1.0,3,6.740,17.517,17.517,2.457,6,6.857,0.6667,4,8,7,1,1,0,0,2,1,1
40.0,fixed,43,1.0,0,12.695,36.133,36.133,4.300,7,6.000,0.6429,4,10,10,0,3,0,2,0,1,3
40.0,fixed,43,1.0,1,8.314,25.950,25.950,2.087,6,1.500,0.5000,1,7,7,0,0,0,4,1,0,1
40.0,fixed,43,1.0,2,11.485,33.517,33.517,6.312,10,12.000,0.7353,8,18,15,3,7,0,1,2,2,5
40.0,fixed,43,1.0,3,7.550,22.517,22.517,2.575,6,7.500,0.6667,5,9,8,1,1,0,0,2,1,1
45.0,fixed,43,1.0,0,14.041,41.133,41.133,4.522,7,5.333,0.5833,4,11,11,0,4,0,2,0,1,4
45.0,fixed,43,1.0,1,8.402,30.950,30.950,2.667,9,1.333,0.6136,1,10,10,0,0,0,5,2,0,2
45.0,fixed,43,1.0,2,12.551,38.517,38.517,6.911,12,10.667,0.7200,8,20,16,4,8,0,1,2,3,6
45.0,fixed,43,1.0,3,9.224,27.517,27.517,2.733,6,6.667,0.6667,5,9,8,1,1,0,0,2,1,1
50.0,fixed,43,1.0,0,15.405,41.133,41.133,4.430,7,9.600,0.4500,8,11,11,0,5,0,2,0,1,0
50.0,fixed,43,1.0,1,10.427,35.950,35.950,3.200,9,3.600,0.4706,3,11,11,0,0,0,5,3,0,0
50.0,fixed,43,1.0,2,14.037,38.517,38.517,6.920,12,16.800,0.6429,14,20,16,4,8,0,1,2,3,0
50.0,fixed,43,1.0,3,7.540,27.517,27.517,2.920,7,7.200,0.5833,6,13,12,1,1,0,2,4,1,0
55.0,fixed,43,1.0,0,16.462,41.133,41.133,4.591,9,15.273,0.4000,14,18,12,6,8,0,3,0,1,0
55.0,fixed,43,1.0,1,13.016,40.950,40.950,3.736,10,4.364,0.4808,4,14,13,1,2,0,6,4,0,0
55.0,fixed,43,1.0,2,15.537,43.217,43.217,6.836,12,15.273,0.6429,14,20,16,4,8,0,1,2,3,0
55.0,fixed,43,1.0,3,8.321,27.517,27.517,3.436,9,6.545,0.6136,6,15,14,1,1,0,4,4,1,0
60.0,fixed,43,1.0,0,17.404,41.133,41.133,4.542,9,14.000,0.4000,14,18,12,6,14,0,3,0,1,0
60.0,fixed,43,1.0,1,13.356,45.950,45.950,4.367,13,4.000,0.5216,4,17,16,1,3,0,8,4,0,1
60.0,fixed,43,1.0,2,16.225,38.517,48.217,6.792,12,14.000,0.8167,14,21,17,4,8,0,1,2,3,1
60.0,fixed,43,1.0,3,10.499,32.217,32.217,3.975,10,6.000,0.5952,6,16,15,1,1,0,5,4,1,0
65.0,fixed,43,1.0,0,15.913,41.133,41.133,4.338,9,15.692,0.4500,17,20,14,6,14,0,0,1,2,0
65.0,fixed,43,1.0,1,13.826,45.950,45.950,4.654,13,11.077,0.5000,12,18,17,1,3,0,0,4,1,1
65.0,fixed,43,1.0,2,16.713,38.517,48.217,6.769,12,13.846,0.7206,15,22,18,4,8,0,0,2,3,2
65.0,fixed,43,1.0,3,11.352,37.217,37.217,4.154,10,10.154,0.5000,11,17,16,1,1,0,1,4,1,0
70.0,fixed,43,1.0,0,15.687,38.517,41.133,4.307,9,14.571,0.5000,17,21,15,6,14,0,0,2,2,0
70.0,fixed,43,1.0,1,15.896,36.217,45.950,4.929,13,12.000,0.5714,14,22,18,4,10,0,1,5,1,1
70.0,fixed,43,1.0,2,17.425,41.933,48.217,6.821,12,12.857,0.7273,15,23,19,4,8,0,0,3,3,2
70.0,fixed,43,1.0,3,13.310,48.217,48.217,4.393,10,9.429,0.6983,11,20,18,2,6,0,3,4,2,0
75.0,fixed,43,1.0,0,15.883,38.517,41.133,4.333,9,13.600,0.6944,17,22,16,6,14,0,0,2,2,1
75.0,fixed,43,1.0,1,17.582,40.650,45.950,5.133,13,11.200,0.5714,14,22,18,4,12,0,1,5,1,1
75.0,fixed,43,1.0,2,18.311,46.933,48.217,6.960,12,12.000,0.6983,15,24,20,4,8,0,0,4,3,2
75.0,fixed,43,1.0,3,13.170,47.217,50.133,4.760,12,8.800,0.8182,11,23,21,2,6,0,3,5,3,1
80.0,fixed,43,1.0,0,15.794,38.517,41.133,4.269,9,14.250,0.6667,19,23,17,6,14,0,0,1,2,1
80.0,fixed,43,1.0,1,17.470,40.650,45.950,5.075,13,14.250,1.0000,19,23,19,4,13,0,1,1,1,1
80.0,fixed,43,1.0,2,17.096,48.217,48.333,6.912,12,14.250,0.8100,19,28,22,6,10,0,1,2,4,2
80.0,fixed,43,1.0,3,15.348,47.217,55.133,5.075,12,12.000,0.8333,16,26,22,4,8,0,4,2,3,1
85.0,fixed,43,1.0,0,14.548,41.133,42.500,4.318,9,14.118,0.9000,20,26,20,6,14,0,1,2,2,1
85.0,fixed,43,1.0,1,18.122,40.650,45.950,4.971,13,14.118,0.7500,20,23,19,4,13,0,1,0,1,1
85.0,fixed,43,1.0,2,17.445,48.217,53.333,6.994,12,14.823,0.5333,21,29,23,6,12,0,1,0,5,2
85.0,fixed,43,1.0,3,16.331,47.217,60.133,5.418,12,14.823,0.7500,21,30,23,7,12,0,4,1,3,1
90.0,fixed,43,1.0,0,14.970,41.133,47.500,4.428,9,13.333,0.8167,20,27,21,6,14,0,1,3,2,1
90.0,fixed,43,1.0,1,17.272,40.650,45.950,4.939,13,13.333,0.6944,20,25,21,4,13,0,2,0,2,1
90.0,fixed,43,1.0,2,18.063,48.217,58.333,7.089,12,14.000,0.6532,21,30,23,7,14,0,1,1,5,2
90.0,fixed,43,1.0,3,16.200,47.217,65.133,5.711,12,14.000,0.9000,21,33,25,8,16,0,4,2,4,2
95.0,fixed,43,1.0,0,15.241,41.133,47.500,4.495,9,13.895,0.6429,22,28,22,6,14,0,2,3,0,1
95.0,fixed,43,1.0,1,16.435,40.650,45.950,4.932,13,13.895,0.4808,22,27,23,4,13,0,3,0,0,2
95.0,fixed,43,1.0,2,18.729,48.217,58.333,6.947,12,16.421,0.6667,26,30,23,7,14,0,1,1,0,2
95.0,fixed,43,1.0,3,16.417,47.217,70.133,5.942,12,15.158,0.7756,24,35,27,8,16,0,5,3,1,2
100.0,fixed,43,1.0,0,15.455,41.133,47.500,4.660,9,13.200,0.6532,22,31,24,7,16,0,2,5,1,1
100.0,fixed,43,1.0,1,16.056,40.650,45.950,4.995,13,13.200,0.5833,22,29,25,4,13,0,4,1,0,2
100.0,fixed,43,1.0,2,19.295,48.217,58.333,6.915,12,16.200,0.8167,27,34,24,10,19,0,1,1,3,2
100.0,fixed,43,1.0,3,17.671,47.217,75.133,6.170,12,15.000,0.6579,25,35,27,8,16,0,5,3,0,2
105.0,fixed,43,1.0,0,15.296,41.133,47.500,4.948,12,12.571,0.8571,22,34,26,8,16,0,3,5,2,2
105.0,fixed,43,1.0,1,16.004,41.817,45.950,5.157,13,12.571,0.6983,22,31,27,4,13,0,4,2,0,3
105.0,fixed,43,1.0,2,19.483,49.533,58.333,6.924,12,15.429,0.8000,27,35,25,10,20,0,1,1,3,3
105.0,fixed,43,1.0,3,19.100,47.217,80.133,6.352,12,14.286,0.6579,25,35,27,8,16,0,5,3,0,2
110.0,fixed,43,1.0,0,16.850,41.950,47.500,5.223,12,13.091,0.8182,24,36,27,9,16,0,3,5,3,1
110.0,fixed,43,1.0,1,16.442,41.817,45.950,5.232,13,13.636,0.4900,25,32,28,4,14,0,4,3,0,0
110.0,fixed,43,1.0,2,18.591,54.533,58.333,6.973,12,15.818,0.8100,29,38,27,11,20,0,1,2,4,2
110.0,fixed,43,1.0,3,19.680,47.217,85.134,6.459,12,14.727,0.5786,27,36,28,8,16,0,5,3,0,1
115.0,fixed,43,1.0,0,17.813,41.950,47.500,5.552,13,13.565,0.7161,26,39,29,10,19,0,3,5,5,0
115.0,fixed,43,1.0,1,17.759,45.950,46.417,5.352,13,14.087,0.4900,27,34,28,6,16,0,4,3,0,0
115.0,fixed,43,1.0,2,18.501,58.333,59.533,7.078,12,15.652,0.8333,30,40,29,11,20,0,2,3,4,1
115.0,fixed,43,1.0,3,20.229,47.217,90.134,6.552,12,14.609,0.5786,28,37,29,8,16,0,5,3,1,0
120.0,fixed,43,1.0,0,18.708,43.933,47.500,5.896,14,13.000,0.8167,26,40,29,11,20,0,3,5,5,1
120.0,fixed,43,1.0,1,18.253,45.950,51.417,5.442,13,13.500,0.6154,27,35,28,7,18,0,4,3,0,1
120.0,fixed,43,1.0,2,17.862,48.217,64.533,7.300,14,15.000,0.9074,30,44,33,11,20,0,2,3,5,4
120.0,fixed,43,1.0,3,20.750,49.617,95.134,6.658,12,14.000,0.6579,28,38,30,8,16,0,5,3,2,0
125.0,fixed,43,1.0,0,19.080,41.950,48.933,6.160,14,13.920,0.6500,29,42,31,11,20,0,0,5,6,2
125.0,fixed,43,1.0,1,17.808,45.950,51.417,5.444,13,14.880,0.6429,31,37,30,7,18,0,1,3,0,2
125.0,fixed,43,1.0,2,18.936,48.217,69.533,7.496,14,15.360,0.7200,32,44,33,11,20,0,0,3,5,4
125.0,fixed,43,1.0,3,20.740,49.617,95.134,6.632,12,15.840,0.5000,33,39,31,8,16,0,0,3,3,0
130.0,fixed,43,1.0,0,19.103,44.650,53.933,6.488,16,13.385,0.6809,29,45,34,11,20,0,1,5,8,2
130.0,fixed,43,1.0,1,17.997,41.817,51.417,5.577,13,14.308,0.7756,31,42,32,10,22,0,5,3,1,2
130.0,fixed,43,1.0,2,20.283,48.217,74.533,7.669,14,14.769,0.7200,32,44,33,11,20,0,0,3,5,4
130.0,fixed,43,1.0,3,21.275,47.217,95.134,6.638,12,15.231,0.7273,33,41,31,10,21,0,2,3,3,0
