elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,neural,45,1.0,0,0.950,0.950,0.950,0.700,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,neural,45,1.0,1,0.000,0.000,0.000,0.500,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,neural,45,1.0,2,0.975,1.950,1.950,1.000,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
5.0,neural,45,1.0,3,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,neural,45,1.0,0,5.950,5.950,5.950,0.850,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
10.0,neural,45,1.0,1,1.367,4.950,4.950,1.300,4,0.000,0.4000,0,4,4,0,0,0,0,0,1,3
10.0,neural,45,1.0,2,2.450,6.950,6.950,2.200,4,0.000,0.6667,0,4,4,0,0,0,0,1,1,2
10.0,neural,45,1.0,3,1.083,1.083,1.083,0.650,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
15.0,neural,45,1.0,0,2.975,5.950,5.950,0.667,1,4.000,0.2500,1,2,2,0,1,0,0,1,0,0
15.0,neural,45,1.0,1,0.981,4.950,4.950,1.800,4,12.000,0.4500,3,6,6,0,1,0,0,0,2,1
15.0,neural,45,1.0,2,4.314,6.950,6.950,2.867,5,4.000,0.4808,1,6,6,0,1,0,0,0,2,3
15.0,neural,45,1.0,3,1.083,1.083,1.083,0.433,1,4.000,1.0000,1,1,1,0,0,0,0,0,0,0
20.0,neural,45,1.0,0,4.783,5.950,5.950,0.750,1,3.000,0.2500,1,2,2,0,1,0,0,1,0,0
20.0,neural,45,1.0,1,1.683,5.417,5.417,2.000,4,12.000,0.4500,4,7,7,0,3,0,0,0,2,1
20.0,neural,45,1.0,2,7.036,11.950,11.950,3.625,6,3.000,0.6429,1,7,7,0,1,0,0,1,2,3
