elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,rl,44,1.0,0,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,rl,44,1.0,1,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,rl,44,1.0,2,0.242,0.483,0.483,1.200,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
5.0,rl,44,1.0,3,0.933,1.867,1.867,1.000,2,0.000,0.5000,0,2,2,0,0,0,0,1,0,1
10.0,rl,44,1.0,0,0.000,0.000,0.000,0.050,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,rl,44,1.0,1,2.483,3.483,3.483,1.100,2,0.000,0.2500,0,2,2,0,0,0,0,2,0,0
10.0,rl,44,1.0,2,1.677,5.483,5.483,2.350,5,0.000,0.6944,0,5,5,0,0,0,1,2,2,0
10.0,rl,44,1.0,3,4.908,6.867,6.867,1.500,2,0.000,0.5000,0,2,2,0,0,0,0,1,0,1
15.0,rl,44,1.0,0,0.608,1.217,1.217,0.467,2,0.000,0.5000,0,2,2,0,0,0,1,0,1,0
15.0,rl,44,1.0,1,1.621,3.483,3.483,1.200,2,8.000,0.5000,2,4,4,0,0,0,0,0,1,1
15.0,rl,44,1.0,2,2.922,7.900,7.900,2.800,5,8.000,0.6667,2,6,6,0,2,0,1,0,2,1
15.0,rl,44,1.0,3,3.957,7.950,7.950,1.433,4,4.000,0.5000,1,5,3,2,1,0,0,2,0,2
20.0,rl,44,1.0,0,2.063,6.217,6.217,1.000,4,0.000,1.0000,0,4,4,0,0,0,1,1,1,1
20.0,rl,44,1.0,1,2.580,6.517,6.517,1.625,3,6.000,0.4500,2,5,5,0,0,0,0,0,2,1
20.0,rl,44,1.0,2,4.717,12.900,12.900,3.350,6,6.000,0.7500,2,8,8,0,2,0,1,1,3,1
20.0,rl,44,1.0,3,6.570,12.950,12.950,2.075,4,3.000,0.5000,1,5,3,2,1,0,0,2,0,2
25.0,rl,44,1.0,0,3.626,11.217,11.217,1.780,6,2.400,0.9000,1,7,7,0,0,0,2,1,1,2
25.0,rl,44,1.0,1,3.760,11.517,11.517,2.100,5,4.800,0.6944,2,7,7,0,0,0,0,1,2,2
25.0,rl,44,1.0,2,7.644,17.900,17.900,3.800,6,7.200,0.5682,3,8,8,0,2,0,1,0,3,1
25.0,rl,44,1.0,3,8.970,17.950,17.950,2.140,4,7.200,0.2500,3,5,3,2,1,0,0,0,0,2
30.0,rl,44,1.0,0,5.052,16.217,16.217,2.467,7,4.000,0.9423,2,9,9,0,0,0,2,1,2,2
30.0,rl,44,1.0,1,5.763,16.517,16.517,2.567,5,6.000,0.6944,3,8,8,0,0,0,0,1,2,2
30.0,rl,44,1.0,2,7.852,22.900,22.900,4.167,8,6.000,0.8889,3,11,9,2,3,0,2,2,3,1
30.0,rl,44,1.0,3,7.836,22.950,22.950,2.250,4,6.000,0.6667,3,7,4,3,3,0,0,1,1,2
35.0,rl,44,1.0,0,7.150,21.217,21.217,3.014,7,5.143,0.7206,3,10,10,0,0,0,2,0,2,3
35.0,rl,44,1.0,1,6.420,21.517,21.517,3.100,8,6.857,0.8167,4,11,11,0,0,0,1,1,2,3
35.0,rl,44,1.0,2,10.764,27.900,27.900,4.686,8,6.857,0.8167,4,11,9,2,3,0,2,1,3,1
35.0,rl,44,1.0,3,8.727,27.950,27.950,2.600,5,6.857,0.5000,4,8,5,3,3,0,0,0,2,2
40.0,rl,44,1.0,0,10.402,26.217,26.217,3.513,7,4.500,0.7206,3,10,10,0,0,0,2,0,2,3
40.0,rl,44,1.0,1,8.069,26.517,26.517,3.538,8,7.500,0.6447,5,12,12,0,0,0,1,0,3,3
40.0,rl,44,1.0,2,12.418,32.900,32.900,4.925,8,9.000,0.6429,6,12,9,3,5,0,2,0,3,1
40.0,rl,44,1.0,3,6.756,32.950,32.950,3.100,8,9.000,0.7273,6,14,9,5,4,0,1,1,2,4
45.0,rl,44,1.0,0,12.092,31.217,31.217,3.856,8,6.667,0.6429,5,11,11,0,0,0,2,1,0,3
45.0,rl,44,1.0,1,9.089,31.517,31.517,4.056,9,6.667,0.7500,5,14,14,0,0,0,1,1,4,3
45.0,rl,44,1.0,2,13.771,37.900,37.900,5.056,8,8.000,0.5833,6,13,10,3,6,0,2,0,4,1
45.0,rl,44,1.0,3,8.546,37.950,37.950,3.700,9,8.000,0.7500,6,15,10,5,6,0,1,1,3,4
50.0,rl,44,1.0,0,13.575,36.217,36.217,4.140,8,6.000,0.7206,5,12,12,0,1,0,2,2,0,3
50.0,rl,44,1.0,1,10.489,36.517,36.517,4.440,9,9.600,0.8167,8,15,15,0,0,0,1,1,2,3
50.0,rl,44,1.0,2,14.963,42.900,42.900,5.260,8,7.200,0.7273,6,14,11,3,6,0,2,1,4,1
50.0,rl,44,1.0,3,9.305,42.950,42.950,4.160,9,9.600,0.8100,8,17,12,5,6,0,2,1,2,4
55.0,rl,44,1.0,0,16.867,41.217,41.217,4.500,10,5.455,0.8929,5,15,13,2,2,0,2,2,2,4
55.0,rl,44,1.0,1,10.726,41.517,41.517,4.664,9,10.909,0.7206,10,17,17,0,0,0,2,2,0,3
55.0,rl,44,1.0,2,16.776,47.900,47.900,5.618,10,6.545,0.5952,6,16,11,5,6,0,2,1,6,1
55.0,rl,44,1.0,3,9.968,47.950,47.950,4.527,9,10.909,0.5786,10,19,14,5,6,0,3,1,0,5
60.0,rl,44,1.0,0,16.412,46.217,46.217,5.092,13,5.000,0.8622,5,18,13,5,2,0,2,2,5,4
60.0,rl,44,1.0,1,11.342,46.517,46.517,4.958,9,10.000,0.8100,10,19,19,0,0,0,2,2,1,4
60.0,rl,44,1.0,2,16.564,52.900,52.900,6.008,12,7.000,0.6207,7,19,13,6,6,0,2,1,7,2
60.0,rl,44,1.0,3,11.297,51.950,51.950,4.925,10,14.000,0.6429,14,20,15,5,6,0,3,2,0,1
65.0,rl,44,1.0,0,17.784,51.217,51.217,5.523,13,7.385,0.9167,8,19,14,5,2,0,2,2,3,4
65.0,rl,44,1.0,1,17.020,51.517,53.617,5.354,13,9.231,0.5788,10,23,19,4,0,0,2,2,1,8
65.0,rl,44,1.0,2,16.155,52.417,57.900,6.615,16,6.462,0.6531,7,23,16,7,7,0,3,2,9,2
65.0,rl,44,1.0,3,11.949,42.133,51.950,5.008,10,13.846,0.4500,15,21,16,5,6,0,4,2,0,0
70.0,rl,44,1.0,0,20.236,56.217,56.217,5.864,13,8.571,0.6983,10,19,14,5,5,0,2,0,3,4
70.0,rl,44,1.0,1,19.049,56.517,58.617,5.914,14,9.429,0.4747,11,24,19,5,0,0,2,2,0,9
70.0,rl,44,1.0,2,16.972,56.217,60.900,7.257,17,10.286,0.8989,12,25,18,7,7,0,3,3,5,2
70.0,rl,44,1.0,3,11.687,42.133,51.950,5.186,10,12.857,0.4939,15,24,19,5,6,0,4,5,0,0
75.0,rl,44,1.0,0,18.713,55.133,61.217,6.240,13,8.000,0.7161,10,23,17,6,5,0,3,0,5,5
75.0,rl,44,1.0,1,20.007,61.517,63.617,6.387,14,10.400,0.4643,13,26,21,5,0,0,3,1,0,9
75.0,rl,44,1.0,2,18.685,60.900,61.217,7.467,17,13.600,0.6579,17,27,18,9,8,0,3,5,0,2
75.0,rl,44,1.0,3,13.456,42.133,51.950,5.440,10,12.000,0.4939,15,24,19,5,6,0,4,5,0,0
80.0,rl,44,1.0,0,19.595,60.133,66.217,6.713,15,7.500,0.7305,10,25,19,6,5,0,4,0,5,6
80.0,rl,44,1.0,1,20.811,66.517,68.617,6.875,15,10.500,0.3769,14,28,23,5,0,0,3,0,0,11
80.0,rl,44,1.0,2,19.804,65.517,66.217,7.631,17,12.750,0.6173,17,28,19,9,17,0,3,6,0,2
80.0,rl,44,1.0,3,16.026,42.133,51.950,5.719,11,11.250,0.4654,15,26,19,7,6,0,4,7,0,0
85.0,rl,44,1.0,0,19.530,65.133,67.217,7.135,15,9.882,0.5698,14,28,22,6,5,0,1,0,6,7
85.0,rl,44,1.0,1,23.311,71.517,73.617,7.294,15,9.882,0.3769,14,28,23,5,0,0,3,0,0,11
85.0,rl,44,1.0,2,20.910,70.517,71.217,7.882,17,12.000,0.6429,17,29,20,9,17,0,4,6,0,2
85.0,rl,44,1.0,3,16.937,43.133,51.950,6.076,13,10.588,0.5216,15,28,20,8,6,0,4,8,0,1
90.0,rl,44,1.0,0,20.306,67.217,70.133,7.517,15,10.000,0.5569,15,30,24,6,5,0,1,0,6,8
90.0,rl,44,1.0,1,25.350,73.517,75.633,7.606,16,14.667,0.5435,22,32,24,8,0,0,6,0,1,3
90.0,rl,44,1.0,2,22.183,75.517,76.217,8.150,17,11.333,0.7412,17,30,21,9,17,0,4,6,1,2
90.0,rl,44,1.0,3,17.643,45.950,51.950,6.311,13,15.333,0.3462,23,29,21,8,6,0,5,0,0,1
95.0,rl,44,1.0,0,21.881,72.133,75.133,7.916,16,9.474,0.5614,15,31,25,6,5,0,1,0,7,8
95.0,rl,44,1.0,1,23.954,73.517,75.633,7.711,16,16.421,0.3971,26,35,26,9,9,0,7,1,1,0
95.0,rl,44,1.0,2,22.618,79.517,81.217,8.426,17,12.000,0.5633,19,32,23,9,17,0,5,7,1,0
95.0,rl,44,1.0,3,18.577,50.950,51.950,6.295,13,14.526,0.3462,23,29,21,8,14,0,5,0,0,1
100.0,rl,44,1.0,0,24.788,77.133,79.517,8.230,17,13.800,0.5127,23,34,26,8,5,0,1,0,7,3
100.0,rl,44,1.0,1,24.512,75.633,76.717,7.820,16,15.600,0.3788,26,36,26,10,12,0,8,1,1,0
100.0,rl,44,1.0,2,23.777,79.517,86.217,8.670,17,11.400,0.6447,19,33,24,9,17,0,5,7,1,1
100.0,rl,44,1.0,3,17.773,51.950,55.950,6.355,13,13.800,0.4939,23,32,24,8,14,0,6,0,1,2
105.0,rl,44,1.0,0,25.243,77.133,79.517,8.324,17,14.857,0.3115,26,35,27,8,13,0,1,0,8,0
105.0,rl,44,1.0,1,24.537,75.633,81.717,7.962,16,14.857,0.5000,26,38,28,10,12,0,8,2,2,0
105.0,rl,44,1.0,2,25.077,79.517,91.217,8.957,17,10.857,0.7120,19,34,25,9,17,0,5,7,1,2
105.0,rl,44,1.0,3,18.392,51.950,60.950,6.486,13,13.143,0.5952,23,33,25,8,14,0,6,1,1,2
110.0,rl,44,1.0,0,26.476,77.133,79.517,8.355,17,14.182,0.3115,26,35,27,8,16,0,1,0,8,0
110.0,rl,44,1.0,1,24.021,73.517,86.717,8.195,16,14.182,0.5569,26,41,31,10,12,0,9,4,2,0
110.0,rl,44,1.0,2,26.660,79.517,96.217,9.100,17,14.182,0.5333,26,34,25,9,17,0,5,0,1,2
110.0,rl,44,1.0,3,18.393,55.217,64.950,6.686,13,14.182,0.9643,26,35,27,8,14,0,3,2,2,2
115.0,rl,44,1.0,0,26.261,77.133,79.517,8.426,17,13.565,0.3559,26,37,29,8,16,0,2,0,9,0
115.0,rl,44,1.0,1,24.812,75.217,90.717,8.491,16,15.130,0.6500,29,42,32,10,12,0,6,5,2,0
115.0,rl,44,1.0,2,27.041,80.083,101.217,9.091,17,13.565,0.6136,26,35,26,9,24,0,5,0,2,2
115.0,rl,44,1.0,3,18.601,55.217,64.950,6.687,13,15.130,0.7206,29,36,28,8,14,0,0,2,2,3
120.0,rl,44,1.0,0,26.150,77.133,79.517,8.575,17,13.000,0.4747,26,39,31,8,16,0,2,2,9,0
120.0,rl,44,1.0,1,24.391,75.217,90.717,8.529,16,17.500,0.5786,35,44,34,10,13,0,0,5,3,1
120.0,rl,44,1.0,2,27.441,85.084,106.217,9.108,17,13.000,0.7353,26,36,27,9,24,0,5,1,2,2
120.0,rl,44,1.0,3,19.497,55.217,64.950,6.700,13,14.500,0.7206,29,36,28,8,20,0,0,2,2,3
125.0,rl,44,1.0,0,26.148,77.133,79.517,8.556,17,16.800,0.6944,35,40,32,8,16,0,2,2,1,0
125.0,rl,44,1.0,1,24.126,75.217,90.717,8.596,16,16.800,0.7756,35,46,36,10,20,0,1,5,3,2
125.0,rl,44,1.0,2,27.181,90.084,111.217,9.172,17,12.960,0.6722,27,38,29,9,24,0,6,1,2,2
125.0,rl,44,1.0,3,20.469,55.217,64.950,6.712,13,13.920,0.7206,29,36,28,8,20,0,0,2,2,3
130.0,rl,44,1.0,0,25.998,74.133,79.517,8.438,17,16.154,0.6429,35,41,33,8,21,0,2,3,1,0
130.0,rl,44,1.0,1,24.639,75.217,90.717,8.715,16,16.154,0.7200,35,47,37,10,21,0,1,6,3,2
