elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,greedy,43,1.0,0,0.378,1.133,1.133,2.100,3,0.000,0.4500,0,3,3,0,0,0,0,0,2,1
5.0,greedy,43,1.0,1,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,greedy,43,1.0,2,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,greedy,43,1.0,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,greedy,43,1.0,0,3.656,6.133,6.133,2.550,3,0.000,0.4500,0,3,3,0,0,0,0,0,2,1
10.0,greedy,43,1.0,1,0.000,0.000,0.000,0.050,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,greedy,43,1.0,2,0.703,3.517,3.517,1.850,5,0.000,0.8929,0,5,5,0,0,0,1,2,1,1
10.0,greedy,43,1.0,3,2.867,2.867,2.867,0.550,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
15.0,greedy,43,1.0,0,5.322,11.133,11.133,2.067,3,8.000,0.2500,2,3,3,0,0,0,0,0,0,1
15.0,greedy,43,1.0,1,0.000,0.000,0.000,1.000,4,4.000,0.4500,1,4,4,0,0,0,1,0,2,0
15.0,greedy,43,1.0,2,3.217,4.483,4.483,2.600,5,4.000,0.6944,1,6,6,0,0,0,1,2,2,0
15.0,greedy,43,1.0,3,1.433,2.867,2.867,0.467,1,4.000,0.2500,1,2,2,0,1,0,0,0,0,1
20.0,greedy,43,1.0,0,5.490,16.133,16.133,2.225,3,6.000,0.4500,2,5,4,1,2,0,0,0,1,2
20.0,greedy,43,1.0,1,1.263,4.900,4.900,1.350,4,6.000,0.4500,2,5,5,0,0,0,1,0,2,0
20.0,greedy,43,1.0,2,6.550,9.483,9.483,3.200,5,3.000,0.6944,1,6,6,0,0,0,1,2,2,0
20.0,greedy,43,1.0,3,1.407,3.950,3.950,0.975,4,3.000,0.6667,1,5,5,0,1,0,1,1,0,2
25.0,greedy,43,1.0,0,7.263,19.133,19.133,2.240,3,9.600,0.2500,4,5,4,1,2,0,0,0,1,0
25.0,greedy,43,1.0,1,1.333,5.900,5.900,1.600,4,9.600,0.6667,4,8,8,0,2,0,2,1,1,0
25.0,greedy,43,1.0,2,7.960,14.467,14.467,3.360,5,7.200,0.5000,3,7,7,0,0,0,2,0,2,0
25.0,greedy,43,1.0,3,3.672,8.950,8.950,1.600,5,4.800,0.5000,2,6,6,0,1,0,0,2,0,2
30.0,greedy,43,1.0,0,7.090,19.133,19.133,2.183,3,8.000,0.2500,4,7,4,3,4,0,0,0,3,0
30.0,greedy,43,1.0,1,2.637,6.867,6.867,2.150,5,8.000,0.6944,4,9,9,0,2,0,2,2,1,0
30.0,greedy,43,1.0,2,10.419,19.467,19.467,3.467,5,6.000,0.5000,3,7,7,0,2,0,2,0,2,0
30.0,greedy,43,1.0,3,4.255,13.950,13.950,2.267,8,4.000,0.7273,2,10,10,0,2,0,1,2,1,4
35.0,greedy,43,1.0,0,7.583,19.133,19.133,2.400,4,6.857,0.4000,4,8,5,3,4,0,0,1,3,0
35.0,greedy,43,1.0,1,4.248,10.867,10.867,2.629,7,10.286,0.5682,6,11,11,0,2,0,1,3,1,0
35.0,greedy,43,1.0,2,11.367,24.467,24.467,3.529,5,6.857,0.6667,4,8,8,0,2,0,1,1,2,0
35.0,greedy,43,1.0,3,5.614,15.950,15.950,2.929,9,10.286,0.6944,6,11,11,0,2,0,2,2,1,0
40.0,greedy,43,1.0,0,7.630,19.133,19.133,2.350,4,10.500,0.5000,7,9,6,3,4,0,0,1,1,0
40.0,greedy,43,1.0,1,5.971,17.867,17.867,3.300,11,9.000,0.9167,6,17,13,4,3,0,2,3,2,4
40.0,greedy,43,1.0,2,11.419,29.467,29.467,3.525,5,7.500,0.6667,5,9,9,0,2,0,0,1,2,1
40.0,greedy,43,1.0,3,7.225,17.867,17.867,3.275,9,10.500,0.6944,7,12,12,0,2,0,2,2,1,0
45.0,greedy,43,1.0,0,8.185,19.133,19.133,2.311,4,9.333,0.5000,7,9,6,3,7,0,0,1,1,0
45.0,greedy,43,1.0,1,6.960,20.483,22.867,4.222,14,9.333,0.8448,7,21,16,5,4,0,2,3,3,6
45.0,greedy,43,1.0,2,12.410,34.467,34.467,3.678,5,6.667,0.6944,5,10,10,0,2,0,0,2,2,1
45.0,greedy,43,1.0,3,9.342,22.867,22.867,3.633,9,9.333,0.6154,7,15,13,2,2,0,4,3,1,0
50.0,greedy,43,1.0,0,7.600,19.133,19.133,2.340,4,8.400,1.0000,7,11,8,3,7,0,1,1,1,1
50.0,greedy,43,1.0,1,8.443,25.483,25.867,5.180,15,14.400,0.8643,12,23,18,5,5,0,4,3,3,1
50.0,greedy,43,1.0,2,13.009,39.467,39.467,3.760,6,8.400,0.4000,7,11,11,0,2,0,0,0,3,1
50.0,greedy,43,1.0,3,11.322,27.867,27.867,4.000,9,12.000,0.5682,10,15,13,2,2,0,1,3,1,0
55.0,greedy,43,1.0,0,7.875,19.133,19.133,2.427,4,8.727,0.6667,8,12,9,3,7,0,2,0,1,1
55.0,greedy,43,1.0,1,9.890,26.483,30.483,5.627,15,14.182,0.7378,13,24,19,5,10,0,4,3,4,0
55.0,greedy,43,1.0,2,13.549,44.467,44.467,3.873,6,7.636,0.6429,7,13,12,1,4,0,0,2,3,1
55.0,greedy,43,1.0,3,11.167,32.867,32.867,4.118,9,12.000,0.4500,11,17,15,2,2,0,0,4,2,0
60.0,greedy,43,1.0,0,7.899,19.133,19.133,2.625,6,8.000,0.6429,8,14,11,3,7,0,2,0,3,1
60.0,greedy,43,1.0,1,11.481,31.483,35.483,6.117,15,13.000,0.7200,13,25,20,5,11,0,4,3,5,0
60.0,greedy,43,1.0,2,14.544,49.467,49.467,4.075,7,7.000,0.5833,7,14,13,1,4,0,0,2,4,1
60.0,greedy,43,1.0,3,12.121,37.867,37.867,4.350,9,11.000,0.4224,11,18,16,2,6,0,0,5,2,0
65.0,greedy,43,1.0,0,7.869,19.933,19.933,2.792,6,9.231,0.7500,10,16,13,3,7,0,1,1,3,1
65.0,greedy,43,1.0,1,13.163,36.483,40.483,6.608,15,12.000,0.7412,13,26,21,5,11,0,4,4,5,0
65.0,greedy,43,1.0,2,14.667,49.467,49.467,4.169,7,9.231,0.6944,10,15,14,1,4,0,0,2,1,2
65.0,greedy,43,1.0,3,13.062,41.867,41.867,4.569,9,12.923,0.4808,14,19,17,2,6,0,0,2,3,0
70.0,greedy,43,1.0,0,7.954,24.933,24.933,3.143,9,8.571,0.8804,10,19,16,3,7,0,2,3,3,1
70.0,greedy,43,1.0,1,14.317,41.483,45.483,6.943,15,15.429,0.4808,18,28,21,7,11,0,6,4,0,0
70.0,greedy,43,1.0,2,14.148,49.467,49.467,4.243,7,9.429,0.6429,11,17,16,1,7,0,0,2,1,3
70.0,greedy,43,1.0,3,13.716,41.867,41.867,4.479,9,13.714,0.2500,16,19,17,2,10,0,0,0,3,0
75.0,greedy,43,1.0,0,11.283,29.933,37.033,3.647,13,10.400,0.5682,13,23,17,6,7,0,2,0,6,2
75.0,greedy,43,1.0,1,15.986,46.483,50.483,7.147,15,14.400,0.4808,18,28,21,7,11,0,6,4,0,0
75.0,greedy,43,1.0,2,14.053,49.467,49.467,4.440,8,8.800,0.6154,11,19,18,1,8,0,0,4,1,3
75.0,greedy,43,1.0,3,13.124,40.617,41.867,4.420,9,12.800,0.4808,16,21,19,2,11,0,0,2,3,0
80.0,greedy,43,1.0,0,12.671,34.933,41.400,4.181,13,9.750,0.5487,13,26,18,8,7,0,3,0,8,2
80.0,greedy,43,1.0,1,17.177,51.483,55.483,7.369,15,13.500,0.5708,18,29,22,7,11,0,6,4,0,1
80.0,greedy,43,1.0,2,12.072,39.417,49.467,4.656,10,11.250,0.6944,15,25,21,4,9,0,1,5,1,3
80.0,greedy,43,1.0,3,14.064,41.867,45.467,4.456,9,12.000,0.4808,16,21,19,2,11,0,0,2,3,0
85.0,greedy,43,1.0,0,14.443,39.933,46.400,4.706,14,9.176,0.6282,13,27,19,8,7,0,3,1,8,2
85.0,greedy,43,1.0,1,18.238,56.483,60.483,7.600,15,15.529,0.7273,22,30,23,7,11,0,2,4,1,1
85.0,greedy,43,1.0,2,12.397,44.383,49.467,4.800,10,14.118,0.6429,20,26,22,4,14,0,2,0,1,3
85.0,greedy,43,1.0,3,13.407,41.867,46.467,4.418,9,13.412,0.6667,19,23,21,2,11,0,0,2,1,1
90.0,greedy,43,1.0,0,15.716,42.933,49.417,5.156,15,13.333,0.7273,20,28,20,8,7,0,4,1,1,2
90.0,greedy,43,1.0,1,17.945,61.483,65.483,7.572,15,16.000,0.7273,24,32,25,7,12,0,1,4,1,2
90.0,greedy,43,1.0,2,13.958,49.383,49.467,4.972,11,13.333,0.7378,20,31,24,7,17,0,3,0,4,4
90.0,greedy,43,1.0,3,13.986,41.867,46.467,4.394,9,12.667,0.6667,19,23,21,2,11,0,0,2,1,1
95.0,greedy,43,1.0,0,16.874,44.950,49.417,5.258,15,13.263,0.5833,21,28,20,8,10,0,4,1,0,2
95.0,greedy,43,1.0,1,17.407,66.483,70.483,7.674,15,15.158,0.7756,24,35,28,7,17,0,1,5,2,3
95.0,greedy,43,1.0,2,14.606,50.517,54.383,5.284,12,13.895,0.7353,22,32,25,7,17,0,1,1,4,4
95.0,greedy,43,1.0,3,14.188,41.867,46.467,4.389,9,12.000,0.6944,19,24,22,2,11,0,0,2,1,2
100.0,greedy,43,1.0,0,18.124,49.417,49.950,5.345,15,12.600,0.5833,21,28,20,8,15,0,4,1,0,2
100.0,greedy,43,1.0,1,18.183,71.483,75.483,7.840,15,15.000,0.6173,25,36,29,7,17,0,0,6,2,3
100.0,greedy,43,1.0,2,15.054,55.517,59.383,5.530,12,13.800,0.6722,23,34,27,7,17,0,0,2,4,5
100.0,greedy,43,1.0,3,13.552,41.867,46.467,4.350,9,12.600,0.5682,21,26,24,2,13,0,0,1,1,3
105.0,greedy,43,1.0,0,18.706,49.417,54.950,5.448,15,12.000,0.6667,21,29,21,8,15,0,4,2,0,2
105.0,greedy,43,1.0,1,18.358,74.483,78.483,7.957,15,17.714,0.5833,31,38,31,7,18,0,0,1,2,4
105.0,greedy,43,1.0,2,15.695,60.517,64.383,5.838,13,13.143,0.6926,23,36,29,7,17,0,0,3,4,6
105.0,greedy,43,1.0,3,13.260,41.867,46.467,4.490,9,12.000,0.8000,21,29,24,5,13,0,3,1,1,3
110.0,greedy,43,1.0,0,19.351,49.417,59.950,5.605,15,11.455,0.6983,21,30,22,8,15,0,4,3,0,2
110.0,greedy,43,1.0,1,17.698,67.950,78.483,7.932,15,17.455,0.7500,32,41,34,7,18,0,1,1,3,4
110.0,greedy,43,1.0,2,16.862,65.517,66.383,6.064,13,15.273,0.6154,28,36,29,7,17,0,0,3,4,1
110.0,greedy,43,1.0,3,19.091,74.483,78.800,4.741,13,13.091,0.4865,24,36,25,11,13,0,0,8,1,3
115.0,greedy,43,1.0,0,20.592,64.950,68.300,5.770,15,13.043,0.5487,25,38,25,13,15,0,0,3,2,8
115.0,greedy,43,1.0,1,17.609,67.950,78.483,8.022,15,16.696,0.8643,32,43,36,7,18,0,1,3,3,4
115.0,greedy,43,1.0,2,17.799,66.383,70.517,6.104,13,15.130,0.4900,29,36,29,7,17,0,0,3,4,0
115.0,greedy,43,1.0,3,20.173,78.950,83.800,5.096,13,12.522,0.4643,24,37,25,12,13,0,0,9,1,3
120.0,greedy,43,1.0,0,20.634,50.300,73.300,6.162,16,12.500,0.6531,25,41,27,14,15,0,2,3,2,9
120.0,greedy,43,1.0,1,19.146,67.950,78.483,8.183,15,17.000,0.8167,34,48,37,11,18,0,5,1,3,5
120.0,greedy,43,1.0,2,17.783,66.383,75.517,6.167,13,14.500,0.4939,29,38,31,7,17,0,0,4,5,0
120.0,greedy,43,1.0,3,20.827,83.950,88.800,5.446,15,12.000,0.4294,24,39,25,14,16,0,0,11,1,3
125.0,greedy,43,1.0,0,21.823,55.300,78.300,6.576,17,12.000,0.6881,25,42,28,14,15,0,2,4,2,9
125.0,greedy,43,1.0,1,19.412,67.950,78.483,8.396,15,18.720,0.6436,39,50,39,11,18,0,6,1,3,1
125.0,greedy,43,1.0,2,18.270,66.383,80.517,6.292,13,13.920,0.5952,29,39,32,7,17,0,1,4,5,0
125.0,greedy,43,1.0,3,21.363,85.950,90.817,5.732,16,15.360,0.8000,32,40,26,14,16,0,1,3,1,3
130.0,greedy,43,1.0,0,21.880,56.300,79.300,6.827,17,15.692,0.6944,34,44,30,14,15,0,4,4,2,0
130.0,greedy,43,1.0,1,19.567,67.950,78.483,8.535,15,18.462,0.5806,40,52,41,11,23,0,7,2,3,0
130.0,greedy,43,1.0,2,18.414,66.383,81.533,6.323,13,15.692,0.4500,34,40,33,7,17,0,2,4,0,0
130.0,greedy,43,1.0,3,21.951,85.950,90.817,5.719,16,16.154,0.5682,35,40,26,14,25,0,1,0,1,3
135.0,greedy,43,1.0,0,22.831,56.300,79.300,6.944,17,15.111,0.6944,34,44,30,14,24,0,4,4,2,0
135.0,greedy,43,1.0,1,20.259,67.950,78.483,8.667,15,17.778,0.6123,40,53,42,11,24,0,7,2,4,0
135.0,greedy,43,1.0,2,17.669,55.333,81.533,6.367,13,15.111,0.8100,34,43,36,7,21,0,2,4,1,2
135.0,greedy,43,1.0,3,22.026,79.550,90.817,5.722,16,16.000,0.5682,36,41,27,14,27,0,1,0,1,3
140.0,greedy,43,1.0,0,23.968,56.300,79.300,7.054,17,14.571,0.6944,34,44,30,14,24,0,4,4,2,0
140.0,greedy,43,1.0,1,20.246,67.950,78.483,8.875,16,17.143,0.6154,40,56,45,11,24,0,8,2,6,0
140.0,greedy,43,1.0,2,18.523,55.333,81.533,6.461,13,14.571,0.8100,34,43,36,7,22,0,2,4,1,2
140.0,greedy,43,1.0,3,21.583,79.550,90.817,5.732,16,15.429,0.7206,36,43,29,14,28,0,2,0,2,3
145.0,greedy,43,1.0,0,25.104,56.300,79.300,7.155,17,14.069,0.6944,34,44,30,14,24,0,4,4,2,0
145.0,greedy,43,1.0,1,20.450,67.950,78.483,8.948,16,19.448,0.5952,47,57,46,11,24,0,1,2,6,1
145.0,greedy,43,1.0,2,18.026,55.333,81.533,6.548,13,15.724,1.0000,38,46,39,7,22,0,2,2,2,2
145.0,greedy,43,1.0,3,21.722,79.550,90.817,5.793,16,14.897,0.6667,36,44,30,14,28,0,2,0,2,4
150.0,greedy,43,1.0,0,25.572,61.000,79.300,7.243,17,14.800,0.5333,37,45,31,14,24,0,1,5,2,0
150.0,greedy,43,1.0,1,19.786,61.817,78.483,9.037,16,19.200,0.6926,48,61,50,11,31,0,0,4,6,3
150.0,greedy,43,1.0,2,18.602,55.333,81.533,6.590,13,16.000,0.7500,40,46,39,7,26,0,2,0,2,2
150.0,greedy,43,1.0,3,22.362,79.550,90.817,5.827,16,16.000,0.5000,40,44,30,14,28,0,2,0,2,0
155.0,greedy,43,1.0,0,25.727,66.000,79.300,7.245,17,14.710,0.5333,38,46,32,14,24,0,0,5,2,1
155.0,greedy,43,1.0,1,21.629,65.167,78.483,9.226,19,18.581,0.8131,48,67,51,16,32,0,1,5,6,7
155.0,greedy,43,1.0,2,19.254,55.333,81.533,6.571,13,15.484,0.7500,40,46,39,7,28,0,2,0,2,2
155.0,greedy,43,1.0,3,21.360,79.550,90.817,5.823,16,15.484,0.7206,40,47,33,14,28,0,2,0,3,2
160.0,greedy,43,1.0,0,24.893,71.000,79.300,7.303,17,14.250,0.5500,38,49,35,14,24,0,1,7,2,1
160.0,greedy,43,1.0,1,22.391,67.950,78.483,9.619,23,18.000,0.9653,48,71,52,19,32,0,4,6,6,7
160.0,greedy,43,1.0,2,19.440,55.333,81.533,6.556,13,15.750,0.6944,42,47,40,7,28,0,1,0,2,2
160.0,greedy,43,1.0,3,21.786,79.550,90.817,5.828,16,15.750,0.4808,42,47,33,14,28,0,2,0,3,0
165.0,greedy,43,1.0,0,25.285,75.950,79.300,7.430,17,13.818,0.6000,38,50,36,14,24,0,1,7,3,1
165.0,greedy,43,1.0,1,22.661,68.517,78.483,9.964,23,20.364,0.8265,56,74,53,21,32,0,5,6,6,1
165.0,greedy,43,1.0,2,19.866,55.333,81.533,6.509,13,15.273,0.6944,42,47,40,7,28,0,1,0,2,2
165.0,greedy,43,1.0,3,20.903,79.550,90.817,5.852,16,16.000,0.7500,44,50,36,14,28,0,3,1,1,1
170.0,greedy,43,1.0,0,25.176,75.950,79.300,7.403,17,15.882,0.5000,45,51,37,14,24,0,1,0,4,1
170.0,greedy,43,1.0,1,23.425,72.433,80.167,10.194,23,20.118,0.8265,57,75,54,21,40,0,5,6,6,1
170.0,greedy,43,1.0,2,20.916,66.383,81.533,6.497,13,15.176,0.6983,43,52,43,9,28,0,0,2,3,4
170.0,greedy,43,1.0,3,21.347,79.550,90.817,5.879,16,15.882,0.4537,45,52,36,16,28,0,5,1,0,1
175.0,greedy,43,1.0,0,25.150,75.950,79.300,7.377,17,15.429,0.5833,45,52,38,14,24,0,1,0,4,2
175.0,greedy,43,1.0,1,23.593,74.483,85.167,10.457,23,19.886,0.7353,58,78,57,21,41,0,6,6,8,0
