elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,rl,41,1.0,0,0.000,0.000,0.000,1.000,2,0.000,0.2500,0,2,2,0,0,0,0,0,2,0
5.0,rl,41,1.0,1,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,rl,41,1.0,2,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,rl,41,1.0,3,0.000,0.000,0.000,1.400,2,0.000,0.2500,0,2,2,0,0,0,2,0,0,0
10.0,rl,41,1.0,0,1.342,3.467,3.467,1.900,4,0.000,0.5000,0,4,4,0,0,0,2,0,2,0
10.0,rl,41,1.0,1,3.133,3.133,3.133,0.550,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
10.0,rl,41,1.0,2,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
10.0,rl,41,1.0,3,0.000,0.000,0.000,1.850,3,12.000,0.4500,2,5,5,0,0,0,1,0,2,0
15.0,rl,41,1.0,0,1.858,3.467,3.467,2.433,4,8.000,0.5000,2,6,6,0,0,0,2,2,0,0
15.0,rl,41,1.0,1,4.067,8.133,8.133,0.933,2,0.000,0.5000,0,2,2,0,0,0,0,0,1,1
15.0,rl,41,1.0,2,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
15.0,rl,41,1.0,3,1.053,4.467,4.467,2.267,4,8.000,0.4000,2,6,6,0,2,0,1,0,3,0
20.0,rl,41,1.0,0,4.395,8.083,8.083,2.850,5,6.000,0.6944,2,7,7,0,2,0,2,2,0,1
20.0,rl,41,1.0,1,3.110,13.133,13.133,1.525,4,3.000,0.6667,1,5,5,0,0,0,0,1,2,1
20.0,rl,41,1.0,2,1.933,3.867,3.867,0.500,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
20.0,rl,41,1.0,3,2.553,6.467,6.467,2.400,4,15.000,0.2500,5,6,6,0,2,0,1,0,0,0
25.0,rl,41,1.0,0,5.965,11.483,11.483,3.160,5,9.600,0.6667,4,8,8,0,2,0,1,2,0,1
25.0,rl,41,1.0,1,6.067,18.133,18.133,2.020,4,2.400,0.6667,1,5,5,0,0,0,0,1,2,1
25.0,rl,41,1.0,2,3.833,8.867,8.867,0.800,3,2.400,0.7500,1,4,3,1,0,0,0,1,1,1
25.0,rl,41,1.0,3,2.340,11.433,11.433,2.600,5,12.000,0.8929,5,10,9,1,2,0,2,1,1,1
30.0,rl,41,1.0,0,7.840,16.483,16.483,3.183,5,10.000,0.4500,5,8,8,0,2,0,0,2,0,1
30.0,rl,41,1.0,1,6.927,18.133,18.133,2.267,6,4.000,0.9000,2,8,7,1,1,0,1,1,2,2
30.0,rl,41,1.0,2,3.794,13.867,13.867,1.683,7,2.000,0.6447,1,8,5,3,0,0,0,1,3,3
30.0,rl,41,1.0,3,3.592,16.433,16.433,3.183,7,10.000,0.8167,5,12,10,2,2,0,3,1,1,2
35.0,rl,41,1.0,0,8.843,21.483,21.483,3.286,5,8.571,0.4000,5,9,9,0,2,0,0,3,0,1
35.0,rl,41,1.0,1,7.159,18.133,18.133,2.943,7,6.857,0.6447,4,11,8,3,1,0,3,1,3,0
35.0,rl,41,1.0,2,5.919,18.867,18.867,2.214,7,6.857,0.3676,4,9,6,3,0,0,0,1,4,0
35.0,rl,41,1.0,3,4.648,17.433,17.433,3.557,7,13.714,0.7500,8,14,12,2,2,0,1,1,1,3
40.0,rl,41,1.0,0,7.838,21.483,21.483,3.475,5,12.000,0.3676,8,13,10,3,2,0,1,0,0,4
40.0,rl,41,1.0,1,8.028,22.417,22.417,3.438,8,10.500,0.6429,7,13,10,3,3,0,1,2,3,0
40.0,rl,41,1.0,2,9.147,23.867,23.867,2.688,9,6.000,0.6983,4,13,8,5,0,0,2,3,4,0
40.0,rl,41,1.0,3,6.327,17.433,17.433,3.862,7,12.000,0.7500,8,14,12,2,4,0,1,1,1,3
45.0,rl,41,1.0,0,8.842,22.950,22.950,3.700,6,10.667,0.5000,8,14,11,3,2,0,1,1,0,4
45.0,rl,41,1.0,1,8.457,27.417,27.417,3.722,8,10.667,0.8167,8,15,12,3,4,0,1,2,3,1
45.0,rl,41,1.0,2,10.527,28.867,28.867,3.533,11,5.333,0.6722,4,15,9,6,0,0,2,4,5,0
45.0,rl,41,1.0,3,7.673,22.133,22.133,4.100,7,12.000,0.5000,9,15,13,2,5,0,0,1,1,4
50.0,rl,41,1.0,0,10.896,27.950,27.950,3.930,6,9.600,0.5000,8,14,11,3,2,0,1,1,0,4
50.0,rl,41,1.0,1,10.467,32.417,32.417,4.030,8,10.800,0.8889,9,17,13,4,7,0,1,2,3,2
50.0,rl,41,1.0,2,10.520,28.933,28.933,4.050,11,9.600,0.7353,8,18,12,6,2,0,2,2,5,1
50.0,rl,41,1.0,3,8.069,25.950,25.950,4.110,7,15.600,0.4500,13,16,14,2,6,0,0,1,2,0
55.0,rl,41,1.0,0,10.409,28.950,28.950,3.918,6,13.091,0.6667,12,16,13,3,2,0,2,1,1,0
55.0,rl,41,1.0,1,11.743,34.367,36.417,4.591,12,12.000,0.5952,11,21,14,7,8,0,1,2,1,6
55.0,rl,41,1.0,2,12.141,33.933,33.933,4.564,11,10.909,0.6136,10,19,13,6,5,0,2,0,5,2
55.0,rl,41,1.0,3,8.354,30.950,30.950,4.036,7,14.182,0.5000,13,17,15,2,6,0,0,2,2,0
60.0,rl,41,1.0,0,10.416,28.950,28.950,4.033,7,12.000,0.7206,12,19,15,4,6,0,2,2,3,0
60.0,rl,41,1.0,1,13.233,36.417,39.367,4.983,12,12.000,0.5435,12,22,15,7,8,0,1,3,0,6
60.0,rl,41,1.0,2,14.510,38.933,38.933,4.933,11,10.000,0.6136,10,19,13,6,6,0,2,0,5,2
60.0,rl,41,1.0,3,8.447,35.950,35.950,4.117,7,13.000,0.5000,13,19,17,2,6,0,0,3,3,0
65.0,rl,41,1.0,0,13.944,29.417,36.417,4.362,9,11.077,0.6136,12,21,15,6,6,0,2,2,5,0
65.0,rl,41,1.0,1,15.436,36.633,44.367,5.369,12,11.077,0.5435,12,22,15,7,8,0,1,3,0,6
65.0,rl,41,1.0,2,15.834,43.933,43.933,5.238,11,11.077,0.5333,12,20,14,6,6,0,2,0,5,1
65.0,rl,41,1.0,3,7.825,34.967,38.950,4.331,8,14.769,0.6447,16,23,21,2,6,0,3,1,3,0
70.0,rl,41,1.0,0,13.521,31.333,38.333,4.800,13,12.857,0.9758,15,26,17,9,6,0,3,2,3,3
70.0,rl,41,1.0,1,17.709,41.633,49.367,5.700,12,10.286,0.5435,12,22,15,7,8,0,1,3,0,6
