elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,neural,42,1.5,0,2.200,2.200,2.200,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,neural,42,1.5,1,0.172,0.517,0.517,1.600,3,0.000,0.4500,0,3,3,0,0,0,0,0,1,2
5.0,neural,42,1.5,2,0.000,0.000,0.000,1.100,2,0.000,0.5000,0,2,2,0,0,0,1,0,0,1
5.0,neural,42,1.5,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,0,1,0
10.0,neural,42,1.5,0,7.200,7.200,7.200,0.950,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,neural,42,1.5,1,1.786,5.517,5.517,3.300,6,6.000,0.9000,1,7,7,0,0,0,1,1,2,2
10.0,neural,42,1.5,2,0.893,3.517,3.517,1.750,4,6.000,1.0000,1,5,5,0,0,0,1,1,1,1
10.0,neural,42,1.5,3,0.617,1.233,1.233,1.000,2,0.000,0.5000,0,2,2,0,0,0,1,0,1,0
15.0,neural,42,1.5,0,6.100,12.200,12.200,1.100,2,0.000,0.5000,0,2,2,0,0,0,0,1,0,1
15.0,neural,42,1.5,1,3.612,10.517,10.517,4.567,9,4.000,0.8804,1,10,10,0,1,0,1,3,2,3
15.0,neural,42,1.5,2,2.425,8.517,8.517,2.633,5,8.000,0.6667,2,6,6,0,0,0,0,1,2,1
15.0,neural,42,1.5,3,1.247,6.233,6.233,1.667,4,4.000,0.4000,1,5,4,1,0,0,3,0,1,0
20.0,neural,42,1.5,0,3.277,12.200,12.200,1.425,4,3.000,0.6667,1,5,5,0,0,0,1,0,2,1
20.0,neural,42,1.5,1,5.394,12.800,12.800,5.425,9,12.000,0.7273,4,12,12,0,1,0,2,3,3,0
20.0,neural,42,1.5,2,5.569,13.517,13.517,3.275,6,6.000,0.9000,2,8,7,1,0,0,1,2,2,1
20.0,neural,42,1.5,3,1.605,11.233,11.233,1.875,4,12.000,0.4500,4,7,6,1,1,0,2,0,1,0
25.0,neural,42,1.5,0,5.287,12.200,12.200,1.940,4,2.400,0.6667,1,5,5,0,0,0,1,0,2,1
25.0,neural,42,1.5,1,6.341,17.800,17.800,6.340,12,9.600,0.9000,4,16,16,0,4,0,2,4,4,2
25.0,neural,42,1.5,2,7.002,16.117,16.117,3.880,7,7.200,0.6447,3,10,9,1,0,0,1,3,3,0
25.0,neural,42,1.5,3,2.106,16.233,16.233,2.380,5,9.600,0.5682,4,9,7,2,3,0,3,1,1,0
30.0,neural,42,1.5,0,7.488,15.517,15.517,2.433,6,6.000,0.5682,3,8,7,1,0,0,1,1,3,0
30.0,neural,42,1.5,1,8.342,21.800,21.800,7.483,14,12.000,0.9474,6,18,18,0,4,0,2,4,3,3
30.0,neural,42,1.5,2,7.777,21.117,21.117,4.583,9,8.000,0.8804,4,13,12,1,0,0,1,3,3,2
30.0,neural,42,1.5,3,3.882,19.233,19.233,2.783,5,10.000,0.4808,5,10,8,2,4,0,3,2,0,0
35.0,neural,42,1.5,0,7.332,15.517,15.517,3.000,8,5.143,0.8000,3,11,9,2,2,0,1,3,3,1
35.0,neural,42,1.5,1,9.724,22.950,22.950,7.929,14,15.429,0.7378,9,20,20,0,4,0,3,4,0,4
35.0,neural,42,1.5,2,9.914,25.117,25.117,5.314,11,12.000,0.7500,7,16,14,2,0,0,1,1,4,3
35.0,neural,42,1.5,3,5.676,19.233,19.233,3.229,6,8.571,0.6429,5,11,9,2,4,0,3,2,1,0
40.0,neural,42,1.5,0,9.187,22.533,22.533,4.037,13,7.500,0.6706,5,18,11,7,2,0,2,3,7,1
40.0,neural,42,1.5,1,10.759,27.250,27.950,8.475,14,13.500,0.8448,9,23,23,0,4,0,4,5,1,4
40.0,neural,42,1.5,2,11.643,25.117,25.117,5.800,11,12.000,0.6136,8,17,15,2,3,0,1,0,4,4
40.0,neural,42,1.5,3,6.976,19.233,19.233,3.763,8,7.500,0.7273,5,13,11,2,4,0,4,2,1,1
45.0,neural,42,1.5,0,10.210,22.533,22.533,4.689,13,14.667,0.8000,11,19,12,7,2,0,3,3,1,1
45.0,neural,42,1.5,1,12.855,32.250,32.950,9.144,15,12.000,0.9221,9,24,24,0,4,0,4,5,2,4
45.0,neural,42,1.5,2,12.831,30.083,30.083,6.344,11,10.667,0.8176,8,19,17,2,4,0,2,1,4,4
45.0,neural,42,1.5,3,6.952,21.617,21.617,4.000,8,12.000,0.4537,9,16,14,2,4,0,0,5,1,1
50.0,neural,42,1.5,0,10.788,22.533,25.217,5.080,13,14.400,0.6136,12,21,14,7,7,0,4,4,0,1
50.0,neural,42,1.5,1,13.194,32.950,37.250,9.510,15,16.800,0.8284,14,27,27,0,4,0,5,1,3,4
50.0,neural,42,1.5,2,14.740,34.083,34.083,6.770,11,13.200,0.8100,11,20,18,2,4,0,2,2,1,4
50.0,neural,42,1.5,3,10.832,30.950,32.950,4.450,12,10.800,0.4186,9,21,16,5,7,0,0,9,1,2
55.0,neural,42,1.5,0,11.353,25.950,30.217,5.573,13,13.091,0.5455,12,24,17,7,11,0,4,7,0,1
55.0,neural,42,1.5,1,15.272,32.950,42.250,9.736,15,16.364,0.7200,15,27,27,0,4,0,5,0,3,4
55.0,neural,42,1.5,2,14.419,34.083,34.083,7.018,11,13.091,0.7378,12,23,21,2,4,0,4,3,0,4
55.0,neural,42,1.5,3,13.222,35.900,37.900,5.391,16,9.818,0.4267,9,25,17,8,8,0,1,12,1,2
60.0,neural,42,1.5,0,11.299,28.950,35.217,6.233,16,18.000,0.8929,18,28,21,7,11,0,4,2,2,2
60.0,neural,42,1.5,1,16.869,37.217,47.250,9.933,15,15.000,0.6926,15,28,28,0,4,0,6,0,3,4
60.0,neural,42,1.5,2,15.149,34.083,39.083,7.392,13,12.000,0.8622,12,25,23,2,8,0,4,4,1,4
60.0,neural,42,1.5,3,13.521,35.917,37.917,5.617,16,21.000,0.5682,21,26,18,8,16,0,1,0,1,3
65.0,neural,42,1.5,0,12.100,29.767,40.217,6.400,16,18.462,0.6983,20,29,22,7,11,0,4,0,3,2
65.0,neural,42,1.5,1,16.849,40.417,50.250,10.123,15,18.462,0.6722,20,31,31,0,4,0,2,0,5,4
65.0,neural,42,1.5,2,15.636,34.083,44.083,8.092,22,11.077,0.6505,12,34,24,10,8,0,5,12,1,4
65.0,neural,42,1.5,3,13.448,35.917,37.917,5.685,16,19.385,0.6447,21,28,20,8,20,0,1,0,3,3
70.0,neural,42,1.5,0,12.235,34.767,45.217,6.714,16,17.143,0.8571,20,32,25,7,11,0,5,2,3,2
70.0,neural,42,1.5,1,16.392,45.417,50.250,10.229,15,18.857,0.4500,22,34,34,0,4,0,0,0,8,4
70.0,neural,42,1.5,2,18.218,38.667,45.083,8.829,22,14.571,0.4488,17,34,24,10,8,0,0,12,1,4
70.0,neural,42,1.5,3,13.617,35.917,37.917,5.836,16,18.000,0.7500,21,30,22,8,20,0,1,1,4,3
75.0,neural,42,1.5,0,12.976,39.767,50.217,7.100,16,16.800,0.6706,21,34,27,7,11,0,7,1,3,2
75.0,neural,42,1.5,1,16.790,50.250,50.417,10.380,15,17.600,0.5444,22,36,36,0,10,0,1,0,8,5
75.0,neural,42,1.5,2,19.075,43.667,45.083,9.507,22,13.600,0.5051,17,37,27,10,8,0,0,13,2,5
75.0,neural,42,1.5,3,15.093,38.250,45.083,6.127,16,17.600,0.6926,22,35,22,13,20,0,6,0,4,3
80.0,neural,42,1.5,0,13.255,44.767,53.217,7.525,16,19.500,0.9167,26,37,30,7,11,0,2,2,3,4
