elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,rl,42,1.5,0,2.200,2.200,2.200,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,rl,42,1.5,1,0.172,0.517,0.517,1.600,3,0.000,0.4500,0,3,3,0,0,0,0,0,1,2
5.0,rl,42,1.5,2,0.000,0.000,0.000,1.100,2,0.000,0.5000,0,2,2,0,0,0,1,0,0,1
5.0,rl,42,1.5,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,0,1,0
10.0,rl,42,1.5,0,7.200,7.200,7.200,0.950,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,rl,42,1.5,1,1.912,5.517,5.517,3.450,7,0.000,0.9423,0,7,7,0,0,0,2,1,2,2
10.0,rl,42,1.5,2,1.117,3.517,3.517,1.650,3,6.000,0.7500,1,4,4,0,0,0,1,1,0,1
10.0,rl,42,1.5,3,0.411,1.233,1.233,1.050,3,0.000,0.7500,0,3,3,0,0,0,1,1,1,0
15.0,rl,42,1.5,0,4.067,12.200,12.200,1.100,3,0.000,0.2500,0,3,3,0,0,0,0,3,0,0
15.0,rl,42,1.5,1,3.550,7.800,7.800,4.267,7,8.000,0.7206,2,9,9,0,0,0,2,2,3,0
15.0,rl,42,1.5,2,2.411,8.517,8.517,2.633,5,8.000,0.6667,2,6,6,0,0,0,2,1,0,1
15.0,rl,42,1.5,3,2.237,6.233,6.233,1.767,4,8.000,0.4500,2,5,4,1,0,0,2,0,1,0
20.0,rl,42,1.5,0,4.753,17.200,17.200,1.975,5,0.000,0.4808,0,5,5,0,0,0,0,3,2,0
20.0,rl,42,1.5,1,7.120,12.800,12.800,4.950,7,6.000,0.7206,2,9,9,0,2,0,2,2,3,0
20.0,rl,42,1.5,2,2.719,13.517,13.517,2.700,5,12.000,0.6944,4,9,9,0,0,0,0,1,2,2
20.0,rl,42,1.5,3,2.775,11.233,11.233,2.600,6,6.000,0.6429,2,8,7,1,2,0,3,1,2,0
25.0,rl,42,1.5,0,4.276,17.200,17.200,2.160,5,7.200,0.6667,3,7,7,0,0,0,1,0,2,1
25.0,rl,42,1.5,1,10.343,15.883,15.883,5.180,7,12.000,0.5000,5,9,9,0,2,0,2,2,0,0
25.0,rl,42,1.5,2,4.856,18.517,18.517,3.240,6,14.400,0.7500,6,12,10,2,0,0,0,2,2,2
25.0,rl,42,1.5,3,2.514,16.233,16.233,3.600,10,12.000,0.6944,5,15,11,4,2,0,4,2,4,0
30.0,rl,42,1.5,0,6.074,17.200,17.200,2.817,9,6.000,0.6532,3,12,10,2,0,0,1,1,5,2
30.0,rl,42,1.5,1,10.280,20.883,20.883,5.033,7,10.000,0.9000,5,11,11,0,2,0,2,2,1,1
30.0,rl,42,1.5,2,5.550,23.517,23.517,3.867,9,20.000,0.4808,10,15,12,3,3,0,0,0,2,3
30.0,rl,42,1.5,3,4.016,21.233,21.233,4.483,10,18.000,0.5833,9,16,12,4,5,0,0,2,4,1
35.0,rl,42,1.5,0,8.217,17.267,17.267,3.943,11,5.143,0.6722,3,14,11,3,0,0,1,2,6,2
35.0,rl,42,1.5,1,11.335,25.883,25.883,5.186,7,8.571,0.9423,5,12,12,0,2,0,2,2,2,1
35.0,rl,42,1.5,2,5.697,28.517,28.517,4.329,9,17.143,0.6136,10,19,16,3,6,0,1,0,4,4
35.0,rl,42,1.5,3,5.807,26.233,26.233,4.957,10,15.429,0.7273,9,17,13,4,6,0,1,2,4,1
40.0,rl,42,1.5,0,8.793,17.267,17.267,4.325,11,13.500,0.7206,9,16,13,3,0,0,2,2,0,3
40.0,rl,42,1.5,1,10.284,28.883,28.883,5.562,9,10.500,0.8100,7,16,16,0,2,0,1,4,2,2
40.0,rl,42,1.5,2,6.191,17.200,29.517,4.688,10,22.500,0.4500,15,21,18,3,6,0,2,0,4,0
40.0,rl,42,1.5,3,6.901,26.233,26.233,4.875,10,19.500,0.6667,13,17,13,4,9,0,1,2,0,1
45.0,rl,42,1.5,0,11.426,18.517,32.117,4.978,12,12.000,0.5000,9,21,13,8,6,0,2,2,0,8
45.0,rl,42,1.5,1,11.985,33.150,33.150,6.011,10,10.667,0.6136,8,17,17,0,3,0,0,5,2,2
45.0,rl,42,1.5,2,7.940,27.800,29.517,5.200,12,20.000,0.5143,15,27,20,7,6,0,2,1,8,1
45.0,rl,42,1.5,3,6.605,25.100,26.233,4.989,10,17.333,0.8889,13,21,17,4,9,0,2,3,1,2
50.0,rl,42,1.5,0,12.498,23.517,37.117,5.890,15,10.800,0.5921,9,24,15,9,6,0,3,2,1,9
50.0,rl,42,1.5,1,13.819,38.150,38.150,6.330,10,9.600,0.5682,8,18,18,0,4,0,0,6,2,2
50.0,rl,42,1.5,2,8.817,29.517,32.800,5.880,14,19.200,0.5444,16,30,23,7,6,0,2,2,9,1
50.0,rl,42,1.5,3,7.367,26.233,30.100,5.410,10,15.600,0.9615,13,23,19,4,9,0,2,3,2,3
55.0,rl,42,1.5,0,14.162,28.517,42.117,6.845,17,10.909,0.6531,10,26,17,9,6,0,3,2,2,9
55.0,rl,42,1.5,1,15.546,43.150,43.150,6.673,11,10.909,0.4939,10,19,19,0,5,0,0,6,1,2
55.0,rl,42,1.5,2,10.647,30.800,36.817,6.573,14,20.727,0.6722,19,30,23,7,6,0,2,2,6,1
55.0,rl,42,1.5,3,7.631,26.317,32.100,5.836,11,17.455,0.7756,16,27,23,4,9,0,3,1,2,5
60.0,rl,42,1.5,0,15.156,33.517,47.117,7.600,17,13.000,0.4776,13,29,20,9,6,0,0,3,2,11
60.0,rl,42,1.5,1,15.244,45.200,48.150,6.933,11,11.000,0.6722,11,22,22,0,5,0,1,6,2,2
60.0,rl,42,1.5,2,11.110,30.800,36.817,6.575,14,25.000,0.9000,25,31,24,7,6,0,2,2,1,1
60.0,rl,42,1.5,3,8.944,29.467,32.100,6.217,11,17.000,0.6722,17,28,24,4,13,0,4,0,2,5
65.0,rl,42,1.5,0,15.872,38.517,52.117,8.538,22,12.000,0.5990,13,35,23,12,6,0,0,3,7,12
65.0,rl,42,1.5,1,15.702,50.200,53.150,7.462,16,10.154,0.7805,11,27,23,4,5,0,5,7,2,2
65.0,rl,42,1.5,2,11.194,30.800,36.817,6.562,14,24.000,0.9423,26,33,26,7,15,0,2,2,2,1
65.0,rl,42,1.5,3,10.360,32.100,34.467,6.592,12,15.692,0.6667,17,29,25,4,13,0,5,0,2,5
70.0,rl,42,1.5,0,16.896,43.517,57.117,9.636,26,11.143,0.6500,13,39,27,12,6,0,1,3,9,13
70.0,rl,42,1.5,1,17.464,54.200,57.150,8.107,17,12.000,0.9074,14,28,24,4,5,0,5,4,3,2
70.0,rl,42,1.5,2,11.269,34.933,36.817,6.643,14,22.286,0.8100,26,35,28,7,15,0,2,4,2,1
70.0,rl,42,1.5,3,11.711,32.600,39.467,6.986,13,18.000,0.5786,21,30,26,4,13,0,1,0,3,5
75.0,rl,42,1.5,0,17.746,44.483,58.133,10.380,26,20.000,0.5614,25,41,29,12,6,0,1,3,10,2
75.0,rl,42,1.5,1,18.489,54.200,57.150,8.353,17,14.400,0.6722,18,29,25,4,5,0,5,0,4,2
75.0,rl,42,1.5,2,11.497,36.817,39.933,6.793,14,22.400,0.6136,28,37,30,7,16,0,4,4,0,1
75.0,rl,42,1.5,3,15.271,54.267,57.150,7.227,14,17.600,0.6622,22,36,28,8,13,0,0,4,3,7
80.0,rl,42,1.5,0,18.958,44.850,58.133,10.731,26,19.500,0.5424,26,42,30,12,18,0,1,4,10,1
80.0,rl,42,1.5,1,18.923,54.200,57.150,8.569,17,13.500,0.7682,18,31,27,4,5,0,5,1,5,2
80.0,rl,42,1.5,2,11.473,36.817,44.933,6.981,14,24.000,0.7273,32,40,33,7,18,0,4,2,1,1
80.0,rl,42,1.5,3,16.700,49.467,60.617,7.844,19,16.500,0.6996,22,41,30,11,18,0,0,7,4,8
