elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,fixed,42,1.5,0,2.200,2.200,2.200,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,fixed,42,1.5,1,0.172,0.517,0.517,1.600,3,0.000,0.4500,0,3,3,0,0,0,0,0,1,2
5.0,fixed,42,1.5,2,0.000,0.000,0.000,1.100,2,0.000,0.5000,0,2,2,0,0,0,1,0,0,1
5.0,fixed,42,1.5,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,0,1,0
10.0,fixed,42,1.5,0,7.200,7.200,7.200,0.950,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,fixed,42,1.5,1,1.786,5.517,5.517,3.300,6,6.000,0.9000,1,7,7,0,0,0,1,1,2,2
10.0,fixed,42,1.5,2,0.893,3.517,3.517,1.750,4,6.000,1.0000,1,5,5,0,0,0,1,1,1,1
10.0,fixed,42,1.5,3,0.617,1.233,1.233,1.000,2,0.000,0.5000,0,2,2,0,0,0,1,0,1,0
15.0,fixed,42,1.5,0,3.404,12.200,12.200,1.400,4,0.000,0.6667,0,4,4,0,0,0,0,2,1,1
15.0,fixed,42,1.5,1,5.024,10.517,10.517,4.200,6,4.000,0.9000,1,7,7,0,1,0,1,1,2,2
15.0,fixed,42,1.5,2,2.519,8.517,8.517,2.633,5,4.000,0.8929,1,6,6,0,0,0,1,1,1,2
15.0,fixed,42,1.5,3,2.189,6.233,6.233,2.100,6,0.000,0.6429,0,6,5,1,0,0,3,1,2,0
20.0,fixed,42,1.5,0,2.774,12.200,12.200,1.825,5,6.000,0.5682,2,7,7,0,0,0,1,0,3,1
20.0,fixed,42,1.5,1,7.521,15.517,15.517,4.525,6,9.000,0.6944,3,8,8,0,1,0,1,0,2,2
20.0,fixed,42,1.5,2,4.963,13.517,13.517,3.425,8,6.000,0.8000,2,10,8,2,1,0,1,3,1,3
20.0,fixed,42,1.5,3,3.589,11.233,11.233,3.275,8,3.000,0.6667,1,9,7,2,1,0,4,2,2,0
25.0,fixed,42,1.5,0,3.798,12.200,12.200,2.640,7,7.200,0.6429,3,9,9,0,0,0,1,0,3,2
25.0,fixed,42,1.5,1,7.742,20.517,20.517,4.960,7,9.600,0.7206,4,11,11,0,1,0,3,0,2,2
25.0,fixed,42,1.5,2,7.463,18.517,18.517,3.880,8,12.000,0.5682,5,10,8,2,3,0,1,0,1,3
25.0,fixed,42,1.5,3,5.226,16.233,16.233,4.080,9,7.200,0.8100,3,12,9,3,3,0,4,2,2,1
30.0,fixed,42,1.5,0,6.387,15.467,15.467,3.350,7,6.000,0.8167,3,10,10,0,0,0,1,1,3,2
30.0,fixed,42,1.5,1,7.719,25.517,25.517,5.567,11,8.000,0.7035,4,15,15,0,1,0,5,0,3,3
30.0,fixed,42,1.5,2,8.325,23.517,23.517,4.317,8,10.000,0.8167,5,12,9,3,4,0,2,1,1,3
30.0,fixed,42,1.5,3,7.053,21.233,21.233,5.133,12,6.000,0.8571,3,15,11,4,3,0,5,3,2,2
35.0,fixed,42,1.5,0,7.624,20.467,20.467,3.600,7,10.286,0.6944,6,11,11,0,0,0,2,1,0,2
35.0,fixed,42,1.5,1,9.392,30.517,30.517,6.171,11,12.000,0.5786,7,16,16,0,1,0,5,1,0,3
35.0,fixed,42,1.5,2,9.294,28.517,28.517,4.757,8,10.286,0.7273,6,14,11,3,4,0,2,1,1,4
35.0,fixed,42,1.5,3,8.493,24.950,24.950,5.943,13,8.571,0.7412,5,18,14,4,3,0,6,4,1,2
40.0,fixed,42,1.5,0,10.540,25.467,25.467,4.075,8,9.000,0.8889,6,14,12,2,3,0,3,1,2,2
40.0,fixed,42,1.5,1,11.004,35.517,35.517,6.713,11,10.500,0.5931,7,18,18,0,1,0,5,1,0,5
40.0,fixed,42,1.5,2,11.080,33.517,33.517,5.287,10,12.000,0.8929,8,18,13,5,5,0,2,2,2,4
40.0,fixed,42,1.5,3,9.907,22.217,29.950,7.025,16,7.500,0.7619,5,21,17,4,3,0,7,5,1,3
45.0,fixed,42,1.5,0,12.422,30.467,30.467,4.578,9,8.000,0.8804,6,15,12,3,3,0,3,1,3,2
45.0,fixed,42,1.5,1,12.629,40.517,40.517,7.322,13,9.333,0.7682,7,20,20,0,1,0,5,2,1,5
45.0,fixed,42,1.5,2,12.659,38.517,38.517,5.911,11,10.667,0.8176,8,19,14,5,7,0,2,2,2,5
