elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,adaptive,45,1.0,0,0.950,0.950,0.950,0.700,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,adaptive,45,1.0,1,0.000,0.000,0.000,0.500,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,adaptive,45,1.0,2,0.975,1.950,1.950,1.000,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
5.0,adaptive,45,1.0,3,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,adaptive,45,1.0,0,5.950,5.950,5.950,0.850,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
10.0,adaptive,45,1.0,1,1.367,4.950,4.950,1.300,4,0.000,0.4000,0,4,4,0,0,0,0,0,1,3
10.0,adaptive,45,1.0,2,2.450,6.950,6.950,2.200,4,0.000,0.6667,0,4,4,0,0,0,0,1,1,2
10.0,adaptive,45,1.0,3,1.083,1.083,1.083,0.650,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
15.0,adaptive,45,1.0,0,2.975,5.950,5.950,0.667,1,4.000,0.2500,1,2,2,0,1,0,0,1,0,0
15.0,adaptive,45,1.0,1,0.981,4.950,4.950,1.800,4,12.000,0.4500,3,6,6,0,1,0,0,0,2,1
15.0,adaptive,45,1.0,2,4.314,6.950,6.950,2.867,5,4.000,0.4808,1,6,6,0,1,0,0,0,2,3
15.0,adaptive,45,1.0,3,1.083,1.083,1.083,0.433,1,4.000,1.0000,1,1,1,0,0,0,0,0,0,0
20.0,adaptive,45,1.0,0,4.783,5.950,5.950,0.750,1,3.000,0.2500,1,2,2,0,1,0,0,1,0,0
20.0,adaptive,45,1.0,1,1.683,5.417,5.417,2.000,4,12.000,0.4500,4,7,7,0,3,0,0,0,2,1
20.0,adaptive,45,1.0,2,7.036,11.950,11.950,3.625,6,3.000,0.6429,1,7,7,0,1,0,0,1,2,3
20.0,adaptive,45,1.0,3,0.554,1.133,1.133,0.600,3,3.000,0.7500,1,4,4,0,1,0,1,1,0,1
25.0,adaptive,45,1.0,0,5.283,5.950,5.950,0.640,1,4.800,1.0000,2,2,2,0,1,0,0,0,0,0
25.0,adaptive,45,1.0,1,2.922,10.417,10.417,2.320,5,9.600,0.6944,4,9,9,0,4,0,0,2,2,1
25.0,adaptive,45,1.0,2,10.179,16.950,16.950,3.800,6,7.200,0.4000,3,7,7,0,1,0,0,1,0,3
25.0,adaptive,45,1.0,3,1.731,6.133,6.133,1.440,6,4.800,0.6944,2,7,7,0,1,0,1,2,0,2
30.0,adaptive,45,1.0,0,5.283,5.950,5.950,0.533,1,4.000,1.0000,2,2,2,0,1,0,0,0,0,0
30.0,adaptive,45,1.0,1,3.538,10.417,10.417,2.633,5,12.000,0.4808,6,11,11,0,4,0,0,2,0,3
30.0,adaptive,45,1.0,2,9.935,21.950,21.950,4.183,7,6.000,0.4900,3,10,9,1,3,0,0,3,0,4
30.0,adaptive,45,1.0,3,3.829,11.133,11.133,1.900,6,6.000,0.6944,3,8,8,0,1,0,1,2,0,2
35.0,adaptive,45,1.0,0,6.846,10.417,10.417,0.657,2,3.429,0.2500,2,4,2,2,1,0,0,0,2,0
35.0,adaptive,45,1.0,1,4.181,14.517,14.517,3.257,9,10.286,0.8100,6,15,15,0,4,0,1,2,2,4
35.0,adaptive,45,1.0,2,12.968,25.950,25.950,4.500,7,12.000,0.2500,7,10,9,1,3,0,0,3,0,0
35.0,adaptive,45,1.0,3,5.404,16.133,16.133,2.371,6,8.571,0.6667,5,9,9,0,3,0,1,1,0,2
40.0,adaptive,45,1.0,0,13.794,25.950,25.950,0.988,6,3.000,0.4500,2,8,2,6,1,0,0,0,2,4
40.0,adaptive,45,1.0,1,5.669,17.517,17.517,3.925,10,15.000,0.7500,10,16,16,0,4,0,2,2,2,0
40.0,adaptive,45,1.0,2,13.153,25.950,25.950,4.375,7,10.500,0.2500,7,11,10,1,3,0,0,4,0,0
40.0,adaptive,45,1.0,3,5.250,21.133,21.133,2.625,6,9.000,0.7500,6,12,12,0,6,0,1,1,1,3
45.0,adaptive,45,1.0,0,16.581,30.867,30.867,1.411,6,5.333,0.2500,4,8,2,6,1,0,0,0,0,4
45.0,adaptive,45,1.0,1,7.424,19.483,19.483,4.156,10,13.333,0.7500,10,16,16,0,8,0,2,2,2,0
45.0,adaptive,45,1.0,2,11.883,26.950,26.950,4.522,7,9.333,0.4537,7,14,13,1,3,0,1,5,1,0
45.0,adaptive,45,1.0,3,6.067,26.133,26.133,3.056,7,9.333,0.5833,7,14,14,0,6,0,1,0,2,4
50.0,adaptive,45,1.0,0,15.265,35.867,35.867,1.770,6,4.800,0.4500,4,10,4,6,3,0,0,0,2,4
50.0,adaptive,45,1.0,1,9.299,24.483,24.483,4.340,10,12.000,0.7500,10,16,16,0,8,0,2,2,2,0
50.0,adaptive,45,1.0,2,12.042,31.950,31.950,4.870,9,8.400,0.6532,7,16,15,1,3,0,1,5,2,1
50.0,adaptive,45,1.0,3,7.461,30.133,30.133,3.450,8,12.000,0.8929,10,15,15,0,7,0,1,1,2,1
55.0,adaptive,45,1.0,0,16.223,40.867,40.867,2.164,7,4.364,0.5833,4,11,5,6,3,0,1,0,2,4
55.0,adaptive,45,1.0,1,11.973,30.633,30.633,4.591,10,10.909,0.9615,10,20,17,3,8,0,2,2,3,3
55.0,adaptive,45,1.0,2,12.559,32.950,32.950,5.036,10,13.091,0.5682,12,17,16,1,4,0,1,0,3,1
55.0,adaptive,45,1.0,3,7.661,30.133,30.133,3.618,8,12.000,0.7500,11,17,17,0,7,0,2,2,2,0
60.0,adaptive,45,1.0,0,14.569,40.867,40.867,2.333,7,8.000,0.3676,8,13,7,6,6,0,1,0,4,0
60.0,adaptive,45,1.0,1,12.107,29.483,35.633,5.075,11,12.000,0.6722,12,23,19,4,8,0,2,0,4,5
60.0,adaptive,45,1.0,2,13.162,32.950,32.950,5.042,10,12.000,0.6429,12,18,17,1,8,0,1,0,3,2
60.0,adaptive,45,1.0,3,11.239,30.133,30.133,3.833,8,11.000,0.6667,11,19,17,2,7,0,2,4,2,0
65.0,adaptive,45,1.0,0,13.873,40.867,40.867,2.662,7,7.385,0.5833,8,15,9,6,7,0,2,1,4,0
65.0,adaptive,45,1.0,1,12.662,30.983,40.633,5.600,14,11.077,0.8448,12,26,22,4,8,0,4,1,4,5
65.0,adaptive,45,1.0,2,14.662,32.950,32.950,5.115,10,11.077,0.6429,12,18,17,1,8,0,1,0,3,2
65.0,adaptive,45,1.0,3,13.142,32.450,32.450,4.154,8,10.154,0.6667,11,19,17,2,7,0,2,4,2,0
70.0,adaptive,45,1.0,0,16.146,40.867,40.867,2.971,7,6.857,0.5833,8,15,9,6,7,0,2,1,4,0
70.0,adaptive,45,1.0,1,14.230,35.983,45.633,6.200,15,12.857,0.6923,15,27,23,4,8,0,1,1,5,5
70.0,adaptive,45,1.0,2,15.469,32.950,32.950,5.186,10,10.286,0.8167,12,19,18,1,8,0,1,1,3,2
70.0,adaptive,45,1.0,3,12.805,35.800,37.450,4.429,9,11.143,0.8100,13,22,20,2,7,0,2,4,2,1
75.0,adaptive,45,1.0,0,15.599,40.867,40.867,3.173,8,9.600,0.5682,12,17,11,6,7,0,3,1,1,0
75.0,adaptive,45,1.0,1,16.190,40.983,50.633,6.540,15,12.800,0.5931,16,27,23,4,9,0,0,1,5,5
75.0,adaptive,45,1.0,2,15.160,27.600,32.950,5.360,11,10.400,0.6173,13,24,21,3,8,0,0,3,6,2
75.0,adaptive,45,1.0,3,14.413,40.800,42.450,4.713,9,11.200,0.7273,14,22,20,2,7,0,2,4,1,1
80.0,adaptive,45,1.0,0,16.553,40.867,40.867,3.256,8,9.750,0.4000,13,17,11,6,9,0,3,1,0,0
80.0,adaptive,45,1.0,1,16.972,45.983,55.633,6.919,15,12.000,0.6706,16,29,25,4,12,0,1,1,5,6
80.0,adaptive,45,1.0,2,15.656,31.217,32.950,5.763,13,9.750,0.7412,13,26,23,3,8,0,1,4,6,2
80.0,adaptive,45,1.0,3,15.632,45.800,47.450,4.931,9,12.000,0.7273,16,24,21,3,7,0,1,4,2,1
85.0,adaptive,45,1.0,0,16.781,40.867,40.867,3.353,8,9.176,0.4808,13,18,12,6,11,0,3,2,0,0
85.0,adaptive,45,1.0,1,18.486,50.983,60.633,7.318,15,11.294,0.7424,16,30,26,4,12,0,2,1,5,6
85.0,adaptive,45,1.0,2,15.820,32.950,34.317,6.059,13,13.412,0.7500,19,28,24,4,8,0,1,4,1,3
85.0,adaptive,45,1.0,3,15.594,50.800,52.450,5.112,9,12.000,0.6136,17,26,23,3,7,0,0,5,2,2
90.0,adaptive,45,1.0,0,16.353,40.867,40.867,3.500,8,8.667,0.4900,13,20,14,6,12,0,4,3,0,0
90.0,adaptive,45,1.0,1,19.960,55.983,65.633,7.450,15,14.000,0.4939,21,30,26,4,12,0,2,1,0,6
90.0,adaptive,45,1.0,2,15.543,32.950,39.317,6.267,13,13.333,0.6722,20,31,27,4,12,0,2,5,0,4
90.0,adaptive,45,1.0,3,17.033,55.800,57.450,5.328,9,11.333,0.6136,17,26,23,3,9,0,0,5,2,2
95.0,adaptive,45,1.0,0,19.277,45.083,45.900,3.742,10,10.105,0.5952,16,26,15,11,12,0,4,0,5,1
95.0,adaptive,45,1.0,1,19.509,60.983,70.633,7.642,15,13.263,0.7500,21,33,29,4,12,0,2,2,2,6
95.0,adaptive,45,1.0,2,16.888,32.950,44.317,6.526,13,12.632,0.6123,20,33,28,5,15,0,2,7,0,4
95.0,adaptive,45,1.0,3,18.573,59.817,61.467,5.489,9,13.263,0.6944,21,26,23,3,10,0,0,1,2,2
100.0,adaptive,45,1.0,0,20.942,49.550,50.367,4.055,10,9.600,0.5952,16,26,15,11,12,0,4,0,5,1
100.0,adaptive,45,1.0,1,19.811,65.983,75.633,7.880,15,13.200,0.6706,22,35,31,4,12,0,3,2,1,7
100.0,adaptive,45,1.0,2,17.050,37.000,49.317,6.985,17,12.000,0.6394,20,37,30,7,15,0,4,9,0,4
100.0,adaptive,45,1.0,3,18.626,59.817,61.467,5.430,9,13.200,0.4808,22,27,24,3,15,0,0,0,2,3
105.0,adaptive,45,1.0,0,20.506,54.550,55.367,4.414,13,9.143,0.7412,16,29,17,12,12,0,4,1,6,2
105.0,adaptive,45,1.0,1,20.814,69.983,79.633,8.129,15,14.857,0.8333,26,36,32,4,12,0,4,2,1,3
105.0,adaptive,45,1.0,2,17.872,38.000,50.317,7.376,18,13.714,0.4808,24,39,32,7,15,0,4,10,1,0
105.0,adaptive,45,1.0,3,19.470,59.817,61.467,5.410,9,12.571,0.4808,22,27,24,3,15,0,0,0,2,3
110.0,adaptive,45,1.0,0,23.090,59.550,60.367,4.827,15,10.909,0.5788,20,33,17,16,12,0,0,1,6,6
110.0,adaptive,45,1.0,1,21.146,69.983,79.633,8.136,15,15.818,0.6667,29,37,33,4,16,0,4,2,2,0
110.0,adaptive,45,1.0,2,18.707,38.000,50.317,7.750,18,13.091,0.5971,24,41,34,7,15,0,4,10,2,1
110.0,adaptive,45,1.0,3,18.990,59.817,61.467,5.436,9,12.000,0.7206,22,29,26,3,15,0,0,2,2,3
115.0,adaptive,45,1.0,0,25.060,64.550,65.367,5.183,15,10.435,0.5788,20,33,17,16,12,0,0,1,6,6
115.0,adaptive,45,1.0,1,21.597,54.983,79.633,8.204,15,15.130,0.6123,29,42,36,6,19,0,7,4,2,0
115.0,adaptive,45,1.0,2,20.528,41.983,50.317,8.152,18,12.522,0.5971,24,41,34,7,15,0,4,10,2,1
115.0,adaptive,45,1.0,3,18.680,59.817,61.467,5.543,9,12.522,0.4900,24,31,28,3,15,0,0,3,0,4
120.0,adaptive,45,1.0,0,26.235,69.550,70.367,5.529,15,10.000,0.6447,20,34,18,16,12,0,0,2,6,6
120.0,adaptive,45,1.0,1,22.393,54.983,79.633,8.521,16,14.500,0.6275,29,45,37,8,19,0,9,4,2,1
120.0,adaptive,45,1.0,2,22.630,44.983,50.317,8.471,18,15.500,0.8571,31,43,34,9,15,0,4,3,4,1
120.0,adaptive,45,1.0,3,18.054,59.817,61.467,5.650,10,12.000,0.7353,24,34,31,3,15,0,1,4,1,4
125.0,adaptive,45,1.0,0,27.908,74.550,75.367,5.816,15,11.520,0.5682,24,34,18,16,12,0,0,2,6,2
125.0,adaptive,45,1.0,1,23.113,57.767,79.633,8.860,18,13.920,0.6532,29,47,39,8,19,0,10,4,2,2
125.0,adaptive,45,1.0,2,22.533,44.983,50.317,8.520,18,16.320,0.6722,34,45,36,9,24,0,4,0,5,2
125.0,adaptive,45,1.0,3,18.663,59.817,61.467,5.860,11,11.520,0.8176,24,35,32,3,15,0,1,4,2,4
130.0,adaptive,45,1.0,0,29.085,79.550,80.367,5.904,15,12.000,0.4000,26,34,18,16,17,0,0,2,6,0
130.0,adaptive,45,1.0,1,23.501,61.900,79.633,9.146,18,15.231,0.5614,33,49,41,8,19,0,10,1,3,2
130.0,adaptive,45,1.0,2,22.114,46.700,50.317,8.665,18,15.692,0.6447,34,48,39,9,25,0,6,0,6,2
130.0,adaptive,45,1.0,3,19.644,59.817,61.467,5.950,11,12.923,0.5833,28,35,32,3,15,0,1,4,2,0
135.0,adaptive,45,1.0,0,29.397,84.550,85.367,5.985,15,11.556,0.4939,26,35,19,16,18,0,1,2,6,0
135.0,adaptive,45,1.0,1,25.686,66.900,79.633,9.485,19,15.111,0.6224,34,53,41,12,19,0,10,0,3,6
135.0,adaptive,45,1.0,2,23.306,50.317,51.700,8.863,18,15.111,0.6447,34,48,39,9,25,0,6,0,6,2
135.0,adaptive,45,1.0,3,19.556,59.817,61.467,6.204,15,12.444,0.5921,28,43,36,7,15,0,1,9,3,2
140.0,adaptive,45,1.0,0,28.923,89.550,90.367,6.143,15,11.143,0.6722,26,37,21,16,18,0,2,2,6,1
140.0,adaptive,45,1.0,1,26.970,69.983,79.633,9.850,20,14.571,0.6329,34,54,42,12,19,0,10,0,3,7
140.0,adaptive,45,1.0,2,24.752,50.317,56.700,9.046,18,14.571,0.6447,34,48,39,9,25,0,6,0,6,2
140.0,adaptive,45,1.0,3,19.721,59.817,65.867,6.536,17,12.429,0.5971,29,46,38,8,15,0,2,10,4,1
145.0,adaptive,45,1.0,0,29.220,92.550,93.367,6.272,15,12.828,0.9423,31,38,22,16,18,0,2,2,2,1
145.0,adaptive,45,1.0,1,27.443,69.983,79.633,10.162,21,16.552,0.6531,40,56,43,13,19,0,5,0,3,8
145.0,adaptive,45,1.0,2,25.676,51.367,61.700,9.228,18,14.069,0.6320,34,49,40,9,25,0,7,0,6,2
145.0,adaptive,45,1.0,3,20.426,59.817,70.867,6.938,19,12.414,0.5000,30,48,40,8,15,0,1,12,4,1
150.0,adaptive,45,1.0,0,28.384,92.550,93.367,6.287,15,13.200,0.7206,33,40,24,16,22,0,2,3,0,2
150.0,adaptive,45,1.0,1,26.979,73.250,79.633,10.303,21,17.600,0.5569,44,59,46,13,23,0,2,0,4,9
150.0,adaptive,45,1.0,2,26.614,56.233,66.533,9.293,18,16.400,0.4000,41,49,40,9,25,0,0,0,6,2
150.0,adaptive,45,1.0,3,22.148,59.817,75.867,7.273,19,12.400,0.4488,31,48,40,8,15,0,0,12,4,1
155.0,adaptive,45,1.0,0,29.160,92.550,93.367,6.310,15,12.774,0.7206,33,40,24,16,24,0,2,3,0,2
155.0,adaptive,45,1.0,1,27.511,74.917,79.633,10.465,21,17.419,0.4808,45,60,47,13,29,0,1,0,4,10
155.0,adaptive,45,1.0,2,26.882,61.233,71.533,9.281,18,15.871,0.4500,41,50,41,9,25,0,0,0,6,3
155.0,adaptive,45,1.0,3,24.573,61.467,80.867,7.674,24,12.000,0.7273,31,55,43,12,17,0,5,12,5,2
160.0,adaptive,45,1.0,0,28.604,73.550,93.367,6.369,15,12.375,0.6983,33,42,26,16,25,0,2,4,0,3
160.0,adaptive,45,1.0,1,27.262,69.983,83.250,10.616,21,17.250,0.5274,46,63,50,13,29,0,0,1,6,10
160.0,adaptive,45,1.0,2,27.781,62.700,76.533,9.272,18,15.375,0.4500,41,50,41,9,25,0,0,0,6,3
160.0,adaptive,45,1.0,3,24.691,61.467,81.883,8.094,25,16.125,0.6048,43,58,43,15,18,0,8,0,5,2
165.0,adaptive,45,1.0,0,29.612,73.550,93.367,6.448,15,12.000,0.6983,33,42,26,16,25,0,2,4,0,3
165.0,adaptive,45,1.0,1,27.577,69.983,88.250,10.839,21,16.727,0.6401,46,65,52,13,31,0,2,1,6,10
165.0,adaptive,45,1.0,2,28.118,62.700,81.533,9.267,18,14.909,0.5435,41,51,42,9,25,0,1,0,6,3
165.0,adaptive,45,1.0,3,25.063,61.467,81.883,8.345,25,15.636,0.6881,43,60,45,15,29,0,8,0,5,4
170.0,adaptive,45,1.0,0,29.505,73.550,93.367,6.424,15,13.059,0.5000,37,43,27,16,25,0,3,0,0,3
170.0,adaptive,45,1.0,1,27.973,72.933,93.250,11.109,21,16.235,0.6602,46,67,54,13,31,0,3,1,6,11
170.0,adaptive,45,1.0,2,27.973,62.700,84.550,9.279,18,16.588,0.7273,47,55,44,11,25,0,1,2,1,4
170.0,adaptive,45,1.0,3,26.416,63.733,81.883,8.600,25,15.176,0.6881,43,60,45,15,29,0,8,0,5,4
175.0,adaptive,45,1.0,0,28.792,73.550,93.367,6.423,15,12.686,0.6154,37,45,29,16,25,0,4,0,1,3
175.0,adaptive,45,1.0,1,28.587,74.917,98.250,11.309,22,17.829,0.4776,52,68,55,13,31,0,3,2,0,11
175.0,adaptive,45,1.0,2,28.302,62.700,84.550,9.300,18,16.114,0.7353,47,57,44,13,30,0,1,4,1,4
175.0,adaptive,45,1.0,3,26.935,62.367,82.200,8.874,25,14.743,0.6996,43,62,47,15,29,0,8,0,7,4
180.0,adaptive,45,1.0,0,28.592,73.550,93.367,6.553,16,12.333,0.7111,37,53,32,21,25,0,4,0,7,5
180.0,adaptive,45,1.0,1,28.905,74.917,103.250,11.472,22,17.333,0.5786,52,70,57,13,31,0,3,3,1,11
180.0,adaptive,45,1.0,2,29.092,65.317,84.550,9.294,18,16.000,0.6136,48,57,44,13,31,0,1,4,0,4
180.0,adaptive,45,1.0,3,28.346,67.367,87.200,9.156,25,14.333,0.6996,43,62,47,15,29,0,8,0,7,4
