elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,fixed,42,1.0,0,1.867,1.867,1.867,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,fixed,42,1.0,1,0.242,0.483,0.483,1.000,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
5.0,fixed,42,1.0,2,0.000,0.000,0.000,0.500,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
5.0,fixed,42,1.0,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,fixed,42,1.0,0,3.433,6.867,6.867,1.300,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
10.0,fixed,42,1.0,1,1.828,5.483,5.483,1.300,2,6.000,0.2500,1,3,3,0,0,0,0,2,0,0
10.0,fixed,42,1.0,2,0.000,0.000,0.000,0.900,2,6.000,0.2500,1,2,2,0,0,0,0,0,1,0
10.0,fixed,42,1.0,3,0.983,2.950,2.950,0.950,3,0.000,0.2500,0,3,3,0,0,0,0,3,0,0
15.0,fixed,42,1.0,0,3.738,11.867,11.867,1.667,4,0.000,1.0000,0,4,4,0,0,0,1,1,1,1
15.0,fixed,42,1.0,1,2.687,10.483,10.483,1.933,4,4.000,0.4000,1,5,5,0,1,0,1,3,0,0
15.0,fixed,42,1.0,2,1.633,4.900,4.900,1.233,2,4.000,0.5000,1,3,3,0,0,0,1,0,1,0
15.0,fixed,42,1.0,3,4.046,7.950,7.950,1.767,4,0.000,0.4000,0,4,3,1,0,0,1,3,0,0
20.0,fixed,42,1.0,0,4.242,11.867,11.867,2.250,5,3.000,0.6944,1,6,6,0,0,0,1,0,2,2
20.0,fixed,42,1.0,1,2.942,10.483,10.483,1.800,4,12.000,0.5000,4,6,6,0,1,0,1,1,0,0
