elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,greedy,42,1.0,0,1.867,1.867,1.867,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,greedy,42,1.0,1,0.242,0.483,0.483,1.000,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
5.0,greedy,42,1.0,2,0.000,0.000,0.000,0.500,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
5.0,greedy,42,1.0,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,greedy,42,1.0,0,2.289,6.867,6.867,1.450,3,0.000,0.4500,0,3,3,0,0,0,1,2,0,0
10.0,greedy,42,1.0,1,1.925,5.483,5.483,1.800,4,0.000,0.5000,0,4,4,0,0,0,2,2,0,0
10.0,greedy,42,1.0,2,1.475,2.950,2.950,1.200,2,0.000,0.5000,0,2,2,0,0,0,1,0,1,0
10.0,greedy,42,1.0,3,2.950,2.950,2.950,0.550,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
15.0,greedy,42,1.0,0,1.990,6.867,6.867,1.667,3,8.000,0.7500,2,5,5,0,0,0,1,1,1,0
15.0,greedy,42,1.0,1,3.037,10.483,10.483,2.167,4,8.000,0.4500,2,5,5,0,0,0,0,2,0,1
15.0,greedy,42,1.0,2,3.679,6.867,6.867,1.533,3,4.000,0.7500,1,4,3,1,0,0,1,1,1,0
15.0,greedy,42,1.0,3,1.475,2.950,2.950,0.467,1,4.000,0.2500,1,2,2,0,1,0,1,0,0,0
20.0,greedy,42,1.0,0,2.894,8.083,8.083,2.050,4,9.000,0.4500,3,6,6,0,0,0,2,0,1,0
20.0,greedy,42,1.0,1,5.940,15.483,15.483,2.375,4,6.000,0.4500,2,5,5,0,2,0,0,2,0,1
20.0,greedy,42,1.0,2,4.943,10.783,10.783,1.900,3,6.000,0.4500,2,5,3,2,0,0,0,2,1,0
20.0,greedy,42,1.0,3,1.069,3.100,3.100,1.250,6,3.000,0.5000,1,7,6,1,1,0,4,1,1,0
25.0,greedy,42,1.0,0,4.408,11.083,11.083,2.100,4,12.000,0.2500,5,6,6,0,0,0,0,0,1,0
25.0,greedy,42,1.0,1,5.088,18.483,18.483,2.680,5,9.600,0.6667,4,8,8,0,2,0,0,1,1,2
25.0,greedy,42,1.0,2,5.286,14.900,14.900,1.880,4,12.000,0.2500,5,6,3,3,1,0,0,0,1,0
25.0,greedy,42,1.0,3,1.462,4.117,4.117,1.980,6,12.000,0.8929,5,10,8,2,1,0,1,1,2,1
30.0,greedy,42,1.0,0,3.494,12.417,12.417,2.133,4,10.000,0.6667,5,9,9,0,0,0,1,1,2,0
30.0,greedy,42,1.0,1,6.579,18.483,18.483,2.750,5,10.000,0.4500,5,8,8,0,2,0,0,0,1,2
30.0,greedy,42,1.0,2,5.245,19.900,19.900,1.783,4,10.000,0.5000,5,7,4,3,3,0,1,0,1,0
30.0,greedy,42,1.0,3,4.356,19.083,19.083,2.717,8,12.000,0.5333,6,14,9,5,4,0,0,5,2,1
35.0,greedy,42,1.0,0,4.846,17.417,17.417,2.400,4,8.571,0.6667,5,9,9,0,0,0,1,1,2,0
35.0,greedy,42,1.0,1,6.675,19.517,19.517,3.171,7,8.571,0.8167,5,12,10,2,2,0,3,1,1,2
35.0,greedy,42,1.0,2,4.635,24.900,24.900,1.900,4,8.571,0.6667,5,9,6,3,3,0,1,1,2,0
35.0,greedy,42,1.0,3,6.697,24.083,24.083,3.600,9,10.286,0.6532,6,15,10,5,6,0,1,5,2,1
40.0,greedy,42,1.0,0,6.180,18.417,18.417,2.400,4,10.500,0.5000,7,9,9,0,0,0,1,1,0,0
40.0,greedy,42,1.0,1,6.796,24.517,24.517,3.587,7,12.000,0.8167,8,15,13,2,2,0,1,3,1,2
40.0,greedy,42,1.0,2,4.697,29.900,29.900,2.237,5,9.000,0.3676,6,11,8,3,3,0,0,1,4,0
40.0,greedy,42,1.0,3,8.581,26.100,26.100,3.987,9,16.500,0.6667,11,15,10,5,6,0,1,0,2,1
45.0,greedy,42,1.0,0,5.468,18.417,18.417,2.456,5,9.333,0.8929,7,12,12,0,2,0,1,2,1,1
45.0,greedy,42,1.0,1,8.020,29.517,29.517,4.011,8,12.000,0.7206,9,16,14,2,4,0,0,3,2,2
45.0,greedy,42,1.0,2,6.682,34.900,34.900,2.544,5,8.000,0.3676,6,11,8,3,3,0,0,1,4,0
45.0,greedy,42,1.0,3,8.748,26.100,26.100,4.144,9,14.667,0.6429,11,17,11,6,11,0,3,0,2,1
50.0,greedy,42,1.0,0,5.819,18.483,18.483,2.750,6,10.800,0.8929,9,14,14,0,2,0,2,1,1,1
50.0,greedy,42,1.0,1,9.455,34.517,34.517,4.400,8,10.800,0.7273,9,17,15,2,6,0,0,3,3,2
50.0,greedy,42,1.0,2,6.346,35.900,35.900,2.620,5,12.000,0.7500,10,13,10,3,3,0,0,1,1,1
50.0,greedy,42,1.0,3,10.381,26.100,26.100,4.330,9,13.200,0.6429,11,17,11,6,11,0,3,0,2,1
55.0,greedy,42,1.0,0,6.550,20.217,20.217,2.945,6,10.909,0.8929,10,15,15,0,2,0,2,1,1,1
55.0,greedy,42,1.0,1,10.480,39.517,39.517,4.582,8,13.091,0.4500,12,18,16,2,6,0,0,0,4,2
55.0,greedy,42,1.0,2,7.493,35.900,35.900,2.709,5,10.909,0.5682,10,15,10,5,6,0,0,3,1,1
55.0,greedy,42,1.0,3,10.405,29.417,30.517,4.636,9,14.182,0.8100,13,22,14,8,11,0,2,4,2,1
60.0,greedy,42,1.0,0,6.606,25.217,25.217,3.192,8,10.000,1.0000,10,18,18,0,2,0,2,2,2,2
60.0,greedy,42,1.0,1,11.371,44.517,44.517,4.758,8,12.000,0.5833,12,19,17,2,6,0,0,1,4,2
60.0,greedy,42,1.0,2,7.663,35.900,35.900,2.942,6,11.000,0.5000,11,17,11,6,7,0,1,4,0,1
60.0,greedy,42,1.0,3,11.841,34.417,35.517,5.000,9,14.000,0.6532,14,23,14,9,11,0,1,5,2,1
65.0,greedy,42,1.0,0,8.004,27.217,27.217,3.485,8,11.077,0.7500,12,18,18,0,2,0,0,2,2,2
65.0,greedy,42,1.0,1,11.942,38.517,49.517,4.992,9,11.077,0.7500,12,21,19,2,6,0,1,1,4,3
65.0,greedy,42,1.0,2,8.140,35.900,35.900,3.031,6,13.846,0.7500,15,18,12,6,8,0,1,1,0,1
65.0,greedy,42,1.0,3,12.493,39.417,40.517,5.354,10,13.846,0.6944,15,25,16,9,14,0,1,5,3,1
70.0,greedy,42,1.0,0,9.161,27.217,27.217,3.686,8,10.286,0.7206,12,19,19,0,2,0,0,3,2,2
70.0,greedy,42,1.0,1,13.001,43.517,54.517,5.086,9,13.714,0.5833,16,23,20,3,6,0,2,1,0,4
70.0,greedy,42,1.0,2,7.826,35.900,35.900,3.079,6,13.714,0.6667,16,20,14,6,12,0,1,2,0,1
70.0,greedy,42,1.0,3,13.722,44.417,45.517,5.693,11,12.857,0.7756,15,26,17,9,15,0,2,5,3,1
75.0,greedy,42,1.0,0,10.976,28.950,38.417,4.140,14,9.600,0.7903,12,26,22,4,2,0,1,3,6,4
75.0,greedy,42,1.0,1,14.161,48.517,59.517,5.273,9,12.800,0.6154,16,24,20,4,6,0,3,1,0,4
75.0,greedy,42,1.0,2,8.326,35.900,35.900,3.020,6,14.400,0.5000,18,20,14,6,14,0,1,0,0,1
75.0,greedy,42,1.0,3,13.636,49.417,50.517,5.820,11,16.000,0.6154,20,28,19,9,20,0,3,0,4,1
80.0,greedy,42,1.0,0,12.533,33.950,40.817,4.581,14,11.250,0.5708,15,26,22,4,2,0,1,0,6,4
80.0,greedy,42,1.0,1,15.195,53.517,64.517,5.500,9,12.000,0.6983,16,25,21,4,6,0,3,2,0,4
80.0,greedy,42,1.0,2,8.445,28.517,35.900,2.994,6,14.250,0.5682,19,24,16,8,15,0,1,3,0,1
80.0,greedy,42,1.0,3,13.824,54.417,55.517,5.994,11,15.750,0.6983,21,30,21,9,20,0,3,0,4,2
85.0,greedy,42,1.0,0,13.602,38.950,45.817,5.029,14,10.588,0.6123,15,28,24,4,2,0,2,0,7,4
85.0,greedy,42,1.0,1,15.722,54.517,65.517,5.571,9,14.118,0.4500,20,26,22,4,6,0,4,2,0,0
85.0,greedy,42,1.0,2,8.426,33.517,35.900,3.176,7,13.412,0.5833,19,26,17,9,15,0,1,4,0,2
85.0,greedy,42,1.0,3,14.797,59.417,60.517,6.224,11,14.823,0.6722,21,32,22,10,21,0,5,0,4,2
90.0,greedy,42,1.0,0,14.967,43.950,49.833,5.467,14,12.667,0.7353,19,29,25,4,2,0,3,0,3,4
90.0,greedy,42,1.0,1,16.753,54.517,65.517,5.594,9,13.333,0.4500,20,26,22,4,10,0,4,2,0,0
90.0,greedy,42,1.0,2,9.156,35.900,38.517,3.344,7,13.333,0.5833,20,27,18,9,15,0,0,4,1,2
90.0,greedy,42,1.0,3,14.557,64.417,65.517,6.472,13,17.333,0.5786,26,35,25,10,21,0,1,0,5,3
95.0,greedy,42,1.0,0,15.524,48.950,49.833,5.611,14,13.895,0.5000,22,30,26,4,3,0,4,0,0,4
95.0,greedy,42,1.0,1,16.628,54.517,65.517,5.637,9,12.632,0.4706,20,28,24,4,10,0,5,3,0,0
95.0,greedy,42,1.0,2,9.330,35.900,43.517,3.421,7,15.158,0.6667,24,28,19,9,16,0,1,0,1,2
95.0,greedy,42,1.0,3,14.768,69.417,70.517,6.642,13,17.053,0.6944,27,37,26,11,24,0,1,1,5,3
100.0,greedy,42,1.0,0,15.764,49.833,53.950,5.770,14,13.200,0.5952,22,32,28,4,9,0,5,0,1,4
100.0,greedy,42,1.0,1,16.764,54.517,65.517,5.730,9,14.400,0.4808,24,29,25,4,10,0,2,3,0,0
100.0,greedy,42,1.0,2,9.815,35.900,48.517,3.450,7,14.400,0.6667,24,28,19,9,19,0,1,0,1,2
100.0,greedy,42,1.0,3,15.081,74.417,75.517,6.835,13,16.800,0.7035,28,39,28,11,26,0,1,1,5,4
105.0,greedy,42,1.0,0,17.069,49.833,58.950,5.971,14,12.571,0.5952,22,32,28,4,9,0,5,0,1,4
105.0,greedy,42,1.0,1,15.661,54.517,65.517,5.681,9,14.857,0.6429,26,32,28,4,11,0,1,3,0,2
105.0,greedy,42,1.0,2,10.167,35.900,53.517,3.510,7,13.714,0.5682,24,29,20,9,19,0,1,0,1,3
