elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,neural,44,1.0,0,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,neural,44,1.0,1,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,neural,44,1.0,2,0.242,0.483,0.483,1.200,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
5.0,neural,44,1.0,3,0.933,1.867,1.867,1.000,2,0.000,0.5000,0,2,2,0,0,0,0,1,0,1
10.0,neural,44,1.0,0,0.000,0.000,0.000,0.350,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,neural,44,1.0,1,1.742,3.483,3.483,0.700,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
10.0,neural,44,1.0,2,2.794,5.483,5.483,1.850,3,0.000,0.4500,0,3,3,0,0,0,0,1,2,0
10.0,neural,44,1.0,3,2.454,6.867,6.867,2.100,4,0.000,0.6667,0,4,4,0,0,0,0,2,1,1
15.0,neural,44,1.0,0,0.000,0.000,0.000,0.367,1,4.000,1.0000,1,1,1,0,0,0,0,0,0,0
15.0,neural,44,1.0,1,2.121,8.483,8.483,1.167,3,4.000,0.4500,1,4,4,0,0,0,0,1,0,2
15.0,neural,44,1.0,2,4.750,10.483,10.483,2.767,5,0.000,0.6944,0,5,5,0,0,0,0,1,2,2
15.0,neural,44,1.0,3,5.420,11.867,11.867,2.900,5,0.000,0.8929,0,5,5,0,0,0,1,2,1,1
20.0,neural,44,1.0,0,0.000,0.000,0.000,0.275,1,3.000,1.0000,1,1,1,0,0,0,0,0,0,0
20.0,neural,44,1.0,1,2.850,13.483,13.483,1.950,6,3.000,0.9000,1,7,6,1,1,0,2,1,1,2
20.0,neural,44,1.0,2,8.750,12.900,12.900,3.075,5,3.000,0.5000,1,5,5,0,1,0,0,0,2,2
20.0,neural,44,1.0,3,5.040,12.950,12.950,3.250,6,6.000,0.9000,2,8,8,0,2,0,1,2,2,1
25.0,neural,44,1.0,0,0.000,0.000,0.000,0.420,2,2.400,0.2500,1,3,3,0,0,0,2,0,0,0
25.0,neural,44,1.0,1,4.243,14.483,14.483,2.720,7,4.800,0.5833,2,9,8,1,1,0,2,0,1,4
25.0,neural,44,1.0,2,12.750,17.900,17.900,3.260,5,2.400,0.5000,1,5,5,0,1,0,0,0,2,2
25.0,neural,44,1.0,3,6.222,17.950,17.950,3.620,6,9.600,0.6944,4,9,9,0,3,0,2,0,2,1
30.0,neural,44,1.0,0,0.000,0.000,0.000,0.767,3,6.000,0.2500,3,5,5,0,0,0,2,0,0,0
30.0,neural,44,1.0,1,7.065,14.483,14.483,3.450,8,4.000,0.6154,2,10,9,1,1,0,3,0,1,4
30.0,neural,44,1.0,2,12.958,19.900,19.900,3.233,5,6.000,0.2500,3,6,6,0,1,0,0,0,0,3
30.0,neural,44,1.0,3,8.632,20.950,20.950,4.017,7,10.000,0.7500,5,11,10,1,4,0,2,2,2,0
35.0,neural,44,1.0,0,0.065,0.517,0.517,1.029,3,8.571,0.4500,5,8,8,0,0,0,1,0,0,2
35.0,neural,44,1.0,1,8.514,20.950,20.950,4.186,10,10.286,0.4211,6,14,10,4,1,0,6,0,1,1
35.0,neural,44,1.0,2,15.314,21.517,21.517,3.200,5,5.143,0.2500,3,6,6,0,3,0,0,0,0,3
35.0,neural,44,1.0,3,10.246,23.417,23.417,4.371,7,8.571,0.9423,5,12,11,1,4,0,2,2,2,1
40.0,neural,44,1.0,0,0.903,5.517,5.517,1.250,4,9.000,0.2500,6,10,10,0,0,0,0,0,0,4
40.0,neural,44,1.0,1,8.776,20.950,20.950,4.725,10,12.000,0.3971,8,17,12,5,5,0,7,1,1,0
40.0,neural,44,1.0,2,17.814,26.517,26.517,3.175,5,4.500,0.2500,3,6,6,0,3,0,0,0,0,3
40.0,neural,44,1.0,3,12.104,28.417,28.417,4.787,8,7.500,1.0000,5,13,12,1,4,0,2,2,2,2
45.0,neural,44,1.0,0,2.192,9.517,9.517,1.556,5,12.000,0.5000,9,11,11,0,0,0,0,0,1,1
45.0,neural,44,1.0,1,9.255,22.217,24.900,5.500,13,10.667,0.4856,8,21,14,7,7,0,9,2,1,1
45.0,neural,44,1.0,2,15.698,27.517,27.517,2.911,5,8.000,0.2500,6,7,7,0,3,0,0,0,0,1
45.0,neural,44,1.0,3,13.595,30.950,30.950,5.078,9,9.333,0.7206,7,14,13,1,4,0,2,3,0,2
50.0,neural,44,1.0,0,6.079,27.517,27.517,1.690,5,15.600,0.5000,13,15,12,3,3,0,0,1,1,0
50.0,neural,44,1.0,1,11.652,27.217,29.900,6.260,14,9.600,0.5444,8,22,15,7,7,0,9,2,2,1
50.0,neural,44,1.0,2,14.297,29.417,29.417,2.830,5,8.400,0.5000,7,11,9,2,3,0,0,2,2,0
50.0,neural,44,1.0,3,15.022,35.950,35.950,5.340,9,8.400,0.7273,7,15,14,1,4,0,2,3,0,3
55.0,neural,44,1.0,0,5.614,27.517,27.517,1.836,5,15.273,0.6667,14,18,14,4,7,0,0,1,2,1
55.0,neural,44,1.0,1,11.581,27.217,34.900,6.427,14,18.545,0.8167,17,24,17,7,7,0,1,3,2,1
55.0,neural,44,1.0,2,15.171,30.333,30.333,2.936,5,7.636,0.5000,7,11,9,2,3,0,0,2,2,0
55.0,neural,44,1.0,3,16.576,40.950,40.950,5.609,9,7.636,0.8804,7,16,15,1,4,0,2,3,1,3
