metric,mode,avg_wait_mean,avg_wait_std,avg_wait_spread,avg_wait_cv,performance_rank,reliability_rank,p95_wait_mean,p95_wait_std,p95_wait_spread,p95_wait_cv,throughput_mean,throughput_std,throughput_spread,throughput_cv,avg_queue_mean,avg_queue_std,avg_queue_spread,avg_queue_cv,fairness_mean,fairness_std,fairness_spread,fairness_cv
avg_wait,greedy,21.778620629216846,1.1670977751984635,2.940099387710301,0.05358915034466221,1,2,,,,,,,,,,,,,,,,
avg_wait,neural,22.71432149758076,0.9223738389078395,1.911985795790546,0.04060758931346812,2,1,,,,,,,,,,,,,,,,
avg_wait,fixed,25.542509566118195,1.4699868954469177,4.136433314357813,0.0575506056537544,3,3,,,,,,,,,,,,,,,,
avg_wait,adaptive,26.193673980233523,2.129613019652746,4.441552279269068,0.08130257027936637,4,4,,,,,,,,,,,,,,,,
avg_wait,rl,26.98670971496162,2.2784958666345387,5.303175864026397,0.0844302951601145,5,5,,,,,,,,,,,,,,,,
avg_wait,random,45.30243067861172,5.230464029005425,12.61419405555683,0.11545658700107769,6,6,,,,,,,,,,,,,,,,
p95_wait,neural,,,,,1,4,60.992621985006465,6.422583451561419,15.908365150001728,0.105300989571169,,,,,,,,,,,,
p95_wait,fixed,,,,,2,5,61.76012352000623,6.80233691588098,16.383366100001382,0.1101412453243794,,,,,,,,,,,,
p95_wait,greedy,,,,,3,3,67.87680242000731,5.537190178429305,14.712529425001414,0.0815770628699676,,,,,,,,,,,,
p95_wait,adaptive,,,,,4,2,69.53513907000745,2.8963270944556725,7.379181425001249,0.041652711610164074,,,,,,,,,,,,
p95_wait,rl,,,,,5,1,75.31598396500789,1.9323118721838715,4.0875081749995985,0.02565606622203371,,,,,,,,,,,,
p95_wait,random,,,,,6,6,128.75192417001227,11.636717883902735,28.60422387500236,0.0903809240826325,,,,,,,,,,,,
throughput,greedy,,,,,1,1,,,,,68.26653013360092,0.5477214620621974,1.3333306666718983,0.008023279650954573,,,,,,,,
throughput,neural,,,,,2,2,,,,,67.13319906692982,2.0357867930399136,4.666657333351623,0.030324590833371343,,,,,,,,
throughput,fixed,,,,,3,3,,,,,65.26653613358917,2.6076757467293565,6.666653333359463,0.03995425376017966,,,,,,,,
throughput,adaptive,,,,,4,4,,,,,63.06654053358054,2.6076757467293574,6.999986000027441,0.041348006798325475,,,,,,,,
throughput,rl,,,,,5,5,,,,,62.79987440024615,2.7547882919424453,6.666653333359456,0.0438661433362938,,,,,,,,
throughput,random,,,,,6,6,,,,,52.466561733539,4.997767288196041,12.33330866671502,0.09525623793642345,,,,,,,,
avg_queue,greedy,,,,,1,4,,,,,,,,,7.145277777777778,0.4186139105377161,1.1006944444444446,0.05858609329921774,,,,
avg_queue,neural,,,,,2,1,,,,,,,,,7.506805555555556,0.3638035311253303,0.947222222222222,0.04846316165150841,,,,
avg_queue,fixed,,,,,3,2,,,,,,,,,8.391527777777778,0.37017777834057075,0.9951388888888895,0.044113275692284036,,,,
avg_queue,rl,,,,,4,5,,,,,,,,,8.56138888888889,0.5474571636802411,1.15486111111111,0.06394490085489983,,,,
avg_queue,adaptive,,,,,5,3,,,,,,,,,8.635833333333334,0.3834140288453624,0.8333333333333339,0.044398034798266414,,,,
avg_queue,random,,,,,6,6,,,,,,,,,14.067222222222222,1.6280295388592148,3.8090277777777786,0.11573212629622,,,,
fairness,greedy,,,,,1,3,,,,,,,,,,,,,0.6397756706263695,0.05268957934932564,0.12402646079557622,0.08235633483489634
fairness,fixed,,,,,2,6,,,,,,,,,,,,,0.6227600214356819,0.10169725537468124,0.2779954362742063,0.16330087332875534
fairness,neural,,,,,3,4,,,,,,,,,,,,,0.5942068733238173,0.07670173554956145,0.20834982110960276,0.12908254514208942
fairness,adaptive,,,,,4,5,,,,,,,,,,,,,0.5931882694045252,0.0975617356418661,0.24376282928409132,0.1644701027884518
fairness,rl,,,,,5,1,,,,,,,,,,,,,0.5647396094303515,0.031678379108502505,0.08104317401999517,0.056093779468481486
fairness,random,,,,,6,2,,,,,,,,,,,,,0.5615085741479897,0.04851255206180549,0.12710690338215858,0.08639681439489409
