elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,rl,43,1.0,0,0.378,1.133,1.133,2.100,3,0.000,0.4500,0,3,3,0,0,0,0,0,2,1
5.0,rl,43,1.0,1,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,rl,43,1.0,2,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,rl,43,1.0,3,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,rl,43,1.0,0,2.742,6.133,6.133,3.000,4,0.000,0.6667,0,4,4,0,0,0,1,0,2,1
10.0,rl,43,1.0,1,0.000,0.000,0.000,0.050,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,rl,43,1.0,2,0.879,3.517,3.517,1.400,4,0.000,0.6667,0,4,4,0,0,0,1,2,0,1
10.0,rl,43,1.0,3,2.867,2.867,2.867,0.550,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
15.0,rl,43,1.0,0,5.046,11.133,11.133,2.700,4,8.000,0.5000,2,4,4,0,0,0,1,0,0,1
15.0,rl,43,1.0,1,0.000,0.000,0.000,0.633,2,4.000,0.2500,1,3,3,0,0,0,0,0,2,0
15.0,rl,43,1.0,2,1.956,8.517,8.517,2.033,4,8.000,0.4000,2,6,6,0,1,0,3,0,0,1
15.0,rl,43,1.0,3,3.933,7.867,7.867,0.933,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
20.0,rl,43,1.0,0,7.546,16.133,16.133,2.525,4,6.000,0.5000,2,4,4,0,2,0,1,0,0,1
20.0,rl,43,1.0,1,1.079,3.417,3.417,1.150,3,3.000,0.2500,1,4,4,0,0,0,0,0,3,0
20.0,rl,43,1.0,2,3.769,13.517,13.517,2.750,5,6.000,0.3676,2,7,7,0,2,0,4,0,0,1
20.0,rl,43,1.0,3,3.353,12.867,12.867,1.425,5,0.000,0.6944,0,5,5,0,0,0,0,2,2,1
25.0,rl,43,1.0,0,5.312,18.133,18.133,2.700,4,9.600,0.4500,4,7,7,0,2,0,2,0,0,1
25.0,rl,43,1.0,1,1.263,4.417,4.417,1.120,3,9.600,0.2500,4,5,5,0,1,0,1,0,0,0
25.0,rl,43,1.0,2,5.626,18.517,18.517,2.780,5,14.400,0.2500,6,7,7,0,2,0,0,0,0,1
25.0,rl,43,1.0,3,5.950,17.867,17.867,2.200,6,0.000,0.6429,0,6,6,0,0,0,0,3,2,1
30.0,rl,43,1.0,0,5.385,19.217,19.217,2.700,5,10.000,0.4808,5,10,7,3,4,0,2,0,3,0
30.0,rl,43,1.0,1,1.053,4.417,4.417,1.150,3,8.000,0.5000,4,6,6,0,1,0,1,0,0,1
30.0,rl,43,1.0,2,5.057,23.517,23.517,2.617,5,12.000,0.4500,6,9,9,0,2,0,0,0,1,2
30.0,rl,43,1.0,3,7.508,22.867,22.867,3.000,9,2.000,0.6983,1,10,8,2,0,0,2,4,3,0
35.0,rl,43,1.0,0,6.665,24.217,24.217,3.029,5,8.571,0.4808,5,10,7,3,5,0,2,0,3,0
35.0,rl,43,1.0,1,3.036,6.983,6.983,1.414,3,6.857,0.4500,4,7,6,1,1,0,1,0,0,2
35.0,rl,43,1.0,2,4.721,28.517,28.517,2.857,6,10.286,0.5000,6,12,12,0,2,0,0,0,3,3
35.0,rl,43,1.0,3,8.433,27.867,27.867,4.314,13,1.714,0.6926,1,14,10,4,0,0,6,4,3,0
40.0,rl,43,1.0,0,7.649,25.217,25.217,3.163,5,10.500,0.4000,7,11,8,3,5,0,0,1,3,0
40.0,rl,43,1.0,1,3.281,9.433,9.433,1.400,3,9.000,0.5000,6,8,7,1,1,0,1,0,1,0
40.0,rl,43,1.0,2,6.089,33.517,33.517,3.138,6,12.000,0.4000,8,12,12,0,2,0,0,0,1,3
40.0,rl,43,1.0,3,9.368,32.867,32.867,5.125,14,10.500,0.5952,7,17,13,4,0,0,0,5,4,1
45.0,rl,43,1.0,0,8.022,25.217,25.217,3.344,6,9.333,0.7500,7,13,10,3,5,0,1,1,3,1
45.0,rl,43,1.0,1,5.808,25.217,25.217,1.700,6,8.000,0.6429,6,12,9,3,3,0,3,1,2,0
45.0,rl,43,1.0,2,7.339,38.517,38.517,3.122,6,12.000,0.2500,9,12,12,0,3,0,0,0,0,3
45.0,rl,43,1.0,3,11.326,37.867,37.867,5.722,14,9.333,0.5708,7,18,14,4,5,0,0,6,4,1
50.0,rl,43,1.0,0,9.235,25.217,25.217,3.640,7,8.400,0.8167,7,14,11,3,5,0,2,1,3,1
50.0,rl,43,1.0,1,6.474,25.217,25.217,2.080,7,10.800,0.6667,9,13,10,3,3,0,0,1,2,1
50.0,rl,43,1.0,2,8.589,43.517,43.517,3.110,6,10.800,0.2500,9,12,12,0,5,0,0,0,0,3
50.0,rl,43,1.0,3,12.353,33.900,42.867,6.420,14,8.400,0.7903,7,21,17,4,6,0,1,6,4,3
55.0,rl,43,1.0,0,10.925,25.217,25.217,3.809,7,10.909,0.7206,10,17,12,5,5,0,2,2,0,3
55.0,rl,43,1.0,1,7.314,25.217,25.217,2.282,7,9.818,0.6944,9,14,11,3,4,0,0,1,2,2
55.0,rl,43,1.0,2,6.871,43.517,43.517,3.027,6,13.091,0.7500,12,15,15,0,5,0,1,1,1,0
55.0,rl,43,1.0,3,15.306,38.900,47.867,7.064,14,10.909,0.5708,10,21,17,4,6,0,1,6,4,0
60.0,rl,43,1.0,0,13.913,45.983,45.983,4.200,9,10.000,0.6983,10,19,13,6,8,0,2,3,0,4
60.0,rl,43,1.0,1,8.014,25.217,25.217,2.683,10,9.000,0.5952,9,19,13,6,6,0,1,1,2,6
60.0,rl,43,1.0,2,7.599,43.517,43.517,3.025,6,12.000,0.7500,12,15,15,0,5,0,1,1,1,0
60.0,rl,43,1.0,3,16.314,43.900,52.867,7.425,14,10.000,0.5633,10,23,19,4,6,0,1,7,5,0
65.0,rl,43,1.0,0,16.261,50.983,50.983,4.569,9,9.231,0.6983,10,19,13,6,8,0,2,3,0,4
65.0,rl,43,1.0,1,9.675,25.217,25.217,3.223,11,12.000,0.9423,13,20,14,6,6,0,1,2,2,2
65.0,rl,43,1.0,2,7.587,43.517,43.517,3.100,6,11.077,0.6944,12,17,17,0,5,0,2,1,2,0
65.0,rl,43,1.0,3,17.410,48.900,57.867,7.946,15,9.231,0.6466,10,25,21,4,6,0,1,7,6,1
70.0,rl,43,1.0,0,17.100,52.983,52.983,4.764,9,12.000,0.4500,14,20,14,6,8,0,2,4,0,0
70.0,rl,43,1.0,1,10.856,26.867,26.867,3.371,11,12.857,0.6944,15,20,14,6,10,0,1,2,2,0
70.0,rl,43,1.0,2,7.618,43.517,43.517,3.250,6,12.000,0.6944,14,19,19,0,5,0,2,0,2,1
70.0,rl,43,1.0,3,18.561,53.900,61.867,8.479,17,12.000,0.7972,14,27,23,4,6,0,2,3,6,2
75.0,rl,43,1.0,0,16.892,35.483,52.983,4.900,9,11.200,0.4000,14,22,16,6,12,0,2,6,0,0
75.0,rl,43,1.0,1,11.529,30.417,31.867,3.487,11,12.000,0.9000,15,21,15,6,12,0,1,2,2,1
75.0,rl,43,1.0,2,8.353,43.517,43.517,3.413,6,11.200,0.6429,14,20,20,0,7,0,3,0,2,1
75.0,rl,43,1.0,3,19.448,58.900,61.867,8.667,17,13.600,0.6173,17,28,24,4,11,0,3,0,6,2
80.0,rl,43,1.0,0,17.825,40.483,52.983,5.125,9,10.500,0.4939,14,23,17,6,12,0,2,6,1,0
80.0,rl,43,1.0,1,12.720,35.417,36.867,3.612,11,12.000,0.6944,16,21,15,6,12,0,1,2,2,0
80.0,rl,43,1.0,2,9.283,24.250,43.517,3.619,7,10.500,0.7206,14,21,21,0,7,0,3,0,2,2
80.0,rl,43,1.0,3,19.269,61.867,63.900,8.894,17,12.750,0.6622,17,31,27,4,13,0,3,0,7,4
85.0,rl,43,1.0,0,18.808,45.483,52.983,5.382,10,9.882,0.5952,14,24,18,6,12,0,2,6,1,1
85.0,rl,43,1.0,1,12.005,38.417,41.867,3.759,11,12.706,0.6429,18,24,18,6,13,0,2,3,1,0
85.0,rl,43,1.0,2,10.079,29.250,43.517,3.729,7,11.294,0.6429,16,22,22,0,7,0,3,1,0,2
85.0,rl,43,1.0,3,21.262,61.867,68.900,9.194,17,12.000,0.6622,17,31,27,4,13,0,3,0,7,4
90.0,rl,43,1.0,0,19.327,47.483,52.983,5.544,11,13.333,0.6944,20,25,19,6,12,0,2,0,1,2
90.0,rl,43,1.0,1,11.968,38.417,46.867,3.900,11,12.667,0.4900,19,26,20,6,13,0,3,4,0,0
90.0,rl,43,1.0,2,10.304,34.250,43.517,3.889,8,10.667,0.6667,16,24,24,0,9,0,4,2,0,2
90.0,rl,43,1.0,3,23.502,66.467,73.900,9.461,17,11.333,0.6622,17,31,27,4,13,0,3,0,7,4
95.0,rl,43,1.0,0,19.947,47.483,52.983,5.689,11,12.632,0.6983,20,29,20,9,12,0,2,0,4,3
95.0,rl,43,1.0,1,12.740,38.417,51.867,4.111,11,12.000,0.4706,19,27,21,6,13,0,3,5,0,0
95.0,rl,43,1.0,2,13.469,43.517,48.667,4.289,16,10.105,0.6275,16,32,26,6,9,0,4,9,1,2
95.0,rl,43,1.0,3,24.517,69.467,76.900,9.647,17,13.895,0.7353,22,32,28,4,13,0,3,0,3,4
100.0,rl,43,1.0,0,19.364,49.567,52.983,5.900,12,12.000,0.7826,20,32,23,9,12,0,2,1,5,4
100.0,rl,43,1.0,1,13.714,38.417,56.867,4.340,11,11.400,0.4939,19,28,22,6,13,0,4,5,0,0
100.0,rl,43,1.0,2,18.297,69.467,76.900,4.815,17,12.000,0.5818,20,36,27,9,9,0,0,9,5,2
100.0,rl,43,1.0,3,25.611,69.467,76.900,9.565,17,15.000,0.4900,25,32,28,4,13,0,3,0,0,4
105.0,rl,43,1.0,0,20.948,52.983,54.567,6.190,12,11.429,0.7826,20,32,23,9,12,0,2,1,5,4
105.0,rl,43,1.0,1,13.857,43.083,56.867,4.376,11,13.714,0.3676,24,29,23,6,13,0,4,1,0,0
105.0,rl,43,1.0,2,21.294,61.417,79.950,5.505,21,11.429,0.6602,20,41,28,13,9,0,1,9,9,2
105.0,rl,43,1.0,3,24.703,61.867,76.900,9.586,17,14.286,0.7111,25,41,31,10,13,0,7,2,1,6
110.0,rl,43,1.0,0,21.829,56.600,59.567,6.395,12,13.636,0.5333,25,33,24,9,12,0,2,1,0,5
110.0,rl,43,1.0,1,14.547,48.083,56.867,4.386,11,13.636,0.2500,25,29,23,6,13,0,4,0,0,0
110.0,rl,43,1.0,2,21.620,65.817,84.950,6.314,25,10.909,0.6275,20,45,31,14,9,0,1,10,12,2
110.0,rl,43,1.0,3,25.087,61.867,76.900,10.023,20,13.636,0.8197,25,45,32,13,13,0,7,6,1,6
115.0,rl,43,1.0,0,22.270,61.600,64.567,6.470,12,13.043,0.4939,25,34,25,9,12,0,2,1,0,6
115.0,rl,43,1.0,1,14.253,53.083,56.867,4.422,11,13.043,0.3462,25,31,25,6,13,0,5,0,1,0
