elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,adaptive,41,1.0,0,0.000,0.000,0.000,0.889,2,0.000,0.2500,0,2,2,0,0,0,0,0,2,0
5.0,adaptive,41,1.0,1,0.000,0.000,0.000,0.000,0,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,adaptive,41,1.0,2,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,adaptive,41,1.0,3,0.000,0.000,0.000,1.333,2,0.000,0.2500,0,2,2,0,0,0,2,0,0,0
10.0,adaptive,41,1.0,0,1.173,3.467,3.467,1.895,4,0.000,0.8929,0,5,5,0,0,0,1,1,2,1
10.0,adaptive,41,1.0,1,3.133,3.133,3.133,0.526,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
10.0,adaptive,41,1.0,2,0.000,0.000,0.000,0.632,2,0.000,0.5000,0,2,2,0,0,0,1,0,1,0
10.0,adaptive,41,1.0,3,3.517,4.083,4.083,1.684,2,0.000,0.2500,0,2,2,0,0,0,2,0,0,0
15.0,adaptive,41,1.0,0,2.148,5.500,5.500,2.655,5,7.991,0.6944,2,7,7,0,0,0,1,2,0,2
15.0,adaptive,41,1.0,1,1.567,3.133,3.133,0.621,1,3.996,0.2500,1,2,2,0,1,0,0,0,1,0
15.0,adaptive,41,1.0,2,1.458,2.917,2.917,0.759,2,3.996,0.2500,1,2,2,0,0,0,0,0,1,0
15.0,adaptive,41,1.0,3,1.758,4.083,4.083,1.172,2,7.991,0.5000,2,4,4,0,0,0,0,0,1,1
20.0,adaptive,41,1.0,0,4.563,10.517,10.517,3.368,6,5.990,0.6447,2,9,9,0,2,0,1,3,0,3
20.0,adaptive,41,1.0,1,2.017,4.933,4.933,0.868,3,2.995,0.4500,1,4,4,0,1,0,0,0,2,1
20.0,adaptive,41,1.0,2,3.967,7.933,7.933,0.816,2,2.995,0.2500,1,2,2,0,0,0,0,0,1,0
20.0,adaptive,41,1.0,3,2.208,4.083,4.083,1.763,4,5.990,0.6667,2,6,5,1,2,0,1,0,1,2
25.0,adaptive,41,1.0,0,6.153,15.533,15.533,4.125,8,11.976,0.4500,5,11,11,0,2,0,2,4,0,0
25.0,adaptive,41,1.0,1,2.275,5.900,5.900,1.250,3,4.790,0.6667,2,6,6,0,1,0,0,1,2,1
25.0,adaptive,41,1.0,2,4.450,8.900,8.900,0.708,2,4.790,1.0000,2,2,2,0,0,0,0,0,0,0
25.0,adaptive,41,1.0,3,4.119,6.517,6.517,2.208,5,9.581,0.4500,4,7,6,1,2,0,2,0,1,0
30.1,adaptive,41,1.0,0,6.757,20.550,20.550,4.690,9,11.973,0.8100,6,15,14,1,5,0,2,4,1,2
30.1,adaptive,41,1.0,1,4.565,9.633,9.633,1.724,5,5.987,0.5682,3,8,6,2,1,0,0,1,1,3
30.1,adaptive,41,1.0,2,2.225,8.900,8.900,0.793,2,3.991,0.2500,2,4,4,0,1,0,0,0,2,0
30.1,adaptive,41,1.0,3,6.164,11.533,11.533,2.345,5,7.982,0.4500,4,7,6,1,2,0,2,0,1,0
35.1,adaptive,41,1.0,0,8.108,25.567,25.567,5.313,10,11.971,0.8929,7,17,15,2,6,0,2,4,2,2
35.1,adaptive,41,1.0,1,5.312,13.567,13.567,2.269,7,8.551,0.9000,5,11,9,2,1,0,1,2,2,1
35.1,adaptive,41,1.0,2,2.170,8.900,8.900,0.940,3,6.841,0.2500,4,5,5,0,1,0,0,1,0,0
35.1,adaptive,41,1.0,3,8.314,16.550,16.550,2.433,5,6.841,0.4500,4,7,6,1,2,0,2,0,1,0
40.1,adaptive,41,1.0,0,10.351,28.483,28.483,5.831,10,14.963,0.9423,10,17,15,2,7,0,2,1,2,2
40.1,adaptive,41,1.0,1,6.753,15.050,15.050,2.636,7,8.978,0.6944,6,11,9,2,3,0,1,2,2,0
40.1,adaptive,41,1.0,2,2.267,8.900,8.900,1.026,3,5.985,0.7500,4,7,7,0,3,0,1,1,0,1
40.1,adaptive,41,1.0,3,6.977,19.683,19.683,2.597,5,7.481,0.3676,5,10,9,1,2,0,4,0,0,1
45.1,adaptive,41,1.0,0,11.448,31.200,31.200,5.874,10,14.629,0.7206,11,18,16,2,7,0,3,0,2,2
45.1,adaptive,41,1.0,1,8.281,20.067,20.067,2.977,7,7.979,0.9000,6,12,10,2,4,0,1,2,2,1
45.1,adaptive,41,1.0,2,8.751,28.483,28.483,1.517,9,5.320,0.6944,4,14,9,5,3,0,1,5,3,1
45.1,adaptive,41,1.0,3,8.189,24.700,24.700,2.966,6,6.649,0.5000,5,11,10,1,2,0,4,0,1,1
50.1,adaptive,41,1.0,0,11.876,36.217,36.217,6.031,10,13.165,0.8804,11,20,18,2,7,0,3,1,3,2
50.1,adaptive,41,1.0,1,9.746,23.950,23.950,3.330,7,9.574,0.6944,8,13,11,2,4,0,2,0,2,1
50.1,adaptive,41,1.0,2,9.254,28.483,28.483,2.041,9,11.968,0.5682,10,15,10,5,5,0,1,0,3,1
50.1,adaptive,41,1.0,3,8.936,26.583,26.583,3.144,6,10.771,0.7500,9,12,11,1,2,0,0,1,1,1
55.1,adaptive,41,1.0,0,13.653,41.083,41.083,6.283,10,11.967,0.8804,11,20,18,2,7,0,3,1,3,2
55.1,adaptive,41,1.0,1,10.067,24.567,24.567,3.528,7,8.704,0.5833,8,15,13,2,4,0,4,0,2,1
55.1,adaptive,41,1.0,2,10.244,28.483,28.483,2.311,9,10.879,0.5000,10,16,11,5,9,0,1,0,4,1
55.1,adaptive,41,1.0,3,10.085,26.583,26.583,3.321,7,9.791,0.8167,9,16,13,3,4,0,2,3,1,1
60.2,adaptive,41,1.0,0,15.080,41.083,41.083,6.276,10,13.961,0.6429,14,20,18,2,7,0,0,1,3,2
60.2,adaptive,41,1.0,1,12.038,29.583,29.583,3.828,7,7.978,0.5833,8,15,13,2,4,0,4,0,2,1
60.2,adaptive,41,1.0,2,11.117,31.100,31.100,2.647,9,9.972,0.6447,10,17,12,5,9,0,1,1,4,1
60.2,adaptive,41,1.0,3,9.362,29.617,29.617,3.716,9,9.972,0.8333,10,20,17,3,6,0,1,3,2,4
65.2,adaptive,41,1.0,0,14.422,40.583,41.083,6.365,10,12.887,0.5786,14,23,21,2,7,0,0,1,5,3
65.2,adaptive,41,1.0,1,14.743,41.083,41.083,4.095,8,11.046,0.8167,12,19,14,5,4,0,3,1,2,1
65.2,adaptive,41,1.0,2,12.961,36.117,36.117,2.976,9,10.125,0.5000,11,17,12,5,9,0,1,1,4,0
65.2,adaptive,41,1.0,3,10.995,26.583,33.450,4.198,11,11.966,0.5333,13,21,18,3,7,0,1,0,2,5
70.2,adaptive,41,1.0,0,14.005,41.083,45.400,6.674,13,11.966,0.8167,14,28,25,3,7,0,2,2,6,4
70.2,adaptive,41,1.0,1,15.799,41.083,41.083,4.215,8,12.821,0.6667,15,19,14,5,6,0,0,1,2,1
70.2,adaptive,41,1.0,2,14.731,41.133,41.133,3.178,9,9.402,0.5000,11,17,12,5,9,0,1,1,4,0
70.2,adaptive,41,1.0,3,12.297,30.717,33.450,4.496,11,11.111,0.4939,13,22,19,3,10,0,1,0,2,6
75.2,adaptive,41,1.0,0,14.595,41.933,45.400,6.897,13,15.954,0.6136,20,29,26,3,7,0,2,2,0,5
75.2,adaptive,41,1.0,1,16.012,44.633,44.633,4.214,8,11.965,0.6944,15,20,15,5,8,0,0,2,2,1
75.2,adaptive,41,1.0,2,14.754,46.150,46.150,3.428,9,9.572,0.4537,12,19,14,5,9,0,1,1,5,0
