elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,fixed,44,1.0,0,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,fixed,44,1.0,1,0.000,0.000,0.000,0.222,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,fixed,44,1.0,2,0.250,0.500,0.500,1.111,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
5.0,fixed,44,1.0,3,0.942,1.883,1.883,0.889,1,0.000,0.5000,0,2,2,0,0,0,0,1,0,1
10.0,fixed,44,1.0,0,0.000,0.000,0.000,0.316,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,fixed,44,1.0,1,1.750,3.500,3.500,0.632,1,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
10.0,fixed,44,1.0,2,2.806,5.500,5.500,1.789,3,0.000,0.4500,0,3,3,0,0,0,0,1,2,0
10.0,fixed,44,1.0,3,2.463,6.883,6.883,2.000,4,0.000,0.6667,0,4,4,0,0,0,0,2,1,1
15.0,fixed,44,1.0,0,1.033,3.100,3.100,0.621,2,0.000,0.4500,0,3,3,0,0,0,2,0,1,0
15.0,fixed,44,1.0,1,4.858,8.483,8.483,1.103,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
15.0,fixed,44,1.0,2,5.713,10.483,10.483,2.483,4,0.000,0.6667,0,4,4,0,0,0,0,1,2,1
15.0,fixed,44,1.0,3,4.522,11.867,11.867,3.034,6,0.000,0.9000,0,6,6,0,0,0,2,2,1,1
20.0,fixed,44,1.0,0,3.389,8.117,8.117,1.184,3,0.000,0.4500,0,3,3,0,0,0,2,0,1,0
20.0,fixed,44,1.0,1,3.683,8.483,8.483,1.289,3,2.995,0.4500,1,4,4,0,0,0,2,0,1,0
20.0,fixed,44,1.0,2,6.317,12.933,12.933,2.921,5,2.995,0.5682,1,6,6,0,1,0,1,0,3,1
20.0,fixed,44,1.0,3,6.488,12.983,12.983,3.289,6,5.990,0.9000,2,8,7,1,2,0,2,1,2,1
25.0,fixed,44,1.0,0,8.406,13.133,13.133,1.562,3,0.000,0.4500,0,3,3,0,0,0,2,0,1,0
