elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,random,43,1.0,0,0.000,0.000,0.000,1.111,2,0.000,0.5000,0,2,2,0,0,0,1,0,1,0
5.0,random,43,1.0,1,2.150,2.150,2.150,0.889,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,random,43,1.0,2,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,random,43,1.0,3,0.000,0.000,0.000,0.222,1,0.000,0.2500,0,2,2,0,0,0,0,0,0,2
10.0,random,43,1.0,0,1.556,3.233,3.233,1.684,3,0.000,0.7500,0,3,3,0,0,0,1,0,1,1
10.0,random,43,1.0,1,3.575,7.150,7.150,1.263,2,0.000,0.5000,0,2,2,0,0,0,0,0,1,1
10.0,random,43,1.0,2,0.656,1.967,1.967,0.632,2,0.000,0.4500,0,3,3,0,0,0,0,1,0,2
10.0,random,43,1.0,3,3.342,3.533,3.533,1.158,2,0.000,0.2500,0,2,2,0,0,0,0,0,0,2
15.0,random,43,1.0,0,2.960,8.233,8.233,2.207,4,3.996,0.5000,1,5,5,0,0,0,2,0,0,2
15.0,random,43,1.0,1,4.861,12.150,12.150,1.655,3,0.000,0.7500,0,3,3,0,0,0,0,1,1,1
15.0,random,43,1.0,2,3.057,6.967,6.967,1.655,4,0.000,0.4808,0,5,5,0,0,0,0,2,0,3
15.0,random,43,1.0,3,8.342,8.533,8.533,1.448,2,0.000,0.2500,0,2,2,0,0,0,0,0,0,2
20.0,random,43,1.0,0,6.527,13.250,13.250,2.632,4,2.995,0.5000,1,5,5,0,1,0,2,0,0,2
20.0,random,43,1.0,1,5.837,16.133,16.133,2.132,4,5.990,0.7500,2,5,5,0,0,0,1,1,1,0
20.0,random,43,1.0,2,7.573,11.983,11.983,2.447,5,0.000,0.4808,0,5,5,0,0,0,0,2,0,3
20.0,random,43,1.0,3,5.453,13.550,13.550,1.895,5,0.000,0.5682,0,5,5,0,0,0,0,1,1,3
25.0,random,43,1.0,0,6.007,18.267,18.267,3.333,8,2.395,0.6154,1,9,9,0,1,0,3,0,1,4
25.0,random,43,1.0,1,6.558,16.133,16.133,2.312,4,4.790,1.0000,2,6,6,0,2,0,1,1,1,1
25.0,random,43,1.0,2,12.590,17.000,17.000,2.979,5,0.000,0.4808,0,5,5,0,0,0,0,2,0,3
25.0,random,43,1.0,3,9.767,18.567,18.567,2.542,5,0.000,0.5682,0,5,5,0,0,0,0,1,1,3
30.1,random,43,1.0,0,9.047,23.283,23.283,4.276,9,1.996,0.7500,1,10,10,0,1,0,3,1,1,4
30.1,random,43,1.0,1,7.771,17.483,17.483,2.621,5,5.987,1.0000,3,7,7,0,2,0,1,1,1,1
30.1,random,43,1.0,2,12.674,22.017,22.017,3.466,7,0.000,0.4900,0,7,7,0,0,0,0,4,0,3
30.1,random,43,1.0,3,12.319,23.583,23.583,2.966,5,0.000,0.6429,0,6,6,0,0,0,0,1,2,3
35.1,random,43,1.0,0,13.060,28.300,28.300,4.776,9,3.420,0.6154,2,10,10,0,1,0,3,1,0,4
35.1,random,43,1.0,1,8.681,22.500,22.500,2.746,5,6.841,0.6667,4,8,8,0,3,0,1,2,1,0
35.1,random,43,1.0,2,14.142,24.700,24.700,3.851,8,5.131,0.3676,3,8,8,0,0,0,1,4,0,0
35.1,random,43,1.0,3,10.880,28.600,28.600,3.463,8,3.420,0.5833,2,9,9,0,0,0,0,2,1,4
40.1,random,43,1.0,0,17.187,33.317,33.317,5.545,12,2.993,0.6000,2,14,11,3,2,0,3,1,1,7
40.1,random,43,1.0,1,11.046,26.417,26.417,2.883,5,7.481,0.4500,5,8,8,0,4,0,1,2,0,0
40.1,random,43,1.0,2,12.489,29.717,29.717,4.130,8,5.985,0.5833,4,11,11,0,0,0,2,4,1,0
40.1,random,43,1.0,3,12.457,33.617,33.617,3.909,8,4.489,0.5833,3,10,10,0,0,0,1,2,0,4
45.1,random,43,1.0,0,18.618,38.333,38.333,6.230,12,3.990,0.5216,3,16,12,4,2,0,4,1,0,8
45.1,random,43,1.0,1,11.491,29.733,29.733,2.943,5,6.649,0.5000,5,9,9,0,4,0,2,2,0,0
45.1,random,43,1.0,2,11.807,34.733,34.733,4.770,11,5.320,0.7378,4,15,13,2,0,0,4,4,3,0
45.1,random,43,1.0,3,14.248,38.633,38.633,4.356,8,3.990,0.6667,3,11,11,0,0,0,2,2,0,4
50.1,random,43,1.0,0,21.381,43.350,43.350,7.082,15,3.590,0.6181,3,18,13,5,3,0,5,1,1,8
