elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,rl,42,1.0,0,1.883,1.883,1.883,0.889,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,rl,42,1.0,1,0.250,0.500,0.500,0.889,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
5.0,rl,42,1.0,2,0.000,0.000,0.000,0.444,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
5.0,rl,42,1.0,3,0.000,0.000,0.000,0.000,0,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,rl,42,1.0,0,3.442,6.883,6.883,1.158,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
10.0,rl,42,1.0,1,2.750,5.500,5.500,1.263,2,5.990,0.2500,1,2,2,0,0,0,0,1,0,0
10.0,rl,42,1.0,2,0.471,1.883,1.883,0.947,2,5.990,0.2500,1,4,4,0,0,0,0,3,0,0
10.0,rl,42,1.0,3,1.483,2.967,2.967,0.842,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
15.0,rl,42,1.0,0,4.928,11.883,11.883,1.586,3,0.000,0.4500,0,3,3,0,0,0,0,1,2,0
15.0,rl,42,1.0,1,5.250,10.500,10.500,1.172,2,3.996,0.2500,1,2,2,0,1,0,0,1,0,0
15.0,rl,42,1.0,2,2.873,6.883,6.883,1.862,4,3.996,0.2500,1,5,5,0,0,0,0,4,0,0
15.0,rl,42,1.0,3,1.600,7.967,7.967,1.517,4,3.996,0.8929,1,6,5,1,0,0,1,2,1,1
20.0,rl,42,1.0,0,4.950,16.900,16.900,1.605,3,5.990,0.2500,2,4,4,0,0,0,0,2,0,0
20.0,rl,42,1.0,1,4.292,15.517,15.517,1.447,3,2.995,0.4500,1,4,4,0,1,0,1,2,0,0
20.0,rl,42,1.0,2,3.050,7.867,7.867,1.895,4,14.975,0.2500,5,6,6,0,2,0,1,0,0,0
20.0,rl,42,1.0,3,3.748,12.983,12.983,2.342,5,2.995,0.9000,1,7,6,1,1,0,1,2,2,1
25.0,rl,42,1.0,0,7.204,21.917,21.917,1.688,3,4.790,0.2500,2,4,4,0,2,0,0,2,0,0
25.0,rl,42,1.0,1,4.420,16.483,16.483,1.625,3,7.186,0.2500,3,5,5,0,1,0,2,0,0,0
25.0,rl,42,1.0,2,3.157,7.867,7.867,1.750,4,11.976,0.2500,5,7,7,0,4,0,2,0,0,0
25.0,rl,42,1.0,3,4.467,13.950,13.950,3.083,7,7.186,0.8167,3,10,9,1,2,0,1,1,2,3
30.1,rl,42,1.0,0,8.179,23.867,23.867,1.552,3,7.982,1.0000,4,4,4,0,2,0,0,0,0,0
30.1,rl,42,1.0,1,4.156,16.483,16.483,1.897,4,5.987,0.4808,3,8,8,0,1,0,3,0,0,2
30.1,rl,42,1.0,2,3.945,8.817,8.817,1.793,4,9.978,0.2500,5,7,7,0,4,0,2,0,0,0
30.1,rl,42,1.0,3,6.727,17.067,17.067,4.086,10,9.978,0.9643,5,14,11,3,3,0,2,2,2,3
35.1,rl,42,1.0,0,6.543,23.867,23.867,1.373,3,6.841,0.2500,4,5,5,0,2,0,1,0,0,0
35.1,rl,42,1.0,1,5.282,16.483,16.483,2.373,6,5.131,0.7206,3,10,10,0,1,0,3,0,2,2
35.1,rl,42,1.0,2,7.035,25.867,25.867,1.851,4,11.971,0.2500,7,9,7,2,4,0,0,2,0,0
35.1,rl,42,1.0,3,8.546,18.950,18.950,4.955,11,8.551,0.9167,5,16,13,3,5,0,2,2,3,4
40.1,rl,42,1.0,0,5.839,23.867,23.867,1.351,3,5.985,0.2500,4,6,6,0,2,0,2,0,0,0
40.1,rl,42,1.0,1,6.817,18.950,18.950,2.870,8,8.978,0.7273,6,14,12,2,1,0,1,1,2,4
40.1,rl,42,1.0,2,8.150,30.883,30.883,1.870,4,10.474,0.2500,7,9,7,2,4,0,0,2,0,0
