elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,rl,28,1.0,0,0.817,1.633,1.633,1.111,2,0.000,0.2500,0,2,2,0,0,0,0,2,0,0
5.0,rl,28,1.0,1,0.000,0.000,0.000,0.444,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
5.0,rl,28,1.0,2,0.000,0.000,0.000,0.000,0,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
5.0,rl,28,1.0,3,1.150,1.150,1.150,0.667,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
10.0,rl,28,1.0,0,5.067,6.633,6.633,1.579,2,0.000,0.2500,0,2,2,0,0,0,0,2,0,0
10.0,rl,28,1.0,1,0.000,0.000,0.000,0.632,1,5.990,0.2500,1,2,2,0,0,0,0,1,0,0
10.0,rl,28,1.0,2,0.000,0.000,0.000,0.632,2,5.990,0.2500,1,2,2,0,0,0,0,0,1,0
10.0,rl,28,1.0,3,1.825,6.150,6.150,1.579,3,0.000,0.4000,0,4,4,0,0,0,0,0,1,3
15.0,rl,28,1.0,0,6.711,11.633,11.633,2.000,3,0.000,0.4500,0,3,3,0,0,0,1,2,0,0
15.0,rl,28,1.0,1,0.875,3.500,3.500,1.103,3,3.996,0.4500,1,4,4,0,0,0,2,1,0,0
15.0,rl,28,1.0,2,0.717,1.433,1.433,0.759,2,3.996,0.2500,1,2,2,0,0,0,0,0,1,0
15.0,rl,28,1.0,3,4.044,11.133,11.133,2.483,5,0.000,0.6429,0,6,6,0,0,0,0,2,1,3
20.0,rl,28,1.0,0,6.031,16.650,16.650,2.711,6,0.000,0.7500,0,6,6,0,0,0,1,3,1,1
20.0,rl,28,1.0,1,4.345,11.133,11.133,1.658,5,2.995,0.6429,1,7,5,2,1,0,2,1,0,3
20.0,rl,28,1.0,2,3.225,6.450,6.450,0.816,2,2.995,0.2500,1,2,2,0,0,0,0,0,1,0
20.0,rl,28,1.0,3,4.598,11.133,11.133,2.921,5,8.985,0.6944,3,8,7,1,0,0,2,2,1,0
25.0,rl,28,1.0,0,8.974,21.667,21.667,3.458,7,2.395,0.5000,1,7,7,0,0,0,1,4,0,1
25.0,rl,28,1.0,1,4.453,13.533,13.533,2.500,7,14.371,0.6944,6,11,8,3,3,0,2,2,1,0
25.0,rl,28,1.0,2,5.733,11.467,11.467,0.854,2,2.395,0.2500,1,2,2,0,0,0,0,0,1,0
25.0,rl,28,1.0,3,6.456,14.517,14.517,3.354,5,7.186,0.7500,3,9,8,1,0,0,2,2,2,0
30.1,rl,28,1.0,0,10.324,26.683,26.683,4.000,7,1.996,0.7273,1,9,9,0,1,0,2,4,1,1
30.1,rl,28,1.0,1,6.279,18.550,18.550,2.931,7,11.973,0.6944,6,11,8,3,6,0,2,2,1,0
