experiment_id,run_id,mode,seed,spawn_rate,duration_s,fixed_dt_s,rl_model_path,rl_training,iid,avg_wait,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,p95_wait,max_wait,throughput,avg_queue,max_queue,fairness,crossed,spawned,external_spawned,transferred_in,exited_world,red_light_violations
rl_budget_10m_trainchunk,rl_seed21_spawn1p00,rl,21,1.0,300.00059999995244,0.0166667,models/rl_budget_10m.json,True,0,39.153252909514805,40.42600677776743,57.476585541157995,39.46870638822148,29.566262836111793,120.43357419995928,164.9503299000171,16.399967200068197,12.921666666666667,28,0.6151162790697674,82,105,76,29,54,0
rl_budget_10m_trainchunk,rl_seed21_spawn1p00,rl,21,1.0,300.00059999995244,0.0166667,models/rl_budget_10m.json,True,1,38.401945962609425,52.69001766051102,20.1372951764716,29.81209666111193,36.11281732352229,92.63351860001006,155.4503108999721,19.599960800081508,12.268333333333333,27,0.49390243902439024,98,107,75,32,56,0
rl_budget_10m_trainchunk,rl_seed21_spawn1p00,rl,21,1.0,300.00059999995244,0.0166667,models/rl_budget_10m.json,True,2,53.80577771442802,68.12210594091316,44.014902844447825,63.50626736314528,46.46592626497731,151.23363580001643,224.55044910002013,15.999968000066536,15.803333333333333,32,0.6880952380952381,80,97,79,18,47,0
rl_budget_10m_trainchunk,rl_seed21_spawn1p00,rl,21,1.0,300.00059999995244,0.0166667,models/rl_budget_10m.json,True,3,46.015012664752255,66.62657003448663,34.44069388124042,58.3799778708018,19.809206284996883,136.08360550001478,164.23366180001784,16.599966800069033,12.033333333333333,31,0.40066225165562913,83,105,70,35,59,0
rl_budget_10m_trainchunk,rl_seed21_spawn1p00,rl,21,1.0,300.00059999995244,0.0166667,models/rl_budget_10m.json,True,-1,44.343997312826126,56.96617510341956,39.01736936082946,47.79176207082012,32.98855317740207,125.09608352500014,,68.59986280028528,13.256666666666666,,0.5494440519612562,343,414,300,114,216,0
rl_budget_10m_trainchunk,rl_seed22_spawn1p00,rl,22,1.0,300.00059999995244,0.0166667,models/rl_budget_10m.json,True,0,35.662417003696476,21.969488383333953,35.27840388998811,35.7882436193398,45.73544500605783,100.80020160001095,123.93358120001346,18.599962800077346,11.915,25,0.6048387096774194,93,108,80,28,55,0
rl_budget_10m_trainchunk,rl_seed22_spawn1p00,rl,22,1.0,300.00059999995244,0.0166667,models/rl_budget_10m.json,True,1,41.88937917153652,45.789864306805725,42.95960972856761,26.753624935714488,42.29402398180949,90.40018079994934,137.950275900015,20.799958400086496,15.886666666666667,31,0.4402439024390244,104,123,82,41,75,0
rl_budget_10m_trainchunk,rl_seed22_spawn1p00,rl,22,1.0,300.00059999995244,0.0166667,models/rl_budget_10m.json,True,2,47.048783235947475,57.10011419997172,41.4518070413801,51.93289956450993,37.058407449994206,116.08356549993758,202.46707159996316,14.199971600059051,11.271666666666667,24,0.5,71,89,64,25,51,0
rl_budget_10m_trainchunk,rl_seed22_spawn1p00,rl,22,1.0,300.00059999995244,0.0166667,models/rl_budget_10m.json,True,3,41.027801353681674,21.983994585184345,54.73955392333915,79.30015859998524,29.243885648139596,125.65025130001365,191.96705059997993,16.399967200068197,11.031666666666666,21,0.5216049382716049,82,95,74,21,52,0
rl_budget_10m_trainchunk,rl_seed22_spawn1p00,rl,22,1.0,300.00059999995244,0.0166667,models/rl_budget_10m.json,True,-1,41.40709519121553,36.71086536882394,43.607343645818744,48.443731679887364,38.58294052150028,108.23354979997788,,69.9998600002911,12.52625,,0.5166718875970122,350,415,300,115,233,0
