elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,fixed,45,1.5,0,0.808,1.617,1.617,1.100,2,0.000,0.5000,0,2,2,0,0,0,0,1,0,1
5.0,fixed,45,1.5,1,0.233,0.467,0.467,1.200,2,0.000,0.5000,0,2,2,0,0,0,1,0,0,1
5.0,fixed,45,1.5,2,2.283,2.283,2.283,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,fixed,45,1.5,3,0.000,0.000,0.000,0.500,2,0.000,0.5000,0,2,2,0,0,0,1,0,0,1
10.0,fixed,45,1.5,0,2.500,6.617,6.617,2.850,5,0.000,0.5682,0,5,5,0,0,0,0,1,1,3
10.0,fixed,45,1.5,1,1.822,5.467,5.467,1.500,2,6.000,0.5000,1,3,3,0,0,0,0,0,1,1
10.0,fixed,45,1.5,2,1.821,7.283,7.283,1.250,4,0.000,1.0000,0,4,4,0,0,0,1,1,1,1
10.0,fixed,45,1.5,3,1.661,4.800,4.800,1.400,3,6.000,0.2500,1,3,3,0,0,0,0,0,0,2
15.0,fixed,45,1.5,0,6.097,11.617,11.617,3.667,6,0.000,0.7500,0,6,6,0,0,0,1,1,1,3
15.0,fixed,45,1.5,1,2.847,10.467,10.467,2.167,4,4.000,1.0000,1,5,5,0,1,0,1,1,1,1
15.0,fixed,45,1.5,2,3.500,12.283,12.283,2.467,5,0.000,0.8929,0,5,5,0,0,0,2,1,1,1
15.0,fixed,45,1.5,3,2.544,9.800,9.800,1.933,5,4.000,0.3676,1,6,6,0,1,0,1,0,0,4
20.0,fixed,45,1.5,0,8.617,13.517,13.517,4.225,6,3.000,0.5000,1,7,7,0,0,0,1,0,1,4
20.0,fixed,45,1.5,1,4.336,15.467,15.467,2.700,5,6.000,0.8929,2,7,7,0,1,0,1,1,1,2
20.0,fixed,45,1.5,2,6.869,12.283,12.283,2.975,6,3.000,0.7500,1,7,6,1,1,0,3,1,1,1
20.0,fixed,45,1.5,3,3.300,14.800,14.800,3.175,9,9.000,0.7273,3,11,10,1,1,0,1,2,1,4
25.0,fixed,45,1.5,0,10.235,18.517,18.517,4.880,8,2.400,0.5333,1,9,9,0,0,0,1,0,2,5
25.0,fixed,45,1.5,1,5.594,20.467,20.467,3.180,6,9.600,0.6944,4,9,9,0,1,0,1,0,2,2
25.0,fixed,45,1.5,2,8.521,13.800,13.800,3.480,6,4.800,0.6429,2,8,7,1,2,0,3,0,1,2
25.0,fixed,45,1.5,3,4.824,19.800,19.800,3.960,9,12.000,0.5333,5,13,12,1,4,0,2,0,1,5
30.0,fixed,45,1.5,0,12.953,23.517,23.517,5.433,9,2.000,0.4939,1,10,10,0,0,0,1,0,2,6
30.0,fixed,45,1.5,1,7.182,25.467,25.467,3.533,6,8.000,0.6429,4,10,10,0,1,0,1,0,3,2
30.0,fixed,45,1.5,2,8.196,18.800,18.800,4.267,10,4.000,0.8333,2,12,11,1,2,0,4,1,2,3
30.0,fixed,45,1.5,3,6.009,24.800,24.800,5.133,12,10.000,0.7826,5,17,14,3,5,0,2,4,1,5
