elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,neural,45,1.5,0,0.808,1.617,1.617,1.100,2,0.000,0.5000,0,2,2,0,0,0,0,1,0,1
5.0,neural,45,1.5,1,0.233,0.467,0.467,1.200,2,0.000,0.5000,0,2,2,0,0,0,1,0,0,1
5.0,neural,45,1.5,2,2.283,2.283,2.283,0.900,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
5.0,neural,45,1.5,3,0.000,0.000,0.000,0.500,2,0.000,0.5000,0,2,2,0,0,0,1,0,0,1
10.0,neural,45,1.5,0,2.500,6.617,6.617,2.850,5,0.000,0.5682,0,5,5,0,0,0,0,1,1,3
10.0,neural,45,1.5,1,1.822,5.467,5.467,1.500,2,6.000,0.5000,1,3,3,0,0,0,0,0,1,1
10.0,neural,45,1.5,2,1.821,7.283,7.283,1.250,4,0.000,1.0000,0,4,4,0,0,0,1,1,1,1
10.0,neural,45,1.5,3,1.661,4.800,4.800,1.400,3,6.000,0.2500,1,3,3,0,0,0,0,0,0,2
15.0,neural,45,1.5,0,6.097,11.617,11.617,3.667,6,0.000,0.7500,0,6,6,0,0,0,1,1,1,3
15.0,neural,45,1.5,1,2.847,10.467,10.467,2.167,4,4.000,1.0000,1,5,5,0,1,0,1,1,1,1
15.0,neural,45,1.5,2,3.500,12.283,12.283,2.467,5,0.000,0.8929,0,5,5,0,0,0,2,1,1,1
15.0,neural,45,1.5,3,2.544,9.800,9.800,1.933,5,4.000,0.3676,1,6,6,0,1,0,1,0,0,4
20.0,neural,45,1.5,0,6.971,16.617,16.617,3.575,6,9.000,0.6667,3,7,7,0,0,0,2,1,1,0
20.0,neural,45,1.5,1,5.710,11.467,11.467,2.675,5,6.000,0.8929,2,7,6,1,2,0,1,1,2,1
20.0,neural,45,1.5,2,6.078,12.283,12.283,3.000,5,3.000,0.6944,1,6,6,0,1,0,2,0,2,1
20.0,neural,45,1.5,3,2.021,10.800,10.800,2.675,6,15.000,0.6429,5,11,11,0,1,0,3,2,1,0
25.0,neural,45,1.5,0,7.194,21.617,21.617,3.820,6,7.200,0.6429,3,9,9,0,3,0,2,1,3,0
25.0,neural,45,1.5,1,5.326,12.900,12.900,3.620,9,9.600,0.8100,4,13,9,4,2,0,2,1,2,4
25.0,neural,45,1.5,2,8.740,13.800,13.800,3.560,6,2.400,0.9000,1,7,7,0,1,0,2,1,2,1
25.0,neural,45,1.5,3,3.731,10.800,10.800,3.480,7,12.000,0.6447,5,12,12,0,1,0,3,3,1,0
30.0,neural,45,1.5,0,7.962,25.617,25.617,4.300,7,10.000,0.6429,5,11,11,0,3,0,2,0,3,1
30.0,neural,45,1.5,1,7.193,15.900,15.900,4.583,11,12.000,0.4939,6,15,11,4,4,0,2,1,0,6
30.0,neural,45,1.5,2,9.798,16.417,16.417,3.967,7,6.000,0.9000,3,9,9,0,1,0,2,1,2,1
30.0,neural,45,1.5,3,5.698,11.883,11.883,4.233,9,10.000,0.5786,5,14,14,0,1,0,5,3,1,0
35.0,neural,45,1.5,0,9.821,25.617,25.617,4.843,11,8.571,0.6173,5,16,12,4,3,0,2,0,6,3
35.0,neural,45,1.5,1,8.127,20.867,20.867,5.614,13,10.286,0.7412,6,19,15,4,4,0,4,2,1,6
35.0,neural,45,1.5,2,11.660,26.117,26.117,4.386,8,6.857,0.7273,4,12,10,2,1,0,3,3,2,0
35.0,neural,45,1.5,3,6.651,16.200,16.200,4.386,9,17.143,0.3676,10,15,15,0,1,0,0,4,1,0
40.0,neural,45,1.5,0,10.415,29.083,29.083,5.875,15,7.500,0.8152,5,20,15,5,3,0,4,1,6,4
40.0,neural,45,1.5,1,10.764,25.867,25.867,6.650,14,9.000,0.7903,6,20,16,4,4,0,4,3,1,6
40.0,neural,45,1.5,2,13.358,30.117,30.117,4.812,9,10.500,0.5000,7,13,11,2,1,0,3,0,3,0
40.0,neural,45,1.5,3,7.014,21.200,21.200,4.688,9,15.000,0.5714,10,18,18,0,6,0,1,5,1,1
45.0,neural,45,1.5,0,12.336,28.483,31.083,6.644,15,14.667,0.5952,11,21,16,5,3,0,5,1,0,4
45.0,neural,45,1.5,1,11.908,28.933,30.867,7.211,15,16.000,0.7353,12,22,18,4,4,0,4,3,3,0
45.0,neural,45,1.5,2,14.243,31.417,31.417,5.033,9,9.333,0.4900,7,14,12,2,4,0,4,0,3,0
45.0,neural,45,1.5,3,7.718,23.283,26.200,5.189,11,13.333,0.7035,10,21,21,0,6,0,1,5,1,4
50.0,neural,45,1.5,0,13.238,32.217,33.483,7.140,15,13.200,0.6667,11,23,18,5,5,0,6,1,1,4
50.0,neural,45,1.5,1,12.301,33.933,35.867,7.610,15,15.600,0.7500,13,25,21,4,10,0,4,4,4,0
50.0,neural,45,1.5,2,14.572,36.417,36.417,5.280,9,8.400,0.5786,7,16,14,2,4,0,5,0,3,1
50.0,neural,45,1.5,3,8.757,25.750,27.200,5.490,11,18.000,0.6447,15,22,22,0,7,0,1,1,1,4
55.0,neural,45,1.5,0,14.912,37.217,38.483,7.591,15,13.091,0.5806,12,24,19,5,9,0,6,1,0,5
55.0,neural,45,1.5,1,13.452,38.933,40.867,8.164,15,14.182,0.8448,13,27,23,4,11,0,4,5,4,1
55.0,neural,45,1.5,2,14.883,40.417,40.417,5.664,11,10.909,0.6154,10,18,16,2,4,0,3,0,4,1
55.0,neural,45,1.5,3,9.277,27.200,30.750,5.609,11,17.455,0.6154,16,24,24,0,11,0,3,0,1,4
