elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,random,45,1.5,0,0.539,1.617,1.617,1.800,3,0.000,0.7500,0,3,3,0,0,0,1,1,1,0
5.0,random,45,1.5,1,0.156,0.467,0.467,1.500,3,0.000,0.7500,0,3,3,0,0,0,1,0,1,1
5.0,random,45,1.5,2,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,random,45,1.5,3,0.000,0.000,0.000,0.400,1,0.000,0.2500,0,1,1,0,0,0,0,1,0,0
10.0,random,45,1.5,0,2.007,6.617,6.617,2.500,4,6.000,0.6667,1,5,5,0,0,0,0,2,1,1
10.0,random,45,1.5,1,1.386,5.467,5.467,2.950,5,6.000,0.6944,1,6,6,0,0,0,0,1,2,2
10.0,random,45,1.5,2,0.000,0.000,0.000,0.250,2,0.000,0.5000,0,2,2,0,0,0,0,1,0,1
10.0,random,45,1.5,3,2.308,4.617,4.617,1.000,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
15.0,random,45,1.5,0,4.586,11.617,11.617,3.300,5,4.000,0.8929,1,6,6,0,0,0,1,2,1,1
15.0,random,45,1.5,1,4.075,10.467,10.467,4.000,7,4.000,0.9423,1,8,7,1,1,0,1,2,2,2
15.0,random,45,1.5,2,1.904,4.467,4.467,1.133,4,0.000,0.4000,0,4,4,0,0,0,0,3,0,1
15.0,random,45,1.5,3,2.230,9.617,9.617,1.533,4,4.000,0.6667,1,5,5,0,0,0,1,2,1,0
20.0,random,45,1.5,0,5.483,16.617,16.617,3.950,7,6.000,0.8167,2,9,9,0,0,0,1,3,2,1
20.0,random,45,1.5,1,7.117,15.467,15.467,4.800,8,3.000,0.8889,1,9,8,1,1,0,1,3,2,2
20.0,random,45,1.5,2,3.864,9.467,9.467,2.325,7,3.000,0.5000,1,7,7,0,0,0,0,4,1,1
20.0,random,45,1.5,3,3.983,14.617,14.617,2.250,5,6.000,0.4000,2,6,6,0,1,0,1,3,0,0
25.0,random,45,1.5,0,7.865,21.617,21.617,4.720,8,4.800,0.7273,2,10,10,0,0,0,1,4,2,1
25.0,random,45,1.5,1,9.858,20.467,20.467,5.300,8,7.200,0.7206,3,10,9,1,1,0,2,3,0,2
25.0,random,45,1.5,2,5.597,14.467,14.467,3.320,9,2.400,0.5786,1,10,9,1,0,0,0,5,3,1
25.0,random,45,1.5,3,4.390,19.617,19.617,2.920,7,7.200,0.5833,3,10,9,1,1,0,2,4,1,0
30.0,random,45,1.5,0,11.121,26.617,26.617,5.317,10,6.000,0.7353,3,13,11,2,0,0,0,4,3,3
30.0,random,45,1.5,1,10.145,25.467,25.467,5.917,10,6.000,0.6944,3,13,11,2,1,0,4,4,0,2
30.0,random,45,1.5,2,6.344,18.150,18.150,4.383,11,6.000,0.4654,3,14,13,1,0,0,0,7,4,0
30.0,random,45,1.5,3,6.267,24.617,24.617,3.633,8,8.000,0.5833,4,11,10,1,1,0,2,4,1,0
35.0,random,45,1.5,0,11.990,31.617,31.617,6.257,14,5.143,0.7206,3,17,13,4,0,0,0,4,4,6
35.0,random,45,1.5,1,12.841,30.467,30.467,6.571,11,5.143,0.6722,3,14,11,3,1,0,5,4,0,2
