elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,rl,43,1.5,0,0.539,1.617,1.617,2.400,3,0.000,0.4500,0,3,3,0,0,0,0,0,2,1
5.0,rl,43,1.5,1,0.156,0.467,0.467,0.900,3,0.000,0.7500,0,3,3,0,0,0,1,1,0,1
5.0,rl,43,1.5,2,0.000,0.000,0.000,0.400,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,rl,43,1.5,3,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
10.0,rl,43,1.5,0,3.992,6.617,6.617,3.150,4,0.000,0.5000,0,4,4,0,0,0,0,0,2,2
10.0,rl,43,1.5,1,2.658,5.467,5.467,2.200,4,0.000,0.6667,0,4,4,0,0,0,1,1,0,2
10.0,rl,43,1.5,2,1.007,4.183,4.183,1.350,5,0.000,0.4808,0,5,5,0,0,0,0,0,2,3
10.0,rl,43,1.5,3,0.283,0.567,0.567,0.800,2,0.000,0.5000,0,2,2,0,0,0,1,0,1,0
15.0,rl,43,1.5,0,3.710,8.750,8.750,3.500,5,8.000,0.5682,2,7,7,0,2,0,1,0,3,1
15.0,rl,43,1.5,1,4.192,10.467,10.467,2.633,5,4.000,0.6944,1,6,6,0,0,0,1,2,0,2
15.0,rl,43,1.5,2,3.486,9.183,9.183,2.667,6,0.000,0.6429,0,6,6,0,0,0,1,0,2,3
15.0,rl,43,1.5,3,2.425,5.567,5.567,1.300,3,4.000,0.7500,1,4,3,1,0,0,0,1,1,1
20.0,rl,43,1.5,0,4.380,13.750,13.750,4.125,7,9.000,0.4900,3,10,10,0,3,0,4,0,3,0
20.0,rl,43,1.5,1,5.858,15.467,15.467,3.425,7,3.000,0.9423,1,8,8,0,0,0,2,2,1,2
20.0,rl,43,1.5,2,5.356,9.183,9.183,2.775,6,9.000,0.4500,3,6,6,0,0,0,1,0,2,0
20.0,rl,43,1.5,3,3.167,10.567,10.567,2.100,6,3.000,0.9000,1,7,6,1,1,0,1,2,2,1
25.0,rl,43,1.5,0,5.703,18.750,18.750,5.600,13,14.400,0.5708,6,17,14,3,3,0,1,0,4,6
25.0,rl,43,1.5,1,7.507,17.217,17.217,3.920,7,7.200,0.6429,3,9,9,0,1,0,2,3,1,0
25.0,rl,43,1.5,2,6.733,11.567,11.567,2.900,6,7.200,0.6667,3,7,7,0,0,0,1,1,2,0
25.0,rl,43,1.5,3,5.071,11.567,11.567,2.580,6,7.200,0.8929,3,8,7,1,1,0,1,2,1,1
30.0,rl,43,1.5,0,8.343,23.750,23.750,6.350,13,14.000,0.4808,7,17,14,3,3,0,0,0,4,6
30.0,rl,43,1.5,1,8.549,22.217,22.217,4.550,9,6.000,0.6983,3,12,11,1,2,0,3,4,2,0
30.0,rl,43,1.5,2,6.463,16.567,16.567,3.450,8,8.000,0.4211,4,12,10,2,0,0,0,1,6,1
30.0,rl,43,1.5,3,5.792,16.183,16.183,3.283,8,6.000,0.8889,3,11,10,1,1,0,1,3,2,2
35.0,rl,43,1.5,0,10.657,28.750,28.750,6.929,13,12.000,0.4959,7,18,15,3,3,0,0,0,5,6
35.0,rl,43,1.5,1,8.892,27.217,27.217,5.643,14,5.143,0.7903,3,17,13,4,2,0,6,4,3,1
35.0,rl,43,1.5,2,7.651,21.567,21.567,4.214,10,6.857,0.4630,4,14,12,2,0,0,0,1,7,2
35.0,rl,43,1.5,3,7.387,21.183,21.183,4.100,10,8.571,0.8889,5,13,12,1,1,0,2,1,3,2
40.0,rl,43,1.5,0,10.996,33.467,33.750,7.362,13,19.500,0.5333,13,21,18,3,3,0,0,1,5,2
40.0,rl,43,1.5,1,10.493,27.217,27.217,6.213,14,13.500,0.7500,9,18,14,4,2,0,1,4,3,1
40.0,rl,43,1.5,2,9.538,26.567,26.567,5.050,12,6.000,0.6207,4,16,14,2,0,0,1,2,7,2
40.0,rl,43,1.5,3,8.761,26.183,26.183,4.725,10,9.000,0.7353,6,16,14,2,4,0,3,0,3,4
45.0,rl,43,1.5,0,12.391,38.467,38.750,7.311,13,20.000,0.3462,15,21,18,3,9,0,0,1,5,0
45.0,rl,43,1.5,1,12.046,28.433,28.433,6.433,14,13.333,0.7500,10,19,15,4,7,0,1,4,3,1
45.0,rl,43,1.5,2,9.590,27.567,27.567,5.511,13,14.667,0.7273,11,19,17,2,0,0,2,3,0,3
45.0,rl,43,1.5,3,9.926,31.183,31.183,5.500,13,8.000,0.8284,6,19,17,2,4,0,4,1,3,5
50.0,rl,43,1.5,0,13.191,43.467,43.750,7.190,13,18.000,0.4537,15,22,19,3,11,0,1,1,5,0
50.0,rl,43,1.5,1,11.752,33.283,33.433,6.940,14,12.000,0.7412,10,23,19,4,9,0,1,6,4,2
50.0,rl,43,1.5,2,10.962,27.567,27.567,5.780,13,13.200,0.6983,11,20,18,2,6,0,2,4,0,3
50.0,rl,43,1.5,3,11.735,27.550,35.183,6.350,15,10.800,0.8571,9,21,19,2,4,0,4,1,4,3
55.0,rl,43,1.5,0,13.922,48.467,48.750,7.245,13,16.364,0.5333,15,23,20,3,11,0,2,1,5,0
55.0,rl,43,1.5,1,13.887,37.283,37.433,7.636,15,14.182,0.8152,13,28,21,7,9,0,1,4,4,6
55.0,rl,43,1.5,2,13.126,29.617,29.617,6.073,13,12.000,0.6983,11,20,18,2,7,0,2,4,0,3
55.0,rl,43,1.5,3,11.559,32.550,35.183,6.773,15,13.091,0.6926,12,25,23,2,4,0,6,3,4,0
60.0,rl,43,1.5,0,14.626,52.467,52.750,7.342,13,17.000,0.6447,17,24,21,3,11,0,3,1,3,0
